fid,연번,시군명,기관장,기관명,소재지 (도로명 주소),Latitude,Longitude,전화번호,진료과목,진료시간,비고,데이터기준일자,ringId,distance,gid,lbl,val,layer,path
"44","44",담양군,김순복,봉산보건지소,전라남도 담양군 봉산면 신학길 8,35.2743733,126.9555831,061-380-3601,내과+외과+가정의학과,09:00~18:00,육지,2021/08/01,"1",1000,다라50ba97ba,,,(B100)국토통계_인구정보-고령 인구 수(전체)-(격자) 250M_전라남도 담양군_202204 ? nlsp_031001010,C:/Users/JIHYE/Desktop/DataCampus/data2/고령 데이터_250M/(B100)국토통계_인구정보-고령 인구 수(전체)-(격자) 250M_전라남도 담양군_202204|layername=nlsp_031001010
"44","44",담양군,김순복,봉산보건지소,전라남도 담양군 봉산면 신학길 8,35.2743733,126.9555831,061-380-3601,내과+외과+가정의학과,09:00~18:00,육지,2021/08/01,"1",1000,다라50ba97bb,"33.00",33.0000000000000000000000000000000,(B100)국토통계_인구정보-고령 인구 수(전체)-(격자) 250M_전라남도 담양군_202204 ? nlsp_031001010,C:/Users/JIHYE/Desktop/DataCampus/data2/고령 데이터_250M/(B100)국토통계_인구정보-고령 인구 수(전체)-(격자) 250M_전라남도 담양군_202204|layername=nlsp_031001010
"44","44",담양군,김순복,봉산보건지소,전라남도 담양군 봉산면 신학길 8,35.2743733,126.9555831,061-380-3601,내과+외과+가정의학과,09:00~18:00,육지,2021/08/01,"1",1000,다라50ba98aa,"28.00",28.0000000000000035527136788005009,(B100)국토통계_인구정보-고령 인구 수(전체)-(격자) 250M_전라남도 담양군_202204 ? nlsp_031001010,C:/Users/JIHYE/Desktop/DataCampus/data2/고령 데이터_250M/(B100)국토통계_인구정보-고령 인구 수(전체)-(격자) 250M_전라남도 담양군_202204|layername=nlsp_031001010
"44","44",담양군,김순복,봉산보건지소,전라남도 담양군 봉산면 신학길 8,35.2743733,126.9555831,061-380-3601,내과+외과+가정의학과,09:00~18:00,육지,2021/08/01,"1",1000,다라50ba98ab,N/A,0.0000000000000000000000000000000,(B100)국토통계_인구정보-고령 인구 수(전체)-(격자) 250M_전라남도 담양군_202204 ? nlsp_031001010,C:/Users/JIHYE/Desktop/DataCampus/data2/고령 데이터_250M/(B100)국토통계_인구정보-고령 인구 수(전체)-(격자) 250M_전라남도 담양군_202204|layername=nlsp_031001010
"44","44",담양군,김순복,봉산보건지소,전라남도 담양군 봉산면 신학길 8,35.2743733,126.9555831,061-380-3601,내과+외과+가정의학과,09:00~18:00,육지,2021/08/01,"1",1000,다라50ba98ba,,,(B100)국토통계_인구정보-고령 인구 수(전체)-(격자) 250M_전라남도 담양군_202204 ? nlsp_031001010,C:/Users/JIHYE/Desktop/DataCampus/data2/고령 데이터_250M/(B100)국토통계_인구정보-고령 인구 수(전체)-(격자) 250M_전라남도 담양군_202204|layername=nlsp_031001010
"44","44",담양군,김순복,봉산보건지소,전라남도 담양군 봉산면 신학길 8,35.2743733,126.9555831,061-380-3601,내과+외과+가정의학과,09:00~18:00,육지,2021/08/01,"1",1000,다라50ba98bb,,,(B100)국토통계_인구정보-고령 인구 수(전체)-(격자) 250M_전라남도 담양군_202204 ? nlsp_031001010,C:/Users/JIHYE/Desktop/DataCampus/data2/고령 데이터_250M/(B100)국토통계_인구정보-고령 인구 수(전체)-(격자) 250M_전라남도 담양군_202204|layername=nlsp_031001010
"44","44",담양군,김순복,봉산보건지소,전라남도 담양군 봉산면 신학길 8,35.2743733,126.9555831,061-380-3601,내과+외과+가정의학과,09:00~18:00,육지,2021/08/01,"1",1000,다라49bb96bb,,,(B100)국토통계_인구정보-고령 인구 수(전체)-(격자) 250M_전라남도 담양군_202204 ? nlsp_031001010,C:/Users/JIHYE/Desktop/DataCampus/data2/고령 데이터_250M/(B100)국토통계_인구정보-고령 인구 수(전체)-(격자) 250M_전라남도 담양군_202204|layername=nlsp_031001010
"44","44",담양군,김순복,봉산보건지소,전라남도 담양군 봉산면 신학길 8,35.2743733,126.9555831,061-380-3601,내과+외과+가정의학과,09:00~18:00,육지,2021/08/01,"1",1000,다라49bb97aa,,,(B100)국토통계_인구정보-고령 인구 수(전체)-(격자) 250M_전라남도 담양군_202204 ? nlsp_031001010,C:/Users/JIHYE/Desktop/DataCampus/data2/고령 데이터_250M/(B100)국토통계_인구정보-고령 인구 수(전체)-(격자) 250M_전라남도 담양군_202204|layername=nlsp_031001010
"44","44",담양군,김순복,봉산보건지소,전라남도 담양군 봉산면 신학길 8,35.2743733,126.9555831,061-380-3601,내과+외과+가정의학과,09:00~18:00,육지,2021/08/01,"1",1000,다라49bb97ab,,,(B100)국토통계_인구정보-고령 인구 수(전체)-(격자) 250M_전라남도 담양군_202204 ? nlsp_031001010,C:/Users/JIHYE/Desktop/DataCampus/data2/고령 데이터_250M/(B100)국토통계_인구정보-고령 인구 수(전체)-(격자) 250M_전라남도 담양군_202204|layername=nlsp_031001010
"44","44",담양군,김순복,봉산보건지소,전라남도 담양군 봉산면 신학길 8,35.2743733,126.9555831,061-380-3601,내과+외과+가정의학과,09:00~18:00,육지,2021/08/01,"1",1000,다라49bb97ba,,,(B100)국토통계_인구정보-고령 인구 수(전체)-(격자) 250M_전라남도 담양군_202204 ? nlsp_031001010,C:/Users/JIHYE/Desktop/DataCampus/data2/고령 데이터_250M/(B100)국토통계_인구정보-고령 인구 수(전체)-(격자) 250M_전라남도 담양군_202204|layername=nlsp_031001010
