fid,field_1,Unnamed: 0,약국명_y,주소_y,전화번호,좌표정보(X),좌표정보(Y),월요일 운영,화요일 운영,수요일 운영,목요일 운영,금요일 운영,토요일 운영,일요일 운영,공휴일 운영,시도명,시군구명,읍면명,회관명,소재지,Latitude,Longitude,규모(제곱미터),데이터기준일자,마을회관명,소재지도로명주소,회원수,대표자,대지면적,건축면적,경로당명,주소,연락처,연번,명칭,관장,시설소재지,시설설치일,위탁 또는 운영단체,보건소명,일반전화,팩스,우편번호,도로명주소,위치,시군명,기관장,기관명,소재지 (도로명 주소),진료과목,진료시간,비고,layer,path,ringId,distance,NUMPOINTS
"35","42","42",고서약국,전라남도 담양군 고서면 가사문학로 329,061-381-3338,126.9737538,35.2233747,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~15:00,"-","-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1차 설치지역(휴안바깥약국),C:/Users/82104/Documents/버퍼밖 약국.gpkg|layername=버퍼밖 약국,"1",1000,1
"58","67","67",구영약국,전라남도 신안군 암태면 중부로 1820-4,061-271-4287,126.1145745,34.8289262,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~13:00,"-","-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1차 설치지역(휴안바깥약국),C:/Users/82104/Documents/버퍼밖 약국.gpkg|layername=버퍼밖 약국,"1",1000,8
"129","145","145",담양유명약국,전라남도 담양군 수북면 추성1로 734,061-381-6275,126.9318063,35.3018024,08:30~12:30,08:30~12:30,08:30~12:30,08:30~12:30,08:30~12:30,"-","-","-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1차 설치지역(휴안바깥약국),C:/Users/82104/Documents/버퍼밖 약국.gpkg|layername=버퍼밖 약국,"1",1000,1
"217","244","244",미래약국,전라남도 함평군 해보면 밀재로 1293,061-322-8760,126.6048645,35.1810447,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~15:00,"-","-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1차 설치지역(휴안바깥약국),C:/Users/82104/Documents/버퍼밖 약국.gpkg|layername=버퍼밖 약국,"1",1000,15
"321","359","359",새태평양약국,전라남도 함평군 나산면 나산길 58 (나산면),061-324-1448,126.6109218,35.1124034,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~18:00,"-","-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1차 설치지역(휴안바깥약국),C:/Users/82104/Documents/버퍼밖 약국.gpkg|layername=버퍼밖 약국,"1",1000,17
"352","393","393",세명약국,"전라남도 신안군 비금면 송치길 155-19,",061-275-7588,125.9327628,34.7212122,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~17:00,"-","-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1차 설치지역(휴안바깥약국),C:/Users/82104/Documents/버퍼밖 약국.gpkg|layername=버퍼밖 약국,"1",1000,6
"383","428","428",수북좋은약국,"전라남도 담양군 수북면 한수동로 564-1,",061-381-9908,126.9305397,35.302193,08:30~13:00,08:30~13:00,08:30~13:00,08:30~13:00,08:30~13:00,08:30~13:00,"-","-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1차 설치지역(휴안바깥약국),C:/Users/82104/Documents/버퍼밖 약국.gpkg|layername=버퍼밖 약국,"1",1000,1
"511","569","569",우리약국,전라남도 담양군 고서면 원등1길 4,061-381-1390,126.974075,35.2232167,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~15:00,"-","-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1차 설치지역(휴안바깥약국),C:/Users/82104/Documents/버퍼밖 약국.gpkg|layername=버퍼밖 약국,"1",1000,1
"536","594","594",유한약국,"전라남도 신안군 임자면 임자로 146,",061-275-8288,126.1071864,35.0864667,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~13:00,"-","-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1차 설치지역(휴안바깥약국),C:/Users/82104/Documents/버퍼밖 약국.gpkg|layername=버퍼밖 약국,"1",1000,7
"685","757","757",태원약국,전라남도 담양군 대전면 추성1로 198,061-382-5316,126.8879412,35.2766941,08:00~18:30,08:00~18:30,08:00~18:30,08:00~18:30,08:00~18:30,08:00~15:00,"-","-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1차 설치지역(휴안바깥약국),C:/Users/82104/Documents/버퍼밖 약국.gpkg|layername=버퍼밖 약국,"1",1000,1
"688","760","760",태평양약국,전라남도 함평군 나산면 나산길 64,061-324-1448,126.6109218,35.1124034,08:00~16:30,08:00~16:30,08:00~16:30,08:00~16:30,08:00~16:30,08:00~12:30,"-","-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1차 설치지역(휴안바깥약국),C:/Users/82104/Documents/버퍼밖 약국.gpkg|layername=버퍼밖 약국,"1",1000,17
"754","833","833",한재약국,"전라남도 담양군 대전면 추성1로 190,",061-383-2896,126.8871368,35.2762945,08:30~13:00,08:30~13:00,08:30~13:00,08:30~13:00,08:30~13:00,08:30~13:00,"-","-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1차 설치지역(휴안바깥약국),C:/Users/82104/Documents/버퍼밖 약국.gpkg|layername=버퍼밖 약국,"1",1000,1
