fid,시도명,시군구명,읍면명,회관명,소재지,Latitude,Longitude,규모(제곱미터),데이터기준일자,ringId,distance,NUMPOINTS
"1",전라남도,담양군,담양읍,담주 마을회관,전라남도 담양군 담양읍 담주리 61,35.3213348,126.980544,110.4,2022/05/27,"1",1000.000000,0
"2",전라남도,담양군,담양읍,천변 마을회관,전라남도 담양군 담양읍 천변리 97,35.3176788,126.9799927,101.9,2022/05/27,"1",1000.000000,0
"3",전라남도,담양군,담양읍,금곡 마을회관,전라남도 담양군 담양읍 지침리 84-2,35.3180512,126.9845157,137.7,2022/05/27,"1",1000.000000,0
"4",전라남도,담양군,담양읍,객사1리 마을회관,전라남도 담양군 담양읍 객사리 158,35.3226604,126.9880094,83.85,2022/05/27,"1",1000.000000,0
"5",전라남도,담양군,담양읍,객사2리 마을회관,전라남도 담양군 담양읍 객사리 232-2,35.322303,126.9841953,106.1,2022/05/27,"1",1000.000000,0
"6",전라남도,담양군,담양읍,향백동 마을회관,전라남도 담양군 담양읍 백동1리 63-1,35.3204254,126.9818638,95.16,2022/05/27,"1",1000.000000,0
"7",전라남도,담양군,담양읍,내동 마을회관,전라남도 담양군 담양읍 백동2리 172-1,35.3204254,126.9818638,82.4,2022/05/27,"1",1000.000000,0
"8",전라남도,담양군,담양읍,신기 마을회관,전라남도 담양군 담양읍 백동3리 475,35.3204254,126.9818638,50,2022/05/27,"1",1000.000000,0
"9",전라남도,담양군,담양읍,미리산 마을회관,전라남도 담양군 담양읍 백동4리 244-8,35.3204254,126.9818638,48,2022/05/27,"1",1000.000000,0
"10",전라남도,담양군,담양읍,서당골 마을회관,전라남도 담양군 담양읍 백동6리 15-1,35.3204254,126.9818638,82.56,2022/05/27,"1",1000.000000,0
"11",전라남도,담양군,담양읍,남촌 마을회관,전라남도 담양군 담양읍 남산1리 170-2,35.3204254,126.9818638,65.9,2022/05/27,"1",1000.000000,0
"12",전라남도,담양군,담양읍,동정자 마을회관,전라남도 담양군 담양읍 남산2리 50-2,35.3204254,126.9818638,52.38,2022/05/27,"1",1000.000000,0
"13",전라남도,담양군,담양읍,광동 마을회관,전라남도 담양군 담양읍 향교1리 379-1,35.3204254,126.9818638,70.8,2022/05/27,"1",1000.000000,0
"14",전라남도,담양군,담양읍,향교 마을회관,전라남도 담양군 담양읍 향교1리 290-1,35.3204254,126.9818638,66,2022/05/27,"1",1000.000000,0
"15",전라남도,담양군,담양읍,취영 마을회관,전라남도 담양군 담양읍 향교2리 398-2,35.3204254,126.9818638,44.46,2022/05/27,"1",1000.000000,0
"16",전라남도,담양군,담양읍,신흥 마을회관,전라남도 담양군 담양읍 향교3리 446-19,35.3204254,126.9818638,153.2,2022/05/27,"1",1000.000000,0
