fid,연번,시군명,기관장,기관명,소재지 (도로명 주소),Latitude,Longitude,전화번호,진료과목,진료시간,비고,데이터기준일자,ringId,distance,NUMPOINTS
"44","44",담양군,김순복,봉산보건지소,전라남도 담양군 봉산면 신학길 8,35.2743733,126.9555831,061-380-3601,내과+외과+가정의학과,09:00~18:00,육지,2021/08/01,"1",1000,4
"45","45",담양군,김순복,고서보건지소,전라남도 담양군 고서면 원등1길 11,35.2236262,126.9749263,061-380-3606,내과+외과+한의과,09:00~18:00,육지,2021/08/01,"1",1000,9
"46","46",담양군,김순복,남면보건지소,전라남도 담양군 남면 가사문학로 1143-17,35.1773595,127.0308147,061-380-3611,내과+외과+치과,09:00~18:00,육지,2021/08/01,"1",1000,4
"48","48",담양군,김순복,대덕보건지소,전라남도 담양군 대덕면 창평현로 903,35.248653,127.0359017,061-380-3621,내과+외과+가정의학과,09:00~18:00,육지,2021/08/01,"1",1000,2
"49","49",담양군,김순복,무정보건지소,전라남도 담양군 무정면 술지2길 20-10,35.29422,127.0323503,061-380-3627,내과+외과+한의과,09:00~18:00,육지,2021/08/01,"1",1000,0
"50","50",담양군,김순복,금성보건지소,전라남도 담양군 금성면 석현길 10-7,35.3439414,127.0261759,061-380-3632,내과+외과+한의과,09:00~18:00,육지,2021/08/01,"1",1000,1
"51","51",담양군,김순복,용면보건지소,전라남도 담양군 용면 추월산로 369,35.3647096,126.987322,061-380-3637,내과+외과+한의과,09:00~18:00,육지,2021/08/01,"1",1000,2
"52","52",담양군,김순복,월산보건지소,전라남도 담양군 월산면 도개길 15-36,35.3400596,126.9562301,061-380-3643,내과+외과+한의과,09:00~18:00,육지,2021/08/01,"1",1000,1
"53","53",담양군,김순복,수북보건지소,전라남도 담양군 수북면 추성1로 705,35.301702,126.9285027,061-380-3650,내과+외과+재활의학과+치과,09:00~18:00,육지,2021/08/01,"1",1000,15
"54","54",담양군,김순복,대전보건지소,전라남도 담양군 대전면 대치8길 21-5,35.2748009,126.887971,061-380-3667,내과+외과+가정의학과,09:00~18:00,육지,2021/08/01,"1",1000,17
"158","158",함평군,정명희,신광보건지소,전라남도 험평군 신광면 신광중앙길 84,35.154355,126.4969526,061-320-2355,내과+한의과+보건사업등,09:00~18:00,육지,2021/08/01,"1",1000,19
"161","161",함평군,정명희,대동보건지소,전라남도 함평군 대동면 대동길 5-10,35.0690149,126.5314329,061-320-2371,내과+보건사업등,09:00~18:00,육지,2021/08/01,"1",1000,15
"162","162",함평군,정명희,나산보건지소,전라남도 함평군 나산면 나산길 118,35.1140904,126.6085168,061-320-2375,내과+한의과+보건사업등,09:00~18:00,육지,2021/08/01,"1",1000,17
"163","163",함평군,정명희,해보보건지소,전라남도 함평군 해보면 유정길 8-11,35.1792688,126.6027224,061-320-2380,내과+한의과+보건사업등,09:00~18:00,육지,2021/08/01,"1",1000,15
"164","164",함평군,정명희,월야보건지소,전라남도 함평군 월야면 밀재로 1476,35.173876,126.6465504,061-320-2385,내과+한의과+보건사업등,09:00~18:00,육지,2021/08/01,"1",1000,6
"203","203",신안군,강정희,증도면보건지소,전라남도 신안군 증도면 증도길 199,35.0139122,126.1465327,061-271-7532,내과+외과+소아과,09:00~18:00,육지,2021/08/01,"1",1000,0
"207","207",신안군,강정희,도초면보건지소,전라남도 신안군 도초면 서남문로 1521-9,34.7031079,125.954597,061-275-2301,내과+외과+소아과,09:00~18:00,도서,2021/08/01,"1",1000,4
"209","209",신안군,강정희,하의면보건지소,전라남도 신안군 하의면 하의로 250,34.5955545,126.0388578,061-275-4024,내과+외과+소아과,09:00~18:00,도서,2021/08/01,"1",1000,4
"210","210",신안군,강정희,신의면보건지소,전라남도 신안군 신의면 신의로 661,34.5847473,126.0884124,061-271-7024,내과+외과+소아과,09:00~18:00,도서,2021/08/01,"1",1000,11
"211","211",신안군,강정희,장산면보건지소,전라남도 신안군 장산면 장산로 326,34.6403462,126.1474804,061-271-2534,내과+외과+소아과,09:00~18:00,도서,2021/08/01,"1",1000,10
"213","213",신안군,강정희,팔금면보건지소,전라남도 신안군 팔금면 삼층석탑길 144,34.7845702,126.1413889,061-271-1024,내과+외과+소아과,09:00~18:00,도서,2021/08/01,"1",1000,8
"214","214",신안군,강정희,암태면보건지소,전라남도 신안군 암태면 승봉로 38,34.8217969,126.0922075,061-271-1573,내과+외과+소아과,09:00~18:00,도서,2021/08/01,"1",1000,7
"215","215",신안군,강정희,가거도보건지소,전라남도 신안군 흑산면 가거도길 36,34.0524182,125.1271002,061-246-3585,내과+외과+소아과,09:00~18:00,도서,2021/08/01,"1",1000,0
