fid,연번,시군명,기관장,기관명,소재지 (도로명 주소),Latitude,Longitude,전화번호,진료과목,진료시간,비고,데이터기준일자,ringId,distance,NUMPOINTS
"80","80",담양군,박은수,양지보건진료소,전라남도 담양군 봉산면 양지길 17,35.2542079,126.9393356,061-380-3749,내과,09:00~18:00,,2021/08/01,"1",1000,10
"81","81",담양군,윤자희,원주보건진료소,전라남도 담양군 고서면 주평길 30,35.232165,126.9563616,061-380-3759,내과,09:00~18:00,,2021/08/01,"1",1000,7
"82","82",담양군,박새롬,인암보건진료소,전라남도 담양군 남면 인암길 20-9,35.1400869,127.068526,061-380-3789,내과,09:00~18:00,,2021/08/01,"1",1000,0
"83","83",담양군,김고은,용대보건진료소,전라남도 담양군 대덕면 용대길 38,35.2183685,127.0868602,061-380-3828,내과,09:00~18:00,,2021/08/01,"1",1000,0
"84","84",담양군,신미리,금산보건진료소,전라남도 담양군 대덕면 금산길 315,35.2661527,127.0394554,061-380-3829,내과,09:00~18:00,,2021/08/01,"1",1000,0
"85","85",담양군,이영미,덕성보건진료소,전라남도 담양군 금성면 덕성길 48-8,35.3503518,127.0526949,061-380-3868,내과,09:00~18:00,,2021/08/01,"1",1000,1
"86","86",담양군,조아름,외추보건진료소,전라남도 담양군 금성면 외추길 17-7,35.3206025,127.0320416,061-380-3869,내과,09:00~18:00,,2021/08/01,"1",1000,0
"87","87",담양군,김수아,용연보건진료소,전라남도 담양군 용면 분통길 25,35.4234231,127.0279159,061-380-3889,내과,09:00~18:00,,2021/08/01,"1",1000,4
"88","88",담양군,정세윤,복정보건진료소,전라남도 담양군 월산면 복정길 19-11,35.3501822,126.974057,061-380-3909,내과,09:00~18:00,,2021/08/01,"1",1000,0
"89","89",담양군,이경희,수남보건진료소,전라남도 담양군 수북면 한수동로 352-7,35.285769,126.9381535,061-380-3929,내과,09:00~18:00,,2021/08/01,"1",1000,10
"90","90",담양군,손민정,삼산보건진료소,전라남도 담양군 대전면 덕진옥산길 6,35.2896856,126.9151182,061-380-3949,내과,09:00~18:00,,2021/08/01,"1",1000,8
"232","232",함평군,신미경,삼정보건진료소,전라남도 함평군 함평읍 함장로 675-13,35.0380042,126.4825363,061-322-2198,일차진료+보건사업+건강증진프로그램,09:00~18:00,,2021/08/01,"1",1000,12
"233","233",함평군,이주희,석성보건진료소,전라남도 함평군 함평읍 돌머리길 468,35.0819632,126.4613937,061-322-9374,일차진료+보건사업+건강증진프로그램,09:00~18:00,,2021/08/01,"1",1000,6
"234","234",함평군,정은경,산남보건진료소,전라남도 함평군 손불면 석산로 516,35.1197629,126.4254884,061-322-4741,일차진료+보건사업+건강증진프로그램,09:00~18:00,,2021/08/01,"1",1000,24
"235","235",함평군,변은혜,월천보건진료소,전라남도 함평군 손불면 손무로 1050,35.1552274,126.4087319,061-324-4740,일차진료+보건사업+건강증진프로그램,09:00~18:00,,2021/08/01,"1",1000,11
"236","236",함평군,강승희,죽장보건진료소,전라남도 함평군 손불면 죽암죽장길 356,35.1397956,126.4743039,061-322-4742,일차진료+보건사업+건강증진프로그램,09:00~18:00,,2021/08/01,"1",1000,10
"237","237",함평군,이건희,동정보건진료소,전라남도 함평군 신광면 군유로 436,35.1692895,126.4707675,061-322-5493,일차진료+보건사업+건강증진프로그램,09:00~18:00,,2021/08/01,"1",1000,11
"238","238",함평군,김주희,금송보건진료소,전라남도 함평군 학교면 중천포로 457,35.0005772,126.5750298,061-322-6907,일차진료+보건사업+건강증진프로그램,09:00~18:00,,2021/08/01,"1",1000,12
"239","239",함평군,정미혜,복천보건진료소,전라남도 함평군 학교면 고막천로 817,35.0449622,126.5818799,061-322-6712,일차진료+보건사업+건강증진프로그램,09:00~18:00,,2021/08/01,"1",1000,4
"240","240",함평군,이혜영,영흥보건진료소,전라남도 함평군 엄다면 영흥길 78-19,34.9885251,126.5273005,061-322-7612,일차진료+보건사업+건강증진프로그램,09:00~18:00,,2021/08/01,"1",1000,5
"241","241",함평군,심연숙,금곡보건진료소,전라남도 함평군 대동면 옥동길 43,35.0780414,126.5872242,061-322-8838,일차진료+보건사업+건강증진프로그램,09:00~18:00,,2021/08/01,"1",1000,9
"242","242",함평군,박현미,덕산보건진료소,전라남도 함평군 대동면 외덕길 3,35.090614,126.513762,061-322-1624,일차진료+보건사업+건강증진프로그램,09:00~18:00,,2021/08/01,"1",1000,6
"243","243",함평군,김보람,용두보건진료소,전라남도 함평군 나산면 회화정길 17,35.1390823,126.6266148,061-322-8839,일차진료+보건사업+건강증진프로그램,09:00~18:00,,2021/08/01,"1",1000,13
"244","244",함평군,조영애,대각보건진료소,전라남도 함평군 해보면 올림픽로 1018,35.1609003,126.5454452,061-322-1833,일차진료+보건사업+건강증진프로그램,09:00~18:00,,2021/08/01,"1",1000,4
"245","245",함평군,이귀덕,계림보건진료소,전라남도 함평군 월야면 금치죽림길 4-6,35.2148148,126.6284738,061-323-1854,일차진료+보건사업+건강증진프로그램,09:00~18:00,,2021/08/01,"1",1000,9
"246","246",함평군,정성자,양정보건진료소,전라남도 함평군 월야면 갈동길 25,35.1638595,126.6304297,061-323-1853,일차진료+보건사업+건강증진프로그램,09:00~18:00,,2021/08/01,"1",1000,13
"247","247",함평군,정삼숙,정산보건진료소,전라남도 함평군 월야면 해삼로 602,35.2005631,126.6107934,061-323-1852,일차진료+보건사업+건강증진프로그램,09:00~18:00,,2021/08/01,"1",1000,21
"306","306",신안군,임은진,어의도보건진료소,전라남도 신안군 지도읍 어의길 91-5,35.1394884,126.1902003,061-275-8127,내과+외과+소아과,09:00~18:00,,2021/08/01,"1",1000,0
"308","308",신안군,안은희,고이도보건진료소,전라남도 신안군 압해읍 고이길 34,34.9598884,126.2870363,061-246-3983,내과+외과+소아과,09:00~18:00,,2021/08/01,"1",1000,0
"309","309",신안군,이정옥,가란도보건진료소,전라남도 신안군 압해읍 가란길 168,34.8739999,126.3659823,061-271-3736,내과+외과+소아과,09:00~18:00,,2021/08/01,"1",1000,0
