fid,마을회관명,소재지도로명주소,Latitude,Longitude,회원수,대표자,대지면적,건축면적,데이터기준일자,ringId,distance,NUMPOINTS
"1",원심동,전라남도 신안군 지도읍 봉리길 729-57,35.0986252,126.1913146,"25",김길성,360,89.61,2021/11/11,"1",1000.000000,12
"2",당촌,전라남도 신안군 지도읍 당촌길 241-12,35.04333,126.1522321,"42",김질배,531,65.33,2021/11/11,"1",1000.000000,3
"3",선도(진변),전라남도 신안군 지도읍 선도길 14-5,34.976943,126.2695371,"42",박홍,470,66,2021/11/11,"1",1000.000000,0
"4",태천1,전라남도 신안군 지도읍 동천길 655,35.0351994,126.2423003,"77",주광운,661,196.98,2021/11/11,"1",1000.000000,2
"5",둔곡,전라남도 신안군 지도읍 둔곡길 23-10,35.0855991,126.2172008,"39",김생규,1306,95.36,2021/11/11,"1",1000.000000,0
"6",적동,전라남도 신안군 지도읍 적동길 18-1,35.099671,126.2139466,"27",김시태,243,67.8,2021/11/11,"1",1000.000000,3
"7",여성,전라남도 신안군 지도읍 읍내길 109,35.060759,126.2093511,"75",이계영,196.93,86.65,2021/11/11,"1",1000.000000,0
"8",고사,전라남도 신안군 지도읍 두류산길 121,35.0689144,126.1878408,"52",이현웅,398,87.43,2021/11/11,"1",1000.000000,0
"9",탄동,전라남도 신안군 지도읍 탄동길 58-8,35.0462731,126.1713417,"40",신양재,238,71.43,2021/11/11,"1",1000.000000,4
"10",원달,전라남도 신안군 지도읍 원달길 26-2,35.0358089,126.1831511,"31",임석담,446,66.84,2021/11/11,"1",1000.000000,1
"11",황금,전라남도 신안군 지도읍 봉리길 899-27,35.0962191,126.1791754,"36",임태진,228,65,2021/11/11,"1",1000.000000,3
"12",외양,전라남도 신안군 지도읍 외양길 30-2,35.0902672,126.2336572,"30",박성택,367,57,2021/11/11,"1",1000.000000,8
"13",봉동,전라남도 신안군 지도읍 봉리길 629-1,35.0927624,126.1971923,"34",박삼수,646,117.15,2021/11/11,"1",1000.000000,10
"14",내양,전라남도 신안군 지도읍 원내양길 252,35.0969119,126.2407397,"16",박판수,536,76.06,2021/11/11,"1",1000.000000,6
