fid,경로당명,주소,Latitude,Longitude,연락처,ringId,distance,NUMPOINTS
"1",대성,전라남도 함평군 함평읍 남일길 91-4,35.0669431,126.512093,061-324-7766,"1",1000.000000,0
"2",함평리,전라남도 함평군 함평읍 한재골길 57,35.0652328,126.5116252,,"1",1000.000000,0
"3",누각옥천,전라남도 함평군 함평읍 중앙길 187-20,35.0644212,126.5172506,061-322-2069,"1",1000.000000,0
"4",기각2리,전라남도 함평군 함평읍 시장길 105,35.0644898,126.5229466,061-324-4025,"1",1000.000000,0
"5",기산,전라남도 함평군 함평읍 사장길 53,35.0685646,126.5196062,061-324-4541,"1",1000.000000,0
"6",기각4리,전라남도 함평군 함평읍 기산길 38,35.0666761,126.5175234,061-324-2333,"1",1000.000000,0
"7",기각5리,전라남도 함평군 함평읍 중앙길 140-18,35.0658025,126.520236,,"1",1000.000000,0
"8",서부,전라남도 함평군 함평읍 광남길 38-30,35.0628848,126.517946,,"1",1000.000000,0
"9",내교2리,전라남도 함평군 함평읍 내대화길 98,35.0624761,126.5145254,061-322-2808,"1",1000.000000,0
"10",내교3리신기,전라남도 함평군 함평읍 내대화길 19,35.0620522,126.5153194,,"1",1000.000000,0
"11",함평,전라남도 함평군 함평읍 들샘길 24-15,35.0605418,126.522565,061-322-2264,"1",1000.000000,0
"12",함평여자,전라남도 함평군 함평읍 들샘길 24-15,35.0605418,126.522565,061-324-2264,"1",1000.000000,0
"13",동부,전라남도 함평군 함평읍 들샘길 52-21,35.0605418,126.522565,,"1",1000.000000,0
"14",외대화,전라남도 함평군 함평읍 외대화길 39,35.0584697,126.5123289,,"1",1000.000000,0
"15",동광아파트,전라남도 함평군 함평읍 내대화길 112-12,35.0617653,126.5149231,,"1",1000.000000,0
"16",주공,전라남도 함평군 함평읍 교광길 13-8,35.0617572,126.517871,061-322-0599,"1",1000.000000,0
"17",라뷔랑,전라남도 함평군 함평읍 내대화길 112-11,35.0617562,126.5157246,061-324-9604,"1",1000.000000,0
"18",수호,전라남도 함평군 함평읍 함장로 1047-9,35.054433,126.5136134,061-324-0186,"1",1000.000000,15
"19",평호,전라남도 함평군 함평읍 평호길 45,35.0540562,126.5093486,,"1",1000.000000,11
"20",대등,전라남도 함평군 함평읍 대등길 52,35.043699,126.5031428,,"1",1000.000000,12
"21",해동,전라남도 함평군 함평읍 해동길 21,35.0464908,126.5070496,061-322-2776,"1",1000.000000,16
"22",송정,전라남도 함평군 함평읍 송정길 37,35.0371448,126.5001128,061-324-4300,"1",1000.000000,6
"23",소등,전라남도 함평군 함평읍 소등길 23,35.0399253,126.4941341,061-324-5050,"1",1000.000000,8
"24",성북,전라남도 함평군 함평읍 성북길 37-11,35.0408944,126.4864019,061-324-0087,"1",1000.000000,12
"25",삼정,전라남도 함평군 함평읍 함장로 671-5,35.0375427,126.4827498,061-324-3824,"1",1000.000000,12
"26",금곡,전라남도 함평군 함평읍 금곡길 33,35.0395362,126.4731049,061-324-7600,"1",1000.000000,8
"27",신풍,전라남도 함평군 함평읍 신풍길 19,35.0358723,126.4779128,061-322-1399,"1",1000.000000,8
"28",노송,전라남도 함평군 함평읍 자풍길 14-3,35.0358829,126.4737373,061-324-0852,"1",1000.000000,8
"29",만흥,전라남도 함평군 함평읍 작동신풍길 180,35.0492134,126.4813831,,"1",1000.000000,6
"30",만년,전라남도 함평군 함평읍 만년길 34-3,35.0470105,126.4860008,,"1",1000.000000,8
"31",초동,전라남도 함평군 함평읍 초동길 110,35.0523067,126.4903346,061-324-1151,"1",1000.000000,8
"32",산음,전라남도 함평군 함평읍 장교길 34,35.0632712,126.49443,,"1",1000.000000,4
"33",칠언,전라남도 함평군 함평읍 장교길 87-14,35.0604805,126.491231,,"1",1000.000000,8
"34",월봉,전라남도 함평군 함평읍 월봉길 77,35.0586417,126.4787443,061-324-0177,"1",1000.000000,5
"35",작동,전라남도 함평군 함평읍 작동신풍길 256-39,35.0557775,126.4835908,,"1",1000.000000,9
"36",자명,전라남도 함평군 함평읍 자명동길 73,35.0664498,126.4769966,061-324-1173,"1",1000.000000,3
"37",흥용,전라남도 함평군 함평읍 돌머리길 174-5,35.0779667,126.4899344,061-324-8886,"1",1000.000000,10
"38",가작,전라남도 함평군 함평읍 가작길 33-1,35.0744446,126.4904675,,"1",1000.000000,6
"39",용산,전라남도 함평군 함평읍 용산길 75-9,35.0771802,126.4839701,061-322-1014,"1",1000.000000,6
"40",옥산,전라남도 함평군 함평읍 옥산길 13-3,35.0826373,126.4835643,,"1",1000.000000,12
"41",가동,전라남도 함평군 함평읍 가동길 13-4,35.0793266,126.4777343,061-322-2266,"1",1000.000000,6
"42",주포,전라남도 함평군 함평읍 주포로 378,35.0953859,126.4630311,,"1",1000.000000,10
"43",덕흥,전라남도 함평군 함평읍 주포로 341,35.0926841,126.4640578,,"1",1000.000000,11
"44",주포한옥마을,전라남도 함평군 함평읍 주포한옥길 67,35.094984,126.463403,,"1",1000.000000,11
"45",석성2리,전라남도 함평군 함평읍 돌머리길 589,35.083535,126.4493585,,"1",1000.000000,6
"46",청학,전라남도 함평군 함평읍 청학동길 11-7,35.0844298,126.4612289,061-322-9985,"1",1000.000000,10
"47",장고산,전라남도 함평군 함평읍 장고산길 20-2,35.1085525,126.4839848,061-323-8284,"1",1000.000000,14
"48",월선,전라남도 함평군 함평읍 월선길 71,35.0967369,126.4747962,,"1",1000.000000,9
"49",구주포,전라남도 함평군 함평읍 주포로 262-1,35.0936851,126.4715138,,"1",1000.000000,13
"50",백년,전라남도 함평군 함평읍 장년길 71,35.0958852,126.4754481,061-322-3814,"1",1000.000000,7
"51",양림,전라남도 함평군 함평읍 양림길 112,35.0891254,126.4995969,061-324-4427,"1",1000.000000,10
"52",대진,전라남도 함평군 함평읍 한나리길 59,35.0976495,126.4904544,,"1",1000.000000,4
"53",고양촌,전라남도 함평군 함평읍 고양촌길 45,35.0818102,126.5016465,061-324-3808,"1",1000.000000,12
"54",대천,전라남도 함평군 함평읍 대천길 37,35.0708333,126.4987796,061-322-0918,"1",1000.000000,16
"55",백곡,전라남도 함평군 함평읍 남일길 219-6,35.0741117,126.5064611,061-322-5515,"1",1000.000000,17
"56",성덕,전라남도 함평군 함평읍 성덕길 41-4,35.0787046,126.4613068,061-323-6600,"1",1000.000000,6
"57",호산,전라남도 함평군 손불면  지호길  2,35.1540774,126.3946664,061-324-0181,"1",1000.000000,5
"58",복학,전라남도 함평군 손불면 복학길  32,35.1687513,126.3814939,,"1",1000.000000,7
"59",금곡,전라남도 함평군 손불면 손불금곡길 32,35.1651282,126.3914506,,"1",1000.000000,5
"60",학산,전라남도 함평군 손불면 학산길  76,35.1526854,126.3906958,,"1",1000.000000,5
"61",해은,전라남도 함평군 손불면 함평항길113-3,35.1608809,126.3783188,061-324-6073,"1",1000.000000,0
"62",양재,전라남도 함평군 손불면 양재길    195,35.1711673,126.4038715,061-324-3005,"1",1000.000000,4
"63",모량,전라남도 함평군 손불면 모량길      38,35.1604384,126.411034,061-324-4126,"1",1000.000000,9
