Unnamed: 0,name,city,Latitude,Longitude,NUMPOINTS,cluster_label
289,원심동,신안군,35.0986252,126.1913146,12,2
290,당촌,신안군,35.04333,126.1522321,3,2
291,선도(진변),신안군,34.976943,126.2695371,0,0
292,태천1,신안군,35.0351994,126.2423003,2,2
293,둔곡,신안군,35.0855991,126.2172008,0,2
294,적동,신안군,35.099671,126.2139466,3,2
295,여성,신안군,35.060759,126.2093511,0,2
296,고사,신안군,35.0689144,126.1878408,0,2
297,탄동,신안군,35.0462731,126.1713417,4,2
298,원달,신안군,35.0358089,126.1831511,1,2
299,황금,신안군,35.0962191,126.1791754,3,2
300,외양,신안군,35.0902672,126.2336572,8,2
301,봉동,신안군,35.0927624,126.1971923,10,2
302,내양,신안군,35.0969119,126.2407397,6,2
303,송도,신안군,35.0520486,126.2034901,0,2
304,오룡,신안군,35.0504674,126.2448382,6,2
305,내도,신안군,35.0226355,126.1900921,2,2
306,효지,신안군,35.0505682,126.2526923,9,2
307,원광정,신안군,35.0620792,126.2132499,0,2
308,적거,신안군,35.0637481,126.2275408,0,2
309,장동,신안군,35.0779126,126.2116143,0,2
310,묘동,신안군,35.0443317,126.1586569,3,2
311,서동,신안군,35.1022847,126.1859629,11,2
312,자동1,신안군,35.0586283,126.2507273,7,2
313,어의1,신안군,35.1405201,126.1910848,0,2
314,누동,신안군,35.0356062,126.2673817,4,2
315,금출,신안군,35.0871691,126.1736014,2,2
316,연화,신안군,35.0296692,126.2591935,4,2
317,매계,신안군,34.9794746,126.2581125,0,0
318,자서,신안군,35.0562585,126.2455966,8,2
319,가정,신안군,35.0989359,126.2231692,3,2
320,조비,신안군,35.0767122,126.174068,2,2
321,참도,신안군,35.1066142,126.1996632,2,2
322,하탑,신안군,35.0354802,126.1906505,2,2
323,백련,신안군,35.0835547,126.1876376,4,2
324,월산,신안군,35.0685682,126.2130394,0,2
325,감정1,신안군,35.0725908,126.1993399,0,2
326,대실,신안군,35.0901128,126.2037642,6,2
327,읍서,신안군,35.0614841,126.2059701,0,2
328,송항,신안군,35.0918545,126.220781,7,2
329,태이,신안군,35.0241636,126.2347146,2,2
330,북촌,신안군,34.9973294,126.2621132,0,2
331,용교,신안군,35.0686885,126.2204267,0,2
332,선도3,신안군,34.9873063,126.2641585,0,2
333,주동,신안군,34.9812934,126.2673659,0,0
334,원동,신안군,35.100188,126.187695,11,2
335,소감정,신안군,35.0739382,126.1955137,0,2
336,포작,신안군,35.1153348,126.2039203,1,2
337,우전,신안군,34.8763251,126.3035831,4,0
338,대천1(조천),신안군,34.8600119,126.2839443,6,0
339,신촌,신안군,34.8730731,126.3039058,4,0
340,반월,신안군,34.8615799,126.2717004,6,0
341,신장2,신안군,34.8403877,126.3573674,5,0
342,광립,신안군,34.8579353,126.2965087,6,0
343,수락,신안군,34.843221,126.2657893,2,0
344,장감,신안군,34.8250103,126.342134,3,0
345,고이2,신안군,34.9598724,126.2872457,0,0
346,송공2,신안군,34.8527555,126.2415662,6,0
347,신장1,신안군,34.8268422,126.3506495,7,0
348,신장3,신안군,34.8468201,126.3616687,2,0
349,동서2(구항),신안군,34.8571096,126.3154624,0,0
350,송공1,신안군,34.850061,126.2445974,4,0
351,동서1,신안군,34.8674386,126.3049259,0,0
352,원복용,신안군,34.9010557,126.3300341,5,0
353,가룡2리(원가룡),신안군,34.906729,126.3024731,5,0
354,대벌,신안군,34.8579651,126.2705327,7,0
355,학동,신안군,34.8694361,126.3142059,0,0
356,복용4,신안군,34.8984283,126.3383854,3,0
357,분매2,신안군,34.8518655,126.3385875,3,0
358,고이1,신안군,34.9438907,126.2918986,0,0
359,복룡3,신안군,34.8946736,126.3321587,4,0
360,산두,신안군,34.9342374,126.2337926,0,0
361,청석,신안군,34.9183156,126.2222404,0,0
362,대동(매화1),신안군,34.9187275,126.2385174,0,0
363,가룡3,신안군,34.9076351,126.2873325,1,0
364,복룡2,신안군,34.8990095,126.3256984,4,0
365,가란,신안군,34.8741429,126.3656896,0,0
366,숭의,신안군,34.8609977,126.3512779,3,0
367,마산,신안군,34.952552,126.2492086,0,0
743,신안군보건소,신안군,34.8335723,126.3525474,7,0
759,증도면보건지소,신안군,35.0139122,126.1465327,0,2
760,도초면보건지소,신안군,34.7031079,125.954597,4,3
761,하의면보건지소,신안군,34.5955545,126.0388578,4,3
762,신의면보건지소,신안군,34.5847473,126.0884124,11,3
763,장산면보건지소,신안군,34.6403462,126.1474804,10,3
764,팔금면보건지소,신안군,34.7845702,126.1413889,8,3
765,암태면보건지소,신안군,34.8217969,126.0922075,7,3
766,가거도보건지소,신안군,34.0524182,125.1271002,0,1
794,어의도보건진료소,신안군,35.1394884,126.1902003,0,2
795,고이도보건진료소,신안군,34.9598884,126.2870363,0,0
796,가란도보건진료소,신안군,34.8739999,126.3659823,0,0
797,수치도보건진료소,신안군,34.74189,126.0170321,0,3
798,우이도보건진료소,신안군,34.6179853,125.8535213,0,3
799,다물도보건진료소,신안군,34.7368902,125.4444213,0,1
800,영산도 보건진료소,신안군,34.6517001,125.468706,0,1
801,자라도보건진료소,신안군,34.6899183,126.1692453,0,3
802,추포도보건진료소,신안군,34.8128368,126.0661081,2,3
809,구영약국,신안군,34.8289262,126.1145745,8,3
810,세명약국,신안군,34.7212122,125.9327628,6,3
811,유한약국,신안군,35.0864667,126.1071864,7,2
