,name,city,Latitude,Longitude,NUMPOINTS
0,담주 마을회관,담양군,35.3213348,126.980544,0
1,천변 마을회관,담양군,35.3176788,126.9799927,0
2,금곡 마을회관,담양군,35.3180512,126.9845157,0
3,객사1리 마을회관,담양군,35.3226604,126.9880094,0
4,객사2리 마을회관,담양군,35.322303,126.9841953,0
5,향백동 마을회관,담양군,35.3204254,126.9818638,0
6,내동 마을회관,담양군,35.3204254,126.9818638,0
7,신기 마을회관,담양군,35.3204254,126.9818638,0
8,미리산 마을회관,담양군,35.3204254,126.9818638,0
9,서당골 마을회관,담양군,35.3204254,126.9818638,0
10,남촌 마을회관,담양군,35.3204254,126.9818638,0
11,동정자 마을회관,담양군,35.3204254,126.9818638,0
12,광동 마을회관,담양군,35.3204254,126.9818638,0
13,향교 마을회관,담양군,35.3204254,126.9818638,0
14,취영 마을회관,담양군,35.3204254,126.9818638,0
15,신흥 마을회관,담양군,35.3204254,126.9818638,0
16,완동 마을회관,담양군,35.3204254,126.9818638,0
17,벌뫼 마을회관,담양군,35.3204254,126.9818638,0
18,시산 마을회관,담양군,35.3159177,126.9726969,0
19,사미정 마을회관,담양군,35.3159177,126.9726969,0
20,강쟁 마을회관,담양군,35.3036412,126.9645869,0
21,두곡 마을회관,담양군,35.3036412,126.9645869,0
22,신성 마을회관,담양군,35.3036412,126.9645869,0
23,오현 마을회관,담양군,35.306697,126.9988335,0
24,계동 마을회관,담양군,35.299781,126.9916122,0
25,반룡 마을회관,담양군,35.2991639,126.9830123,0
26,용주 마을회관,담양군,35.2991639,126.9830123,0
27,신촌 마을회관,담양군,35.2991639,126.9830123,0
28,연화촌 마을회관,담양군,35.334122,127.017723,0
29,금월 마을회관,담양군,35.334122,127.017723,0
30,오정 마을회관,담양군,35.343653,127.004935,0
31,내동 마을회관,담양군,35.343653,127.004935,0
32,원삼만 마을회관,담양군,35.343653,127.004935,0
33,선계 마을회관,담양군,35.343653,127.004935,0
34,학동 마을회관,담양군,35.3228343,127.0183035,0
35,심곡 마을회관,담양군,35.3174736,127.0084712,0
36,운교 마을회관,담양군,35.336737,126.9840323,0
37,외다 마을회관,담양군,35.3171951,126.9613646,0
38,내다 마을회관,담양군,35.3171951,126.9613646,0
39,고가뫼 마을회관,담양군,35.3204254,126.9818638,0
40,회룡 마을회관,담양군,35.3204254,126.9818638,0
41,대추 마을회관,담양군,35.2762079,126.9569166,4
42,도고 마을회관,담양군,35.2762079,126.9569166,4
43,곡정 마을회관,담양군,35.2762079,126.9569166,4
44,제월 마을회관,담양군,35.2878055,126.9715784,0
45,서봉 마을회관,담양군,35.2892446,126.9743977,0
46,마항 마을회관,담양군,35.2889723,126.9748144,0
47,신학 마을회관,담양군,35.2762079,126.9569166,4
48,학동 마을회관,담양군,35.2762079,126.9569166,4
49,탄금 마을회관,담양군,35.273049,126.973604,0
50,방축 마을회관,담양군,35.273049,126.973604,0
51,연산 마을회관,담양군,35.2749091,126.9655994,4
52,상덕 마을회관,담양군,35.273049,126.973604,0
53,송산 마을회관,담양군,35.273049,126.973604,0
54,연동 마을회관,담양군,34.7934969,126.3897233,0
55,죽림 마을회관,담양군,35.2762079,126.9569166,4
56,유산 마을회관,담양군,35.2762079,126.9569166,4
57,마산 마을회관,담양군,35.2762079,126.9569166,4
58,양지 마을회관,담양군,35.2546525,126.9385287,10
59,월전 마을회관,담양군,34.8679,126.991,0
60,와우 마을회관,담양군,34.8679,126.991,0
61,신평 마을회관,담양군,34.8679,126.991,0
62,봉학 마을회관,담양군,35.2762079,126.9569166,4
63,삼지 마을회관,담양군,35.2681311,126.9390882,4
64,교촌 마을회관,담양군,35.215902,126.9823096,2
65,하북산 마을회관,담양군,35.215902,126.9823096,2
66,장성물 마을회관,담양군,35.215902,126.9823096,2
67,덕촌 마을회관,담양군,35.2235263,126.9731564,9
68,신양 마을회관,담양군,35.2235263,126.9731564,9
69,잣정 마을회관,담양군,35.2235263,126.9731564,9
70,용대 마을회관,담양군,35.2235263,126.9731564,9
71,운현 마을회관,담양군,35.2235263,126.9731564,9
72,노채 마을회관,담양군,35.2235263,126.9731564,9
73,금단동 마을회관,담양군,35.2235263,126.9731564,9
74,성산 마을회관,담양군,35.2183647,126.9788511,7
75,월천 마을회관,담양군,35.2219692,126.9789421,7
76,검단 마을회관,담양군,35.2217038,126.9789993,7
