Longitude,Latitude,fid,NUMPOINTS
125.1271002,34.0524182,1551,0
125.19414,34.6843768,1552,0
125.378067,34.6783556,1566,0
125.4103822,34.6450622,1573,4
125.4444213,34.7368902,1563,0
125.4637811,34.7306001,1562,0
125.468706,34.6517001,1564,0
125.4690635,34.2072271,1565,0
125.8535213,34.6179853,1561,0
125.9327628,34.7212122,352,6
125.954597,34.7031079,1543,4
126.0084704,34.6128745,1567,1
126.0170321,34.74189,1560,0
126.0284706,35.0865244,1559,0
126.0388578,34.5955545,1545,4
126.0661081,34.8128368,1574,2
126.0696647,34.678091,1568,0
126.0884124,34.5847473,1546,11
126.0922075,34.8217969,1550,7
126.1038087,34.7000743,1570,0
126.1071864,35.0864667,536,7
126.1074813,35.0864236,1540,7
126.1145745,34.8289262,58,8
126.1413889,34.7845702,1549,8
126.1465327,35.0139122,1539,0
126.1474804,34.6403462,1547,10
126.1522321,35.04333,1458,3
126.1586569,35.0443317,1478,3
126.1692453,34.6899183,1571,0
126.1713417,35.0462731,1465,4
126.1736014,35.0871691,1483,2
126.174068,35.0767122,1488,2
126.1774163,34.8856474,1572,0
126.1791754,35.0962191,1467,3
126.1831511,35.0358089,1466,1
126.1859629,35.1022847,1479,11
126.1876376,35.0835547,1491,4
126.187695,35.100188,1502,11
126.1900921,35.0226355,1473,2
126.1902003,35.1394884,1554,0
126.1906505,35.0354802,1490,2
126.1910848,35.1405201,1481,0
126.1913146,35.0986252,1457,12
126.1971923,35.0927624,1469,10
126.1996632,35.1066142,1489,2
126.2037642,35.0901128,1494,6
126.2039203,35.1153348,1504,1
126.2079986,34.621501,1569,0
126.2134337,34.9596949,1558,0
126.2139466,35.099671,1462,3
126.220781,35.0918545,1496,7
126.2222404,34.9183156,1529,0
126.2231692,35.0989359,1487,3
126.2336572,35.0902672,1468,8
126.2337926,34.9342374,1528,0
126.2347146,35.0241636,1497,2
126.2385174,34.9187275,1530,0
126.2407397,35.0969119,1470,6
126.2415662,34.8527555,1514,6
126.2423003,35.0351994,1460,2
126.2428314,34.9169675,1555,0
126.2445974,34.850061,1518,4
126.2448382,35.0504674,1472,6
126.2455966,35.0562585,1486,8
126.2492086,34.952552,1535,0
126.2507273,35.0586283,1480,7
126.2526923,35.0505682,1474,9
126.2581125,34.9794746,1485,0
126.2591935,35.0296692,1484,4
126.2621132,34.9973294,1498,0
126.2641585,34.9873063,1500,0
126.2657893,34.843221,1511,2
126.2673659,34.9812934,1501,0
126.2673817,35.0356062,1482,4
126.2694135,34.9766249,1553,0
126.2695371,34.976943,1459,0
126.2705327,34.8579651,1522,7
126.2717004,34.8615799,1508,6
126.2839443,34.8600119,1506,6
126.2870363,34.9598884,1556,0
126.2872457,34.9598724,1513,0
126.2873325,34.9076351,1531,1
126.2918986,34.9438907,1526,0
126.2965087,34.8579353,1510,6
126.3024731,34.906729,1521,5
126.3035831,34.8763251,1505,4
126.3039058,34.8730731,1507,4
