강진군 경로당 현황,,,,
연번,읍면명,경로당명,주소,
1,강진읍,덕동경로당,전라남도 강진군 강진읍 강진덕동길 33,
2,강진읍,점수경로당,전라남도 강진군 강진읍 교촌길 62-10,
3,강진읍,신풍경로당,전라남도 강진군 강진읍 교촌리 74-1,
4,강진읍,평동남자경로당,전라남도 강진군 강진읍 금릉3길 10,
5,강진읍,평동여자경로당,전라남도 강진군 강진읍 금릉3길 10,
6,강진읍,학수경로당,전라남도 강진군 강진읍 남포길 42-2,
7,강진읍,기룡경로당,전라남도 강진군 강진읍 덕남로 156,
8,강진읍,도원경로당,전라남도 강진군 강진읍 도원길 28,
9,강진읍,고내경로당,전라남도 강진군 강진읍 동문길 15,
10,강진읍,동문경로당,전라남도 강진군 강진읍 동문길 34,
11,강진읍,동명경로당,전라남도 강진군 강진읍 동성로 18-3,
12,강진읍,목리여자경로당,전라남도 강진군 강진읍 목리안2길 10-1,
13,강진읍,목화경로당,전라남도 강진군 강진읍 목화길 29,
14,강진읍,중앙동경로당,전라남도 강진군 강진읍 보은로 79,
15,강진읍,수성당경로당,전라남도 강진군 강진읍 보은로3길 59-2,
16,강진읍,보전경로당,전라남도 강진군 강진읍 보전길 16-5,
17,강진읍,대동경로당,전라남도 강진군 강진읍 삼일로 42,
18,강진읍,씨엔에스3차경로당,전라남도 강진군 강진읍 서문길 29-9,
19,강진읍,LH 건우경로당,전라남도 강진군 강진읍 서성1길 21,
20,강진읍,신성경로당,전라남도 강진군 강진읍 서성2길 10,
21,강진읍,홍암경로당,전라남도 강진군 강진읍 솔치로 12-9,
22,강진읍,봉덕경로당,전라남도 강진군 강진읍 송덕길 105-7,
23,강진읍,송현경로당,전라남도 강진군 강진읍 송덕안길 27-4,
24,강진읍,송정경로당,전라남도 강진군 강진읍 송정길 58,
25,강진읍,신천경로당,전라남도 강진군 강진읍 신천길 58,
26,강진읍,신학경로당,전라남도 강진군 강진읍 신학길 20,
27,강진읍,사)대한노인회강진읍분회,전라남도 강진군 강진읍 영랑로1길 25,
28,강진읍,남문경로당,전라남도 강진군 강진읍 영랑로2길 13,
29,강진읍,팔영경로당,전라남도 강진군 강진읍 영파길 101,
30,강진읍,장동경로당,전라남도 강진군 강진읍 영파길 221,
31,강진읍,차경경로당,전라남도 강진군 강진읍 영파길 8-27,
32,강진읍,옥치경로당,전라남도 강진군 강진읍 옥치길 37,
33,강진읍,목리남자경로당,전라남도 강진군 강진읍 이학래길 23,
34,강진읍,장전경로당,전라남도 강진군 강진읍 장전길 42-5,
35,강진읍,영당경로당,전라남도 강진군 강진읍 중앙로 59,
36,강진읍,향일경로당,전라남도 강진군 강진읍 지전로 110-4,
37,강진읍,월정경로당,전라남도 강진군 강진읍 지전로안길 47-20,
38,강진읍,부춘경로당,전라남도 강진군 강진읍 지전부춘길 20,
39,강진읍,월남경로당,전라남도 강진군 강진읍 지전월남길 210-11,
40,강진읍,초동경로당,전라남도 강진군 강진읍 초동길 33,
41,강진읍,춘곡경로당,전라남도 강진군 강진읍 춘곡길 77,
42,강진읍,서문경로당,전라남도 강진군 강진읍 탐진로 77,
43,강진읍,탑동경로당,전라남도 강진군 강진읍 탑동길 9-1,
44,강진읍,금호경로당,전라남도 강진군 강진읍 평동2길 31,
45,강진읍,학림경로당,전라남도 강진군 강진읍 학림길 6,
46,강진읍,학산경로당,전라남도 강진군 강진읍 학산길 27,
47,강진읍,교촌경로당,전라남도 강진군 강진읍 향교로 116,
48,강진읍,호산경로당,전라남도 강진군 강진읍 호산길 28,
49,강진읍,화전경로당,전라남도 강진군 강진읍 화전발산길 26,
50,강진읍,발산경로당,전라남도 강진군 강진읍 화전발산길 82,
51,군동면,갈전경로당,전라남도 강진군 군동면 갈전길 13-1,
52,군동면,안풍경로당,전라남도 강진군 군동면 군동금강길 115,
53,군동면,평리경로당,전라남도 강진군 군동면 군동평리길 23,
54,군동면,양산경로당,전라남도 강진군 군동면 군장로 310-6,
55,군동면,금곡경로당,전라남도 강진군 군동면 금곡길 62,
56,군동면,월봉경로당,전라남도 강진군 군동면 금사길 193,
57,군동면,금사경로당,전라남도 강진군 군동면 금사길 62,
58,군동면,삼화경로당,전라남도 강진군 군동면 금천로 309,
59,군동면,남향경로당,전라남도 강진군 군동면 남향길 24,
60,군동면,내동경로당,전라남도 강진군 군동면 내동길 40,
61,군동면,대곡경로당,전라남도 강진군 군동면 대곡길 5-1,
62,군동면,덕마경로당,전라남도 강진군 군동면 덕마길 17,
63,군동면,덕천경로당,전라남도 강진군 군동면 덕천2길 20,
64,군동면,관덕경로당,전라남도 강진군 군동면 동관덕길 17,
65,군동면,동동경로당,전라남도 강진군 군동면 동동길 99,
66,군동면,명암경로당,전라남도 강진군 군동면 명암길 48-2,
67,군동면,문화경로당,전라남도 강진군 군동면 문화마을길 6,
68,군동면,중흥경로당,전라남도 강진군 군동면 백금포길 7 (중흥아파트 관리동 2층),
69,군동면,하신경로당,전라남도 강진군 군동면 비자동1길 14,
70,군동면,합섬경로당,전라남도 강진군 군동면 비자동2길 12,
71,군동면,생동경로당,전라남도 강진군 군동면 생동길 56,
72,군동면,서은경로당,전라남도 강진군 군동면 서은길 106,
73,군동면,석교경로당,전라남도 강진군 군동면 석교로 197,
74,군동면,석동경로당,전라남도 강진군 군동면 석동길 34,
75,군동면,시목경로당,전라남도 강진군 군동면 시목안길 7,
76,군동면,신기경로당,전라남도 강진군 군동면 신기길 5,
77,군동면,신리경로당,전라남도 강진군 군동면 신리길 10-6,
78,군동면,안지경로당,전라남도 강진군 군동면 안지서길 2,
79,군동면,연화경로당,전라남도 강진군 군동면 연화길 17,
80,군동면,영포경로당,전라남도 강진군 군동면 영포1길 8,
81,군동면,영화경로당,전라남도 강진군 군동면 영화길 17,
82,군동면,장항경로당,전라남도 강진군 군동면 장항길 8,
83,군동면,중산경로당,전라남도 강진군 군동면 중산길 14,
84,군동면,오산경로당,전라남도 강진군 군동면 진흥로 171,
85,군동면,군동면경로당,전라남도 강진군 군동면 진흥로 324-9,
86,군동면,평덕경로당,전라남도 강진군 군동면 평덕길 46-1,
87,군동면,풍동경로당,전라남도 강진군 군동면 풍동1길 19,
88,군동면,벽송경로당,전라남도 강진군 군동면 풍동1길 33,
89,군동면,봉산노인회,전라남도 강진군 군동면 풍동길 110,
90,군동면,학평경로당,전라남도 강진군 군동면 학평길 66,
91,군동면,호동경로당,전라남도 강진군 군동면 호동길 25,
92,군동면,화방경로당,전라남도 강진군 군동면 화방1길 6,
93,군동면,화방여자경로당,전라남도 강진군 군동면 화방1길 6,
94,군동면,달령경로당,전라남도 강진군 군동면 화방로 405-106,
95,칠량면,신암경로당,전라남도 강진군 칠량면 고현신암길 113,
96,칠량면,고현경로당,전라남도 강진군 칠량면 고현신암길 37-1,
97,칠량면,율변노인당,전라남도 강진군 칠량면 단월리 366,
98,칠량면,덕동경로당,전라남도 강진군 칠량면 덕동길 69,
99,칠량면,동백경로당,전라남도 강진군 칠량면 동백로 206,
100,칠량면,사구경로당,전라남도 강진군 칠량면 명주1길 165,
101,칠량면,명주경로당,전라남도 강진군 칠량면 명주리 360-2,
102,칠량면,목암경로당,전라남도 강진군 칠량면 목암길 85-5,
103,칠량면,반계경로당,전라남도 강진군 칠량면 반계길 7-10,
104,칠량면,벽송경로당,전라남도 강진군 칠량면 벽송길 2,
105,칠량면,봉황경로당,전라남도 강진군 칠량면 보련봉황길 51-1,
106,칠량면,보련경로당,전라남도 강진군 칠량면 봉황리 119,
107,칠량면,사부경로당,전라남도 강진군 칠량면 사부길 28,
108,칠량면,신흥경로당,전라남도 강진군 칠량면 삼흥안길 102,
109,칠량면,삼강경로당,전라남도 강진군 칠량면 삼흥안길 96-6,
110,칠량면,구로경로당,전라남도 강진군 칠량면 송로리 248,
111,칠량면,송산경로당,전라남도 강진군 칠량면 송산1길 8,
112,칠량면,송촌경로당,전라남도 강진군 칠량면 송정리 238,
113,칠량면,영계경로당,전라남도 강진군 칠량면 송정리 473,
114,칠량면,아산경로당,전라남도 강진군 칠량면 아산길 62,
115,칠량면,영평경로당,전라남도 강진군 칠량면 영계1길 62,
116,칠량면,운산경로당,전라남도 강진군 칠량면 영동1길 118,
117,칠량면,연곡경로당,전라남도 강진군 칠량면 영동1길 182,
118,칠량면,영동경로당,전라남도 강진군 칠량면 영동안길 23,
119,칠량면,한림경로당,전라남도 강진군 칠량면 영복리 175,
120,칠량면,영풍경로당,전라남도 강진군 칠량면 영복리 335-6,
121,칠량면,만복경로당,전라남도 강진군 칠량면 영복리 743,
122,칠량면,월궁경로당,전라남도 강진군 칠량면 월궁길 2,
123,칠량면,장포경로당,전라남도 강진군 칠량면 장계리 6884,
124,칠량면,중흥노인당,전라남도 강진군 칠량면 중흥태평길 10,
125,칠량면,한림와촌 경로당,전라남도 강진군 칠량면 청자로 685-9,
126,칠량면,치산경로당,전라남도 강진군 칠량면 치산길 16-4,
127,칠량면,강동경로당,전라남도 강진군 칠량면 칠량로 68-4,
128,칠량면,칠량면노인회,전라남도 강진군 칠량면 칠량로 72-1,
129,칠량면,월송경로당,전라남도 강진군 칠량면 칠량월송길 45-2,
130,칠량면,학동경로당,전라남도 강진군 칠량면 칠량학동길 53,
131,칠량면,현천경로당,전라남도 강진군 칠량면 현천길 60,
132,대구면,청용경로당,전라남도 강진군 대구면 계율길 117-12,
133,대구면,난산경로당,전라남도 강진군 대구면 계율길 200,
134,대구면,계치경로당,전라남도 강진군 대구면 계율길 39,
135,대구면,남호경로당,전라남도 강진군 대구면 구수리 1187,
136,대구면,구곡경로당,전라남도 강진군 대구면 구수리 812,
137,대구면,미산경로당,전라남도 강진군 대구면 미산길 36,
138,대구면,당전경로당,전라남도 강진군 대구면 사당리 462,
139,대구면,백사경로당,전라남도 강진군 대구면 사당리 514,
140,대구면,수동경로당,전라남도 강진군 대구면 사당리 514,
141,대구면,상저경로당,전라남도 강진군 대구면 상저길 25,
142,대구면,대구노인회,전라남도 강진군 대구면 수동리 998번지 2호,
143,대구면,용문경로당,전라남도 강진군 대구면 용문길 34,
144,대구면,하저경로당,전라남도 강진군 대구면 저두리 396,
145,대구면,항동경로당,전라남도 강진군 대구면 정수사길 317,
146,대구면,중저경로당,전라남도 강진군 대구면 중저길 75,
147,마량면,마량1구경로당,전라남도 강진군 마량면 마량2길 19-1,
148,마량면,마량수연당,전라남도 강진군 마량면 마량3길 13,
149,마량면,마량2구 경로당,전라남도 강진군 마량면 마량5길 26,
150,마량면,마량면 분회,전라남도 강진군 마량면 마량8길 20,
151,마량면,영동경로당,전라남도 강진군 마량면 마량영동로 344-1,
152,마량면,신마경로당,전라남도 강진군 마량면 삼마로 115,
153,마량면,상분경로당,전라남도 강진군 마량면 상분길 15,
154,마량면,서중노인회,전라남도 강진군 마량면 서중길 12,
155,마량면,서중여자경로당,전라남도 강진군 마량면 서중길 13,
156,마량면,수인경로당,전라남도 강진군 마량면 수인안길 9-1,
157,마량면,수인애월당,전라남도 강진군 마량면 수인안길 9-1,
158,마량면,숙마경로당,전라남도 강진군 마량면 숙마길 8,
159,마량면,영춘경로당,전라남도 강진군 마량면 영춘길 3-1,
160,마량면,원포경로당,전라남도 강진군 마량면 원포길 19,
161,마량면,연동경로당,전라남도 강진군 마량면 청자로 2469,
162,마량면,연동여자경로당,전라남도 강진군 마량면 청자로 2469,
163,마량면,상흥노인회,전라남도 강진군 마량면 하분2길 7,
164,도암면,산정경로당,전라남도 강진군 도암면 466,
165,도암면,동령경로당,전라남도 강진군 도암면 756,
166,도암면,가우도경로당,전라남도 강진군 도암면 가우도길 27,
167,도암면,강성경로당,전라남도 강진군 도암면 강성길 10,
168,도암면,계산경로당,전라남도 강진군 도암면 계산길 107,
169,도암면,귀라경로당,전라남도 강진군 도암면 귀라1길 29,
170,도암면,계라벌국 경로당,전라남도 강진군 도암면 귀라2길 5-4,
171,도암면,신기경로당,전라남도 강진군 도암면 기전로 309,
172,도암면,보동여자경로당,전라남도 강진군 도암면 다산수련원길 20,
173,도암면,덕산경로당,전라남도 강진군 도암면 다산초당1길 30-3,
174,도암면,귤동마을 경로당,전라남도 강진군 도암면 다산초당길 42,
175,도암면,만덕경로당,전라남도 강진군 도암면 다산초당길 9,
176,도암면,덕촌경로당,전라남도 강진군 도암면 덕촌길 41,
177,도암면,송학경로당,전라남도 강진군 도암면 도암송학길 91-9,
178,도암면,신리경로당,전라남도 강진군 도암면 도암신리길 56,
179,도암면,영동경로당,전라남도 강진군 도암면 도암영동길 36,
180,도암면,영동2반 경로당,전라남도 강진군 도암면 도암영동길 36,
181,도암면,장촌경로당,전라남도 강진군 도암면 도암중앙로 56-1,
182,도암면,도암여자경로당,전라남도 강진군 도암면 도암중앙로 57-7,
183,도암면,도암분회경로당,전라남도 강진군 도암면 도암중앙로 57-7,
184,도암면,마점경로당,전라남도 강진군 도암면 마점길 3,
185,도암면,만년경로당,전라남도 강진군 도암면 만년길 108,
186,도암면,율포경로당,전라남도 강진군 도암면 만덕간척로 88-8,
187,도암면,만세경로당,전라남도 강진군 도암면 만세길 150,
188,도암면,망호경로당,전라남도 강진군 도암면 망호길 27,
189,도암면,봉황경로당,전라남도 강진군 도암면 봉황로 334-10,
190,도암면,부흥경로당,전라남도 강진군 도암면 부흥길 38,
191,도암면,석천경로당,전라남도 강진군 도암면 석천길 2-1,
192,도암면,성자경로당,전라남도 강진군 도암면 성자길 49,
193,도암면,신덕경로당,전라남도 강진군 도암면 신덕길 124,
194,도암면,신평경로당,전라남도 강진군 도암면 신평길 111,
195,도암면,옥전경로당,전라남도 강진군 도암면 옥전2길 4,
196,도암면,용산경로당,전라남도 강진군 도암면 용산길 65,
197,도암면,용암경로당,전라남도 강진군 도암면 용암길 27,
198,도암면,월하3반경로당,전라남도 강진군 도암면 월하1길 85-11,
199,도암면,월하경로당,전라남도 강진군 도암면 월하안길 26,
200,도암면,지석경로당,전라남도 강진군 도암면 지석마을길 59,
201,도암면,청용경로당,전라남도 강진군 도암면 청룡길 50,
202,도암면,선장경로당,전라남도 강진군 도암면 학장로 153-3,
203,도암면,표장경로당,전라남도 강진군 도암면 학장로 199,
204,도암면,항촌경로당,전라남도 강진군 도암면 항촌안길 7,
205,도암면,회룡경로당,전라남도 강진군 도암면 회룡1길 42-3,
206,도암면,회룡2구 경로당,전라남도 강진군 도암면 회룡2길 67,
207,신전면,노해경로당,전라남도 강진군 신전면 노해길 39,
208,신전면,논정경로당,전라남도 강진군 신전면 논정길 6,
209,신전면,대벌경로당,전라남도 강진군 신전면 대벌길 32,
210,신전면,대월경로당,전라남도 강진군 신전면 대월월해길 79,
211,신전면,백용경로당,전라남도 강진군 신전면 백용길 40,
212,신전면,백화노인회,전라남도 강진군 신전면 백화길 14,
213,신전면,사초경로당,전라남도 강진군 신전면 사초안길 36,
214,신전면,사초여자경로당,전라남도 강진군 신전면 사초앞길 7,
