시도명,시군구명,구분,회관명,소재지,규모(제곱미터),데이터기준일자
전라남도,곡성군,곡성읍,읍내1구 마을회관,전라남도 곡성군 곡성읍 읍내리 485,66.1,2021-09-26
전라남도,곡성군,곡성읍,읍내2구 마을회관,전라남도 곡성군 곡성읍 읍내리 181-4,92.9,2021-09-26
전라남도,곡성군,곡성읍,읍내3구 마을회관,전라남도 곡성군 곡성읍 읍내리 365-1,112.7,2021-09-26
전라남도,곡성군,곡성읍,읍내4구 마을회관,전라남도 곡성군 곡성읍 읍내리 202-1,73.9,2021-09-26
전라남도,곡성군,곡성읍,읍내5구 마을회관,전라남도 곡성군 곡성읍 읍내리 416-9,115.2,2021-09-26
전라남도,곡성군,곡성읍,읍내6구 마을회관,전라남도 곡성군 곡성읍 읍내리 810-4,48.5,2021-09-26
전라남도,곡성군,곡성읍,읍내7구 마을회관,전라남도 곡성군 곡성읍 읍내리 774-7,60,2021-09-26
전라남도,곡성군,곡성읍,학정1구 마을회관,전라남도 곡성군 곡성읍 학정리 451-6,82.5,2021-09-26
전라남도,곡성군,곡성읍,학정2구 마을회관,전라남도 곡성군 곡성읍 학정리 546-1,89.7,2021-09-26
전라남도,곡성군,곡성읍,교촌리 마을회관,전라남도 곡성군 곡성읍 교촌리 156,58.3,2021-09-26
전라남도,곡성군,곡성읍,죽동리 마을회관,전라남도 곡성군 곡성읍 죽동리 224-1,204.4,2021-09-26
전라남도,곡성군,곡성읍,신월리 마을회관,전라남도 곡성군 곡성읍 신월리 80-34,132,2021-09-26
전라남도,곡성군,곡성읍,월평리 마을회관,전라남도 곡성군 곡성읍 월평리 290-7,92,2021-09-26
전라남도,곡성군,곡성읍,월봉리 마을회관,전라남도 곡성군 곡성읍 월봉리 83-3,68,2021-09-26
전라남도,곡성군,곡성읍,구원1구 마을회관,전라남도 곡성군 곡성읍 구원리 711-1,58.3,2021-09-26
전라남도,곡성군,곡성읍,구원2구 마을회관,전라남도 곡성군 곡성읍 구원리 424-2 외1,156.2,2021-09-26
전라남도,곡성군,곡성읍,서계리 마을회관,전라남도 곡성군 곡성읍 서계리 46-2,66.2,2021-09-26
전라남도,곡성군,곡성읍,대평1구 마을회관,전라남도 곡성군 곡성읍 대평리 832-9,96.2,2021-09-26
전라남도,곡성군,곡성읍,대평2구 마을회관,전라남도 곡성군 곡성읍 대평리 716-1,82.6,2021-09-26
전라남도,곡성군,곡성읍,대평3구 마을회관,전라남도 곡성군 곡성읍 대평리 1008-1,79.3,2021-09-26
전라남도,곡성군,곡성읍,신리 마을회관,전라남도 곡성군 곡성읍 신리 325-1 외1,99,2021-09-26
전라남도,곡성군,곡성읍,동산리 마을회관,전라남도 곡성군 곡성읍 동산리 58,97.1,2021-09-26
전라남도,곡성군,곡성읍,장선1구 마을회관,전라남도 곡성군 곡성읍 장선리 313,85,2021-09-26
전라남도,곡성군,곡성읍,장선2구 마을회관,전라남도 곡성군 곡성읍 장선리 398-5,85.2,2021-09-26
전라남도,곡성군,곡성읍,신기1구 마을회관,전라남도 곡성군 곡성읍 신기리 665-4,98,2021-09-26
전라남도,곡성군,곡성읍,신기2구 마을회관,전라남도 곡성군 곡성읍 신기리 302-4,97.5,2021-09-26
전라남도,곡성군,곡성읍,신기3구 마을회관,전라남도 곡성군 곡성읍 신기리 823,85,2021-09-26
전라남도,곡성군,곡성읍,묘천1구 마을회관,전라남도 곡성군 곡성읍 묘천리 40,83,2021-09-26
전라남도,곡성군,곡성읍,묘천2구 마을회관,전라남도 곡성군 곡성읍 묘천리 189-2,47.4,2021-09-26
전라남도,곡성군,오곡면,오지1구 마을회관,전라남도 곡성군 오곡면 오지3길 6-1,91.1,2021-09-26
전라남도,곡성군,오곡면,오지2구 마을회관,전라남도 곡성군 오곡면 오지4길 19-1,106.2,2021-09-26
전라남도,곡성군,오곡면,오지3구 마을회관,전라남도 곡성군 오곡면 오지8길 13,91.8,2021-09-26
전라남도,곡성군,오곡면,오지4구 마을회관,전라남도 곡성군 오곡면 오지5길 6,78.4,2021-09-26
전라남도,곡성군,오곡면,오지5구 마을회관,전라남도 곡성군 오곡면 오지3길 17,50.9,2021-09-26
전라남도,곡성군,오곡면,오지6구 마을회관,전라남도 곡성군 오곡면 기차마을로 220-6,94.5,2021-09-26
전라남도,곡성군,오곡면,오지7구 마을회관,전라남도 곡성군 오곡면 오지당산길 24,82.6,2021-09-26
전라남도,곡성군,오곡면,오지8구 마을회관,전라남도 곡성군 오곡면 오지신동길 28,40.7,2021-09-26
전라남도,곡성군,오곡면,덕산리 마을회관,전라남도 곡성군 오곡면 덕산양지길 6,86.1,2021-09-26
전라남도,곡성군,오곡면,침곡리 마을회관,전라남도 곡성군 오곡면 침곡길 24,66,2021-09-26
전라남도,곡성군,오곡면,송정리 마을회관,전라남도 곡성군 오곡면 심청로 26,63.2,2021-09-26
전라남도,곡성군,오곡면,봉조1구 마을회관,전라남도 곡성군 오곡면 봉조길 324-12,48.1,2021-09-26
전라남도,곡성군,오곡면,봉조2구 마을회관,전라남도 곡성군 오곡면 현조길 47-45,50.7,2021-09-26
전라남도,곡성군,오곡면,압록1구 마을회관,전라남도 곡성군 오곡면 섬진강로 1061-3,81.4,2021-09-26
전라남도,곡성군,오곡면,압록2구 마을회관,전라남도 곡성군 오곡면 봉조길 37,65.8,2021-09-26
전라남도,곡성군,오곡면,승법리 마을회관,전라남도 곡성군 오곡면 승법길 106,78.5,2021-09-26
전라남도,곡성군,오곡면,명산리 마을회관,전라남도 곡성군 오곡면 명산길 103,73.2,2021-09-26
전라남도,곡성군,오곡면,구성1구 마을회관,전라남도 곡성군 오곡면 구성장성길 5,90.5,2021-09-26
전라남도,곡성군,오곡면,구성2구 마을회관,전라남도 곡성군 오곡면 구성길 5-4,83.9,2021-09-26
전라남도,곡성군,오곡면,미산1구 마을회관,전라남도 곡성군 오곡면 미산산수길 14,78.8,2021-09-26
전라남도,곡성군,오곡면,미산2구 마을회관,전라남도 곡성군 오곡면 미산번다몰길 10,52.9,2021-09-26
전라남도,곡성군,오곡면,미산3구 마을회관,전라남도 곡성군 오곡면 미산미륵길 14,73.6,2021-09-26
전라남도,곡성군,삼기면,원등1구 마을회관,전라남도 곡성군 삼기면 원등리 922-1,57.6,2021-09-26
전라남도,곡성군,삼기면,원등2구 마을회관,전라남도 곡성군 삼기면 원등리 1096-1,62.7,2021-09-26
전라남도,곡성군,삼기면,원등3구 마을회관,전라남도 곡성군 삼기면 원등리 299-1,65.3,2021-09-26
전라남도,곡성군,삼기면,학동 마을회관,전라남도 곡성군 삼기면 원등리 325,72.9,2021-09-26
전라남도,곡성군,삼기면,덕동 마을회관,전라남도 곡성군 삼기면 원등리 441-1,46.2,2021-09-26
전라남도,곡성군,삼기면,월경 마을회관,전라남도 곡성군 삼기면 월경리 88,93.8,2021-09-26
전라남도,곡성군,삼기면,행정 마을회관,전라남도 곡성군 삼기면 월경리 321-3,66,2021-09-26
전라남도,곡성군,삼기면,연봉 마을회관,전라남도 곡성군 삼기면 괴소리 647-1,101.9,2021-09-26
전라남도,곡성군,삼기면,괴소 마을회관,전라남도 곡성군 삼기면 괴소리 137,89.3,2021-09-26
전라남도,곡성군,삼기면,서봉 마을회관,전라남도 곡성군 삼기면 의암리 313-1,52.1,2021-09-26
전라남도,곡성군,삼기면,의암 마을회관,전라남도 곡성군 삼기면 의암리 313-1,66,2021-09-26
전라남도,곡성군,삼기면,금반 마을회관,전라남도 곡성군 삼기면 금반리 601,64.4,2021-09-26
전라남도,곡성군,삼기면,율곡 마을회관,전라남도 곡성군 삼기면 금반리 183-1 외1,71.3,2021-09-26
