읍면,마을명,회관명,소재지(주소),건축연도,규모,전화번호
구례읍,사동,사동마을회관,전라남도 구례군 구례읍 사동길 129-15,2012,80,061-783-5323
구례읍,시동,시동마을회관,전라남도 구례군 구례읍 시동길 38,2008,91,061-782-5088
구례읍,아양,아양마을회관,전라남도 구례군 구례읍 아양길 53,1982,92,061-782-7919
구례읍,백련,백련마을회관,전라남도 구례군 구례읍 백련길 20,2000,205,061-782-2404
구례읍,봉북,봉북마을회관,전라남도 구례군 구례읍 봉북길 3,1977,272,061-782-2151
구례읍,봉동,봉동마을회관,전라남도 구례군 구례읍 상설시장길 20-11,2007,184,061-782-3619
구례읍,봉남,봉남마을회관,전라남도 구례군 구례읍 봉남길 8,2000,377,061-782-2379
구례읍,산수동,산수동마을회관,전라남도 구례군 구례읍 산수동1길 8-2,2000,48,061-782-8648
구례읍,봉서,봉서마을회관,전라남도 구례군 구례읍 봉서길 37,1946,113,061-783-3336
구례읍,산정,산정마을회관,전라남도 구례군 구례읍 봉서산정길 61-1,2014,69,061-782-2602
구례읍,동산,동산마을회관,전라남도 구례군 구례읍 동산1길 90-11,1984,74,061-782-2497
구례읍,오봉,오봉마을회관,전라남도 구례군 구례읍 강촌길 1,2008,174,061-782-9049
구례읍,양정,양정마을회관,전라남도 구례군 구례읍 양정1길 78,2010,178,061-783-5870
구례읍,원천,원천마을회관,전라남도 구례군 구례읍 원천길 76-2,1996,213,061-782-0394
구례읍,병방,병방마을회관,전라남도 구례군 구례읍 병방길 12,1984,68,061-782-7904
구례읍,신촌,신촌마을회관,전라남도 구례군 구례읍 신촌길 30,2009,113,061-783-5953
구례읍,월암,월암마을회관,전라남도 구례군 구례읍 월암길 64,1998,269,061-782-5086
구례읍,독자,독자마을회관,전라남도 구례군 구례읍 독자1길 7,1976,78,061-782-6671
구례읍,유곡,유곡마을회관,전라남도 구례군 구례읍 하유길 2,1981,66,061-783-8918
구례읍,논곡,논곡마을회관,전라남도 구례군 구례읍 논곡길 96,1998,116,
구례읍,본황,본황마을회관,전라남도 구례군 구례읍 본황길 62,2006,40,
문척면,동해,동해마을회관,전라남도 구례군 문척면 동해길 21,2004,170.24,061-781-2387
문척면,죽연,죽연마을회관,전라남도 구례군 문척면 죽연길 13-5,2007,163.51,061-781-5310
문척면,구성,구성마을회관,전라남도 구례군 문척면 구성1길 8-5,2014,32.5,061-781-0225
문척면,안지,안지마을회관,전라남도 구례군 문척면 안지길 20,1989,60,061-781-5571
문척면,전천,전천마을회관,전라남도 구례군 문척면 수달생태로 258-1,2008,278.755,061-781-5314
문척면,월평,월평마을회관,전라남도 구례군 문척면 수달생태로 370-15,1974,92.6,061-781-6697
문척면,금평,금평마을회관,전라남도 구례군 문척면 금평길 7-1,1997,66,061-781-1335
문척면,토금,토금마을회관,전라남도 구례군 문척면 토금길 90,2002,193,061-781-5379
문척면,화정,화정마을회관,전라남도 구례군 문척면 화정길 8-2,2003,95.4,061-781-5795
문척면,중산,중산마을회관,전라남도 구례군 문척면 산치길 14-1,1998,60,061-781-5788
간전면,대평,대평마을회관,전라남도 구례군 간전면 중평길 14-1,1999,119.74,061-781-4101
간전면,해평,해평마을회관,전라남도 구례군 간전면 해평길 19-11,2011,108.87,061-781-0286
간전면,양동,양동마을회관,전라남도 구례군 간전면 양동중앙길25,1999,197.5,061-781-4247
간전면,야동,야동마을회관,전라남도 구례군 간전문 불무동1길 5,1999,114.85,061-781-6165
간전면,흥대,흥대마을회관,전라남도 구례군 간전면 흥대길 27,1981,98.82,061-781-6835
간전면,복구,복구마을회관,전라남도 구례군 간전면 복구길 45,2010,143.14,061-781-2840
간전면,대촌,대촌마을회관,전라남도 구례군 간전면 대촌길 37-5,1981,98.82,061-781-4261
간전면,안음,안음마을회관,전라남도 구례군 간전면 안음1길 7,2004,69.36,061-781-4666
간전면,상만,상만마을회관,전라남도 구례군 간전면 구안실길 50,1957,72.46,061-781-6665
간전면,하만,하만마을회관,전라남도 구례군 간전면 하만길 93,2012,78.3,061-781-2672
간전면,중평,중평마을회관,전라남도 구례군 간전면 중평길14-1,1955,10.2,061-781-6479
간전면,산정,산정마을회관,전라남도 구례군 간전면 삼산신정길 43,1987,60.5,061-781-0773
간전면,수내,수내마을회관,전라남도 구례군 간전면 수내길 21,1989,59.52,061-781-4670
간전면,효죽,효죽마을회관,전라남도 구례군 간전면 중앙로 597,1998,77.7,061-781-5825
간전면,논곡,논곡마을회관,전라남도 구례군 간전면 중앙로 569,1998,116.88,061-781-6339
간전면,금산,금산마을회관,전라남도 구례군 간전면 금산골목길 3,1998,77.7,061-781-5911
간전면,하천,하천마을회관,전라남도 구례군 간전면 하천길 21,1979,75.2,061-782-5508
간전면,백운천,백운천마을회관,전라남도 구례군 간전면 백운천길 52-10,2000,94.88,061-783-5682
간전면,거석,거석마을회관,전라남도 구례군 간전면 거석길 192-1,2005,64.87,061-782-9822
간전면,중한치,중한치마을회관,전라남도 구례군 간전면 도장길 20,2004,76.5,061-782-0155
간전면,묘동,묘동마을회관,전라남도 구례군 간전면 묘동길 223,2004,74.22,061-782-2561
토지면,파도,파도마을회관,전라남도 구례군 토지면 반곡길 2,2005,125.96,061-781-0011
토지면,옥산,옥산마을회관,전라남도 구례군 토지면 옥산길 5-9,2009,133.38,061-781-2141
토지면,구만,구만마을회관,전라남도 구례군 토지면 구산길 81-4,1980,216.7,061-781-2660
토지면,단산,단산마을회관,전라남도 구례군 토지면 단산뒷길 6,1997,132.61,061-781-2767
토지면,내죽,내죽마을회관,전라남도 구례군 토지면 대내안길 30,1973,79.33,061-781-2312
토지면,하죽,하죽마을회관,전라남도 구례군 토지면 대내길 62-5,2009,126.39,061-781-2049
토지면,오미,오미마을회관,전라남도 구례군 토지면 운조루길 49-1,2010,144,061-781-2547
토지면,용두,용두마을회관,전라남도 구례군 토지면 용두길 54,1996,57.53,061-781-2420
토지면,원내,원내마을회관,전라남도 구례군 토지면 원내1길 47,1972,264.45,061-781-0116
토지면,용정,용정마을회관,전라남도 구례군 토지면 용정길 36,1946,102.8,061-781-0078
토지면,신기,신기마을회관,전라남도 구례군 토지면 금내신기1길 16,2005,149.45,061-781-2558
토지면,안촌,안촌마을회관,전라남도 구례군 토지면 안촌길 27,1990,66,061-781-2248
토지면,봉소,봉소마을회관,전라남도 구례군 토지면 봉소길 71,1960,68.49,061-781-2323
토지면,송정,송정마을회관,전라남도 구례군 토지면 안한수내길 84,1995,192,061-781-2220
토지면,기촌,기촌마을회관,전라남도 구례군 토지면 기촌길 8-1,1995,310,061-782-9967
토지면,중기,중기마을회관,전라남도 구례군 토지면 외곡중기길 43,2008,89.46,061-782-0064
토지면,신촌,신촌마을회관,전라남도 구례군 토지면 내서신촌길 57,2009,84.5,061-782-5874
토지면,원기,원기마을회관,전라남도 구례군 토지면 원기양지길 46,1988,93.15,061-782-5635
토지면,남산,남산마을회관,전라남도 구례군 토지면 남산길 49,1992,71.25,061-782-0774
토지면,평도,평도마을회관,전라남도 구례군 토지면 피아골로 660,2013,154.42,061-783-3009
토지면,당치,당치마을회관,전라남도 구례군 토지면 당치길 164,2004,123.65,061-782-5945
토지면,직전,직전마을회관,전라남도 구례군 토지면 직전길 35,2009,95.4,061-782-8106
토지면,문수,문수마을회관,전라남도 구례군 토지면 상죽길 8,2004,55.44,061-781-5574
마산면,마산,마산마을회관,전라남도 구례군 마산면 마산1길 24,2003,89.88,061-782-4042
마산면,냉천,냉천마을회관,전라남도 구례군 마산면 냉천1길 33,1988,147,061-782-4045
마산면,광평,광평마을회관,전라남도 구례군 마산면 광평1길 25,2009,113.4,061-782-4074
마산면,가랑,가랑마을회관,전라남도 구례군 마산면 가랑길 46,2002,69.3,061-782-0045
마산면,상사,상사마을회관,전라남도 구례군 마산면 장수길 22,2009,99,061-782-4048
마산면,하사,하사마을회관,전라남도 구례군 마산면 하사3길 6,1959,49.5,061-782-4103
마산면,황전,황전마을회관,전라남도 구례군 마산면 황전3길 11,1994,117.5,061-782-4154
마산면,장궁,장궁마을회관,전라남도 구례군 마산면 장동길 11,1999,51.75,061-782-2163
마산면,갑대,갑대마을회관,전라남도 구례군 마산면 갑동길 11,1993,82.61,061-782-3889
광의면,지하,지하마을회관,전라남도 구례군 광의면 지하1길 35,2014,130.95,061-782-7830
광의면,지상,지상마을회관,전라남도 구례군 광의면 지상길 7,1976,218.24,061-782-0331
광의면,천변,천변마을회관,전라남도 구례군 광의면 천변길 116-42,2003,69.6,061-782-8816
광의면,대촌,대촌마을회관,전라남도 구례군 광의면 구만제로 128,1978,76.9,061-782-8116
광의면,유산,유산마을회관,전라남도 구례군 광의면 유산길 58,2001,160.64,061-782-5349
광의면,월곡,월곡마을회관,전라남도 구례군 광의면 월곡1길 3,2010,106.93,061-782-8265
광의면,당촌,당촌마을회관,전라남도 구례군 광의면 당촌1길 22,1991,134,061-782-3872
광의면,수한,수한마을회관,전라남도 구례군 광의면 수한2길 22,1999,161.76,061-781-3423
광의면,용전,용전마을회관,전라남도 구례군 광의면 용전길 35-4,2003,68.4,061-781-3564
광의면,방광,방광마을회관,전라남도 구례군 광의면 방광길 35,1994,98,061-781-3540
광의면,연파,연파마을회관,전라남도 구례군 광의면 연파1길 13-12,1974,250.92,061-781-3234
광의면,공북,공북마을회관,전라남도 구례군 광의면 쌍샘이길 22,1995,176.7,061-781-3308
광의면,상대,상대마을회관,전라남도 구례군 광의면 상대길 27,2003,60.5,061-781-3305
광의면,하대,하대마을회관,전라남도 구례군 광의면 하대길 23-43,2006,144.24,061-781-3214
광의면,당동,당동마을회관,전라남도 구례군 광의면 당동길 11-10,2005,81.6,061-781-0035
광의면,난동,난동마을회관,전라남도 구례군 광의면 난동길 40,1994,59.5,061-781-3481
광의면,온동,온동마을회관,전라남도 구례군 광의면 온동1길 17,1988,172.85,061-781-3206
광의면,구만,구만마을회관,전라남도 구례군 광의면 구만1길 18,1981,260.85,061-781-3505
용방면,사림,사림마을회관,전라남도 구례군 용방면 사림2길 13,2014,97,061-782-1318
용방면,사우,사우마을회관,전라남도 구례군 용방면 사우길 51,2003,195,061-781-1711
용방면,하신,하신마을회관,전라남도 구례군 용방면 하신1길 20-6,1997,82,061-782-6255
용방면,두동,두동마을회관,전라남도 구례군 용방면 두동길 13,2002,154,061-782-4431
용방면,봉덕,봉덕마을회관,전라남도 구례군 용방면 봉덕길 26,1997,85,061-783-3460
용방면,신지,신지마을회관,전라남도 구례군 용방면 신지골목길 5-13,1999,75,061-781-3730
용방면,선월,선월마을회관,전라남도 구례군 용방면 선월길 124,2002,110,061-781-3257
용방면,하용,하용마을회관,전라남도 구례군 용방면 하용길 46,2000,172,061-782-0166
용방면,상용,상용마을회관,전라남도 구례군 용방면 상용길 36,1997,88,061-782-5268
용방면,감천,감천마을회관,전라남도 구례군 용방면 감천길 72,2014,162,061-782-1566
용방면,송정,송정마을회관,전라남도 구례군 용방면 중방송정길 60,1989,156,061-782-0188
용방면,도암,도암마을회관,전라남도 구례군 용방면 도암1길 25,1997,107,061-783-4105
용방면,가동,가동마을회관,전라남도 구례군 용방면 가동길 101,2007,151,061-782-3792
용방면,신기,신기마을회관,전라남도 구례군 용방면 신도신기1길 1,1990,146,061-782-1018
용방면,죽정,죽정마을회관,전라남도 구례군 용방면 죽정길 68,2004,198,061-782-3082
용방면,분토,분토마을회관,전라남도 구례군 용방면 분토길 70,2009,33,061-782-6627
산동면,원촌,원촌마을회관,전라남도 구례군 산동면 원촌2길 22-5,1981,82.6,061-781-1612
산동면,현천,현천마을회관,전라남도 구례군 산동면 현천2길 24,2004,69.47,
산동면,원동,원동마을회관,전라남도 구례군 산동면 원동길 34,1996,49.8,
산동면,계척,계척마을회관,전라남도 구례군 산동면 계척길 62-4,1997,66,
산동면,상원,상원마을회관,전라남도 구례군 산동면 원덕길 92,2002,70,061-781-2266
산동면,달전,달전마을회관,전라남도 구례군 산동면 달전길 32,1988,66.96,061-781-1567
산동면,중기,중기마을회관,전라남도 구례군 산동면 수락길 10,2004,69.47,061-781-0166
산동면,수평,수평마을회관,전라남도 구례군 산동면 수락폭포로 143-5,2006,146.2,061-781-4667
산동면,삼성,삼성마을회관,전라남도 구례군 산동면 수락폭포로 35,2000,109.09,061-781-5991
산동면,효동,효동마을회관,전라남도 구례군 산동면 효동길 39,1997,66,061-781-6336
산동면,대양,대양마을회관,전라남도 구례군 산동면 대양길 74,2004,69.47,061-783-4597
산동면,평촌,평촌마을회관,전라남도 구례군 산동면 평촌길 36-1,1997,79.3,061-783-0422
산동면,반곡,반곡마을회관,전라남도 구례군 산동면 반곡골목길 20,2005,83.81,061-783-0281
산동면,상위,상위마을회관,전라남도 구례군 산동면 산수유꽃길로 227,2000,139.5,061-783-2825
산동면,하위,하위마을회관,전라남도 구례군 산동면 하위길 19-28,2000,99.75,061-781-0990
산동면,원좌,원좌마을회관,전라남도 구례군 산동면 원좌1길 9,1997,104,061-783-0981
산동면,상관,상관마을회관,전라남도 구례군 산동면 상관길 38,1976,54.87,061-783-3382
산동면,사포,사포마을회관,전라남도 구례군 산동면 사포길 62,2006,71.5,070-7723-1866
산동면,구산,구산마을회관,전라남도 구례군 산동면 관산구산길 14-7,1997,69.47,061-783-0335
