시도명,시군구명,읍면명,회관명,소재지,규모(제곱미터),데이터기준일자
전라남도,담양군,담양읍,담주 마을회관,전라남도 담양군 담양읍 담주리 61,110.4,2022-05-27
전라남도,담양군,담양읍,천변 마을회관,전라남도 담양군 담양읍 천변리 97,101.9,2022-05-27
전라남도,담양군,담양읍,금곡 마을회관,전라남도 담양군 담양읍 지침리 84-2,137.7,2022-05-27
전라남도,담양군,담양읍,객사1리 마을회관,전라남도 담양군 담양읍 객사리 158,83.85,2022-05-27
전라남도,담양군,담양읍,객사2리 마을회관,전라남도 담양군 담양읍 객사리 232-2,106.1,2022-05-27
전라남도,담양군,담양읍,향백동 마을회관,전라남도 담양군 담양읍 백동1리 63-1,95.16,2022-05-27
전라남도,담양군,담양읍,내동 마을회관,전라남도 담양군 담양읍 백동2리 172-1,82.4,2022-05-27
전라남도,담양군,담양읍,신기 마을회관,전라남도 담양군 담양읍 백동3리 475,50,2022-05-27
전라남도,담양군,담양읍,미리산 마을회관,전라남도 담양군 담양읍 백동4리 244-8,48,2022-05-27
전라남도,담양군,담양읍,서당골 마을회관,전라남도 담양군 담양읍 백동6리 15-1,82.56,2022-05-27
전라남도,담양군,담양읍,남촌 마을회관,전라남도 담양군 담양읍 남산1리 170-2,65.9,2022-05-27
전라남도,담양군,담양읍,동정자 마을회관,전라남도 담양군 담양읍 남산2리 50-2,52.38,2022-05-27
전라남도,담양군,담양읍,광동 마을회관,전라남도 담양군 담양읍 향교1리 379-1,70.8,2022-05-27
전라남도,담양군,담양읍,향교 마을회관,전라남도 담양군 담양읍 향교1리 290-1,66,2022-05-27
전라남도,담양군,담양읍,취영 마을회관,전라남도 담양군 담양읍 향교2리 398-2,44.46,2022-05-27
전라남도,담양군,담양읍,신흥 마을회관,전라남도 담양군 담양읍 향교3리 446-19,153.2,2022-05-27
전라남도,담양군,담양읍,완동 마을회관,전라남도 담양군 담양읍 만성1리 110,66,2022-05-27
전라남도,담양군,담양읍,벌뫼 마을회관,전라남도 담양군 담양읍 만성2리 171-1,93.3,2022-05-27
전라남도,담양군,담양읍,시산 마을회관,전라남도 담양군 담양읍 양각1리 192-4,174.1,2022-05-27
전라남도,담양군,담양읍,사미정 마을회관,전라남도 담양군 담양읍 양각2리 135,76.7,2022-05-27
전라남도,담양군,담양읍,강쟁 마을회관,전라남도 담양군 담양읍 강쟁1리 879-1,86.9,2022-05-27
전라남도,담양군,담양읍,두곡 마을회관,전라남도 담양군 담양읍 강쟁2리 273-13,182.4,2022-05-27
전라남도,담양군,담양읍,신성 마을회관,전라남도 담양군 담양읍 강쟁3리 1763,106.9,2022-05-27
전라남도,담양군,담양읍,오현 마을회관,전라남도 담양군 담양읍 오계1리 126,83.8,2022-05-27
전라남도,담양군,담양읍,계동 마을회관,전라남도 담양군 담양읍 오계2리 542-13,79.5,2022-05-27
전라남도,담양군,담양읍,반룡 마을회관,전라남도 담양군 담양읍 반룡1리 560,151.2,2022-05-27
전라남도,담양군,담양읍,용주 마을회관,전라남도 담양군 담양읍 반룡2리 771,227.8,2022-05-27
전라남도,담양군,담양읍,신촌 마을회관 ,전라남도 담양군 담양읍 반룡3리 215-1,110.7,2022-05-27
전라남도,담양군,담양읍,연화촌 마을회관,전라남도 담양군 담양읍 금월1리 472-5,139,2022-05-27
전라남도,담양군,담양읍,금월 마을회관,전라남도 담양군 담양읍 금월2리 93-1,75.3,2022-05-27
전라남도,담양군,담양읍,오정 마을회관,전라남도 담양군 담양읍 삼만1리 600-1,89.8,2022-05-27
전라남도,담양군,담양읍,내동 마을회관,전라남도 담양군 담양읍 삼만2리 50-1,77.7,2022-05-27
전라남도,담양군,담양읍,원삼만 마을회관,전라남도 담양군 담양읍 삼만3리 275-1,66.5,2022-05-27
