연번,경로당 명칭,관리기관,행정동,소재지,관리기관전화번호,데이터기준일자
1,용당1동경로당,목포시,용당1동,전라남도 목포시 소영길 27-6 (용당동),061-270-3341,2021-09-24
2,산정경로당,목포시,용당1동,전라남도 목포시 호정로37번길 25 (산정동),061-270-3341,2021-09-24
3,산정2동경로당,목포시,용당1동,전라남도 목포시 산정언덕로 9 (산정동),061-270-3341,2021-09-24
4,청호경로당,목포시,용당1동,전라남도 목포시 동부로58번길 6 (용당동),061-270-3341,2021-09-24
5,동목포경로당,목포시,용당1동,전라남도 목포시 동부로46번길 36 (용당동),061-270-3341,2021-09-24
6,용당 아파트경로당,목포시,용당1동,"전라남도 목포시 송림로 5 (용당동, 용당아파트)",061-270-3341,2021-09-24
7,미주경로당,목포시,용당1동,전라남도 목포시 산정로 248 (용당동),061-270-3341,2021-09-24
8,용인경로당,목포시,용당1동,"전라남도 목포시 용당로 243 (용당동), 2층",061-270-3341,2021-09-24
9,현대경로당,목포시,용당1동,전라남도 목포시 신촌로13번길 11 (산정동),061-270-3341,2021-09-24
10,용산경로당,목포시,용당1동,전라남도 목포시 산정언덕로36번길 10 (산정동),061-270-3341,2021-09-24
11,송림경로당,목포시,용당1동,전라남도 목포시 송림로21번안길 9 (용당동),061-270-3341,2021-09-24
12,에드가채움아파트경로당,목포시,용당1동,전라남도 목포시 소영길 43 에드가채움아파트,061-270-3341,2021-09-24
13,용당2동경로당,목포시,용당2동,전라남도 목포시 안장산로17번길 15-5 (용당동),061-270-3341,2021-09-24
14,수강경로당,목포시,용당2동,전라남도 목포시 용해로 30-1 (용당동),061-270-3341,2021-09-24
15,용샘경로당,목포시,용당2동,전라남도 목포시 용샘길 19-1(용당동),061-270-3341,2021-09-24
16,진섬경로당,목포시,용당2동,전라남도 목포시 용두로18번길 27,061-270-3341,2021-09-24
17,연동경로당,목포시,연동,전라남도 목포시 산정로63번길 16-7 (산정동),061-270-3341,2021-09-24
18,목포산정경로당,목포시,연동,전라남도 목포시 백년대로48번길 9,061-270-3341,2021-09-24
19,연동 삼성아파트경로당,목포시,연동,"전라남도 목포시 동명로 79 (산정동, 삼성아파트)",061-270-3341,2021-09-24
20,연목경로당,목포시,연동,전라남도 목포시 산정로97번길 8-2,061-270-3341,2021-09-24
21,유학경로당,목포시,연동,전라남도 목포시 돌산길12 (산정동),061-270-3341,2021-09-24
22,연꽃경로당,목포시,연동,전라남도 목포시 연동로4번길 6 (산정동),061-270-3341,2021-09-24
23,평화경로당,목포시,연동,전라남도 목포시 산정로150번길 23-6 (산정로),061-270-3341,2021-09-24
24,연동육거리경로당,목포시,연동,전라남도 목포시 산정로109번길 19-1,061-270-3341,2021-09-24
25,송정경로당,목포시,산정동,전라남도 목포시 양을로133번길 6-6 (산정동),061-270-3341,2021-09-24
26,일광경로당,목포시,산정동,전라남도 목포시 양을로53번길 6 (산정동),061-270-3341,2021-09-24
27,중앙하이츠 아파트경로당,목포시,산정동,"전라남도 목포시 양을로41번길 40 (산정동, 중아하이츠)",061-270-3341,2021-09-24
28,일신 아파트경로당,목포시,산정동,"전라남도 목포시 양을로 91 (산정동, 일신아파트)",061-270-3341,2021-09-24
29,종원나이스빌 아파트경로당,목포시,산정동,"전라남도 목포시 양을로121 (산정동, 종원나이스빌아파트)",061-270-3341,2021-09-24
30,산정월산경로당,목포시,산정동,전라남도 목포시 철로마을길 27-1 (산정동),061-270-3341,2021-09-24
31,신안주택경로당,목포시,산정동,전라남도 목포시 행하길20번길 8 (산정동),061-270-3341,2021-09-24
32,행복한경로당,목포시,산정동,전라남도 목포시 목포시 원호길 5 (산정동),061-270-3341,2021-09-24
33,라송센트럴카운티2차경로당,목포시,산정동,전라남도 목포시 목포시 청호로 136번길 22,061-270-3341,2021-09-24
34,연산현대 아파트경로당,목포시,연산동,"전라남도 목포시 산정로 298 (연산동, 현대아파트)",061-270-3341,2021-09-24
35,신안비치팔레스 아파트경로당,목포시,연산동,"전라남도 목포시 청호로 210 (산정동, 신안비치팔레스)",061-270-3341,2021-09-24
36,근화 그린 아파트경로당,목포시,연산동,"전라남도 목포시 산정로 268-3 (산정동, 근화그린맨션)",061-270-3341,2021-09-24
37,행복경로당,목포시,연산동,"전라남도 목포시 연산백련로1번길51(연산동,포미타운엘에이치6단지)",061-270-3341,2021-09-24
38,라인 아파트(여)경로당,목포시,원산동,"전라남도 목포시 원산주택로 25 (산정동, 라인아파트)",061-270-3341,2021-09-24
39,현대산업개발경로당,목포시,원산동,"전라남도 목포시 죽산로40번길 24 (산정동, 현대아파트)",061-270-3341,2021-09-24
40,국민주택경로당,목포시,원산동,전라남도 목포시 고하대로 712 (산정동) 까르타스목욕탕건물 2층,061-270-3341,2021-09-24
41,연산주공1단지 아파트경로당,목포시,원산동,"전라남도 목포시 원산중앙로 106 (연산동, 주공1단지아파트)",061-270-3341,2021-09-24
42,연산주공2단지 아파트경로당,목포시,원산동,"전라남도 목포시 원산중앙로 108 (연산동, 주공2단지아파트)",061-270-3341,2021-09-24
43,연산주공3단지 아파트경로당,목포시,원산동,"전라남도 목포시 원산중앙로 87 (연산동, 주공3단지아파트)",061-270-3341,2021-09-24
44,연산주공4단지 아파트경로당,목포시,원산동,"전라남도 목포시 원산중앙로 109-1 (연산동, 주공4단지아파트)",061-270-3341,2021-09-24
45,연산주공5단지 아파트경로당,목포시,원산동,"전라남도 목포시 원산중앙로 109-1 (연산동, 주공5단지아파트)",061-270-3341,2021-09-24
46,원일(남)경로당,목포시,원산동,전라남도 목포시 원산주택로 23 (산정동)-라인아파트상가 2층,061-270-3341,2021-09-24
47,원산경로당,목포시,원산동,전라남도 목포시 연산로159번길 16 (원산동),061-270-3341,2021-09-24
48,죽산경로당,목포시,원산동,전라남도 목포시 원산로69번길 10-1 (산정동),061-270-3341,2021-09-24
49,대성수성경로당,목포시,대성동,전라남도 목포시 노송길7번길 1 (대성동),061-270-3341,2021-09-24
50,대성동경로당,목포시,대성동,전라남도 목포시 노송길7번길 20-1(대성동),061-270-3341,2021-09-24
51,수문경로당,목포시,대성동,전라남도 목포시 난영길 31-2 (대성동),061-270-3341,2021-09-24
52,대성LH천년나무경로당,목포시,대성동,"전라남도 목포시 목포시 양을로 42((대성동, 목포대성엘에치천년나무아파트)",061-270-3341,2021-09-24
53,양동경로당,목포시,목원동,전라남도 목포시 양동길 7-10 (양동),061-270-3341,2021-09-24
54,북교동경로당,목포시,목원동,전라남도 목포시 불종대길 14-1 (북교동),061-270-3341,2021-09-24
55,죽교3동경로당,목포시,목원동,전라남도 목포시 달성길 73 (죽교동),061-270-3341,2021-09-24
56,달성동경로당,목포시,목원동,전라남도 목포시 마인계터로12번길 2-1 (죽교동),061-270-3341,2021-09-24
57,죽동경로당,목포시,목원동,전라남도 목포시 마인계터로40번길 4-2 (죽교동),061-270-3341,2021-09-24
58,호남동경로당,목포시,목원동,전라남도 목포시 영산로 165 (호남동) 호남소방서 2층,061-270-3341,2021-09-24
59,남교동경로당,목포시,목원동,전라남도 목포시 삼일로13번길 20-1 (남교동),061-270-3341,2021-09-24
60,목원경로당,목포시,목원동,전라남도 목포시 호남로 45-3 (양동),061-270-3341,2021-09-24
61,목우경로당,목포시,목원동,전라남도 목포시 청호로 10 (호남동),061-270-3341,2021-09-24
62,철우경로당,목포시,목원동,전라남도 목포시 영산로 154-1 (호남동),061-270-3341,2021-09-24
63,동명동경로당,목포시,동명동,전라남도 목포시 동명들목로44번길 8 (산정동),061-270-3341,2021-09-24
64,동광경로당,목포시,동명동,전라남도 목포시 송도길20번길 3 (동명동),061-270-3341,2021-09-24
65,동명동 여자경로당,목포시,동명동,전라남도 목포시 둥근섬로9번길 16-1 (산정동),061-270-3341,2021-09-24
66,동명동 남해경로당,목포시,동명동,전라남도 목포시 산정로45번길 8-1 (산정동),061-270-3341,2021-09-24
67,동명4차경로당,목포시,동명동,전라남도 목포시 동명주택길31번길 9 (산정동),061-270-3341,2021-09-24
68,삼학하이츠 아파트경로당,목포시,삼학동,"전라남도 목포시 둥근섬로54번길 11 (산정동, 삼학하이츠)",061-270-3341,2021-09-24
69,삼학동경로당,목포시,삼학동,전라남도 목포시 남해로 33-1 (산정동),061-270-3341,2021-09-24
70,동백 아파트경로당,목포시,삼학동,전라남도 목포시 삼학로183번길 14 (산정동),061-270-3341,2021-09-24
71,삼학타운 아파트경로당,목포시,삼학동,"전라남도 목포시 용당로 73 (산정동, 삼학타운아파트)",061-270-3341,2021-09-24
72,만호경로당,목포시,만호동,전라남도 목포시 유동로36번길 19-2 (중동1가),061-270-3341,2021-09-24
73,송광비치 아파트경로당,목포시,만호동,"전라남도 목포시 유동로 7 (해안동4가, 송광비치타운)",061-270-3341,2021-09-24
74,유달동경로당,목포시,유달동,전라남도 목포시 영산로10번길 27 (경동2가),061-270-3341,2021-09-24
75,서산동여자경로당,목포시,유달동,전라남도 목포시 보리마당로 48 (서산동),061-270-3341,2021-09-24
76,온금남자경로당,목포시,유달동,전라남도 목포시 다순구미로 18-5 (온금동) 구)충무동사무소 1층,061-270-3341,2021-09-24
77,온금여자경로당,목포시,유달동,전라남도 목포시 다순구미로 18-5 (온금동) 구)충무동사무소 1층,061-270-3341,2021-09-24
78,대반동경로당,목포시,유달동,전라남도 목포시 해양대학로 35 (죽교동),061-270-3341,2021-09-24
79,율도경로당,목포시,유달동,전라남도 목포시 율도길 25 (율도동),061-270-3341,2021-09-24
80,달리2구경로당,목포시,유달동,전라남도 목포시 달리길401번길 32 (달동),061-270-3341,2021-09-24
81,달리1구경로당,목포시,유달동,전라남도 목포시 달리길 128 (달동),061-270-3341,2021-09-24
82,고하마을경로당,목포시,유달동,전라남도 목포시 고하도안길 10 (달동),061-270-3341,2021-09-24
83,율도 2구경로당,목포시,유달동,전라남도 목포시 율도길 280 (율도동),061-270-3341,2021-09-24
