연번,명칭,경로당주소,전화번호
1,회정여자경로당,전라남도 보성군 벌교읍 회정새길 15-4,
2,자모경로당,전라남도 보성군 율어면 자모길 141,
3,용두경로당,전라남도 보성군 조성면 용두길 31,
4,보성경로당,전라남도 보성군 보성읍 송재로 177-3,061-852-2760
5,벌교경로당,전라남도 보성군 벌교읍 채동선로 326,061-857-0463
6,희안경로당,전라남도 보성군 벌교읍 원지동길 123-10,061-857-1519
7,추동경로당,전라남도 보성군 벌교읍 외추길 46,061-857-9944
8,남상지구경로당,전라남도 보성군 벌교읍 칠동길 67,061-858-3137
9,대포경로당,전라남도 보성군 벌교읍 대포길 29,061-857-2779
10,노동경로당,전라남도 보성군 노동면 화전길 35,061-853-1771
11,도개경로당,전라남도 보성군 미력면 도개2길57,061-853-4926
12,석호경로당,전라남도 보성군 미력면 석호길 63-8,061-853-0392
13,겸백경로당,전라남도 보성군 겸백면 충의로 2483-16,061-853-6696
14,남성경로당,전라남도 보성군 겸백면 용산길 540,061-853-9892
15,금화경로당,전라남도 보성군 겸백면 원수남길 85,061-853-1024
16,율어중앙경로당,전라남도 보성군 율어면 율어로 555,061-853-2741
17,복내남자경로당,전라남도 보성군 복내면 송재로 1837-13,061-852-5157
18,문덕경로당,전라남도 보성군 문덕면 문덕내동길 22,061-853-2382
19,조성경로당,전라남도 보성군 조성면 조성로 115-2 ,061-857-9053
20,동곡경로당,전라남도 보성군 조성면 대보둑로 325-3 ,061-853-0860
21,신동경로당,전라남도 보성군 조성면 신동길 1-4 ,061-853-7639
22,예당경로당,전라남도 보성군 득량면 예당초교길 11,061-853-7157
23,오봉경로당,전라남도 보성군 득량면 역전길67-6,061-853-7714
24,보흥경로당,전라남도 보성군 득량면 보흥길21,061-853-5608
25,호동경로당,전라남도 보성군 득량면 득량호동길38,061-853-6583
26,회천경로당,전라남도 보성군 회천면 남부관광로 2293-9,061-852-8984
27,회령경로당,전라남도 보성군 회천면 시장길 30,061-853-5445
28,천포경로당,전라남도 보성군 회천면 충의로 687-21,061-853-9724
29,웅치경로당,전라남도 보성군 웅치면 일림로 975 ,061-853-5368
