관할,경로당명,읍면동,리,번지,건축연도,건축물 면적,부지면적,소유자,데이터기준일자,,
서면,용당경로당,서면,운평,산65,1977,115.62,595,서면용당번영회,2020-08-20,,
별량면,내동경로당,별량면,우산,975-1,2004,89.64,306,우산리내동마을회,2020-08-20,,
매곡동,매곡경로당,매곡동,,96-20,2006,75.36,218,순천시,2020-08-20,,
송광면,신곡천경로당,송광면,봉산,951-35,1998,66,426,신곡천마을회,2020-08-20,,
서면,지본경로당,서면,지본,944-1,1996,78,340,순천시,2020-08-20,,
풍덕동,상풍경로당,풍덕동,,923-4,2008,87.93,177,순천시,2020-08-20,,
서면,판교경로당,서면,판교,918-13,2006,108.54,473,서면판교마을회,2020-08-20,,
조곡동,조곡중앙경로당,조곡동,,91-44,2004,92.03,190,순천시,2020-08-20,,
황전면,회룡여자경로당,황전면,회룡,900-5,1999,147.42,374,순천시황전면회룡마을회,2020-08-20,,
별량면,진치경로당,별량면,금치,900-4,2005,89.09,227,진치새마을회,2020-08-20,,
서면,죽청경로당,서면,운평,894-4,2007,87.3,336,서면죽청마을회,2020-08-20,,
덕연동,코아루아파트노인회경로당,연향동,,89-28,2004,49.9,,코아루아파트,2020-08-20,,
풍덕동,풍덕중앙경로당,풍덕동,,888-15,2005,96.8,195.7,순천시,2020-08-20,,
풍덕동,철우경로당,풍덕동,,877-3,1979,59.95,,최현채외 58명,2020-08-20,,
별량면,대동경로당,별량면,대룡,875-4,2007,74.52,220,대동마을회,2020-08-20,,
서면,문화경로당,서면,동산,872-2,2001,178.48,498.2,순천시,2020-08-20,,
송광면,외우경로당,송광면,우산,869-12,2004,49.98,209,"안영철외3인(안상철,안형철,안용철)",2020-08-20,,
풍덕동,동부경로당,풍덕동,,868-2,2000,148.69,248.3,풍덕복지회관,2020-08-20,,
풍덕동,송란여자경로당,풍덕동,,868-2,2000,148.69,248.3,풍덕복지회관,2020-08-20,,
왕조1동,왕지경로당,왕지동,,855-19,2010,91.78,186,,2020-08-20,,
황전면,용림2경로당,황전면,선변,846-6,2013,44.95,124,용림2구새마을회,2020-08-20,,
서면,구상흥대경로당,서면,구상,826-38,2009,66.78,168,서면구상흥내영내경로당,2020-08-20,,
주암면,주암리경로당,주암면,주암,826-1,2004,73,,주암마을회,2020-08-20,,
조곡동,순천철우경로당,조곡동,,82-165,1987,52.5,671,한국철도공사,2020-08-20,,
해룡면,호두구상경로당,해룡면,호두,818-1,2014,118.62,668,구상새마을회,2020-08-20,,
주암면,행정경로당,주암면,행정,816-1,2010,82.03,330,행정리마을회,2020-08-20,,
풍덕동,한신아파트경로당,풍덕동,,807-7,1990,56.25,,주식회사우진건설,2020-08-20,,
왕조1동,조례운동경로당,조례동,,802-6,2003,55.82,116,운동부락새마을회,2020-08-20,,
주암면,운룡경로당,주암면,운룡,798-1,2007,84.24,,운룡리운용마을회,2020-08-20,,
별량면,화포경로당,별량면,학산,795-1,1999,91.38,241,학산어촌계,2020-08-20,,
낙안면,흥림경로당,낙안면,석흥,794-4,2000,68.56,287,윤동기,2020-08-20,,
해룡면,무룡경로당,해룡면,선학,792-9,2007,80.64,,선학마을새마을회,2020-08-20,,
장천동,장천경로당,장천동,,79-18,2015,97.02,193,순천시,2020-08-20,,
장천동,신촌경로당,장천동,,79-13,2005,69.3,161,순천시,2020-08-20,,
외서면,쌍율경로당,외서면,쌍율,787-1,2003,99.27,1501,쌍율리새마을회,2020-08-20,,
상사면,운곡경로당,상사면,쌍지,770-6,2016,83.94,215,상사면쌍지리운곡마을회,2020-08-20,,
월등면,둔대경로당,월등면,대평,763-1,1999,72.85,418,"박봉재외3인(공성수,박준재,장학용)",2020-08-20,,
황전면,회덕경로당,황전면,회룡,749-4,2004,86,384,순천시,2020-08-20,,
낙안면,가정경로당,낙안면,창녕,743-5,2000,86.24,216,낙안면가정마을회,2020-08-20,,
별량면,무선경로당,별량면,무풍,735-8,1989,79.2,261,무선마을회,2020-08-20,,
황전면,용림경로당,황전면,선변,733-2,1995,99,,용선경노회,2020-08-20,,
삼산동,참샘마을경로당,가곡동,,731-1,2010,134.22,,박행기외 4명,2020-08-20,,
황전면,농소경로당,황전면,평촌,728-1,2013,73.26,209,농소마을회,2020-08-20,,
별량면,이미경로당,별량면,대곡,725-1,1994,85.1,433,이미마을회,2020-08-20,,
도사동,오산경로당,오천동,,723-12,2013,111.54,306,순천시,2020-08-20,,
상사면,오곡경로당,상사면,오곡,722-2,2000,86.24,170,순천시상사면오곡리오곡마을회,2020-08-20,,
별량면,상삼경로당,별량면,덕정,720-5,1994,60,,"박정근외2인(소길영,김연홍)",2020-08-20,,
조곡동,재경경로당,조곡동,,71-112,1998,26.91,50,"정양근외4인(천순만,안계진,김종기,정대련)",2020-08-20,,
승주읍,택촌경로당,승주읍,구강,710-1,1997,93.6,338,조양훈외1인 (임채동),2020-08-20,,
상사면,상사문화마을경로당,상사면,응령,707-8,2013,76.94,568.1,순천시,2020-08-20,,
승주읍,석동부인경로당,승주읍,월계,705-1,1992,72,287.6,월계리석동마을회,2020-08-20,,
삼산동,원용당경로당,용당동,,704-2,1998,79.22,427,순천시,2020-08-20,,
서면,학구경로당,서면,학구,701-5,1999,102.75,590,학구리,2020-08-20,,
해룡면,풍덕경로당,해룡면,대안,700-1,2019,138.5,613,순천시,2020-08-20,,
도사동,소라남자경로당,덕월동,,698-1,2004,84,572,원덕흥,2020-08-20,,
도사동,소라여자경로당,덕월동,,698-1,2000,86.24,572,원덕흥,2020-08-20,,
별량면,외동경로당,별량면,우산,695-1,2000,73.71,146,우산리외동마을회,2020-08-20,,
상사면,마륜경로당,상사면,마륜,69-17,1995,190,602,상사면마륜마을회,2020-08-20,,
도사동,대룡경로당,대룡동,,691-3,1997,59.7,398,대룡경로회,2020-08-20,,
주암면,요곡경로당,주암면,요곡,686-3,2005,72.6,182,순천시,2020-08-20,,
조곡동,조곡금호아파트경로당,조곡동,,68-61,1993,63,63,주식회사금호건설,2020-08-20,,
월등면,송천경로당,월등면,송천,686-1,2002,151.71,,월등면송천리송천마을회,2020-08-20,,
주암면,문성경로당,주암면,고산,68-19,1996,67.86,120,고산리문성마을회,2020-08-20,,
왕조2동,연동2차대주파크빌경로당,조례동,,68-19,2005,87.185,,두림건설주식회사외 1명,2020-08-20,,
별량면,백동경로당,별량면,덕정,673-1,1994,39.72,,백동마을경로회,2020-08-20,,
별량면,장학경로당,별량면,송학,667-3,2001,66.48,410,별량면장학마을회,2020-08-20,,
별량면,상림경로당,별량면,쌍림,666-1,2000,69,345,별량면상림마을회,2020-08-20,,
별량면,금동경로당,별량면,금치,662-7,1998,75.75,535,금동새마을회외3명,2020-08-20,,
저전동,저전여자경로당,저전동,,65-70,1996,77.89,166.42,순천시,2020-08-20,,
도사동,신석경로당,대대동,,654-5,2002,50,114,순천시,2020-08-20,,
도사동,우성아파트경로당,덕월동,,653-2,2012,114.75,,우성아파트,2020-08-20,,
승주읍,남정경로당,승주읍,남강,653-1,2019,100.23,251,순천시,2020-08-20,,
저전동,저전경로당,저전동,,65-132,1976,86.55,,순천시,2020-08-20,,
승주읍,수성경로당,승주읍,월계,651-3,2005,77.76,274,승주수성노인회,2020-08-20,,
낙안면,내동경로당,낙안면,내운,646-2,1998,78.66,165,내운리내동노인회,2020-08-20,,
도사동,수동경로당,안풍동,,643-1,2002,60.42,240.53,순천시안풍동수동마을새마을회,2020-08-20,,
서면,대구2구경로당,서면,대구,642-1,1972,59,148,순천시서면대구리2구마을회,2020-08-20,,
해룡면,상삼2.3.4.리경로당,해룡면,상삼,641-8,2007,89.22,199.3,순천시,2020-08-20,,
별량면,승곡경로당,별량면,덕정,641-5,2003,85.25,298,순천시별량면승곡마을회,2020-08-20,,
상사면,응령경로당,상사면,응령,641-1,1998,88.41,408,서윤기,2020-08-20,,
서면,금평경로당,서면,지본,641-1,2001,77,397,순천서면금평마을회외 1명,2020-08-20,,
승주읍,유서경로당,승주읍,유흥,634-3,2004,78.92,198,승주읍유서마을회,2020-08-20,,
서면,추동경로당,서면,판교,634-2,2010,64.26,,서면판교리추동마을회,2020-08-20,,
낙안면,신촌경로당,낙안면,석흥,634-1,2005,54,,신촌시새마을회,2020-08-20,,
도사동,인덕경로당,인월동,,633-4,2003,84.77,331,순천시인월동인덕마을새마을회,2020-08-20,,
월등면,신성경로당,월등면,월용,633-1,,106,,월용리,2020-08-20,,
별량면,봉림여자경로당,별량면,봉림,628-4,1988,79.385,433,별량부인노인회,2020-08-20,,
별량면,별량경로당,별량면,봉림,628-21,1991,72,,별량면경노회,2020-08-20,,
주암면,용지경로당,주암면,오산,622-1,2000,91.71,344,용지마을회,2020-08-20,,
별량면,장기경로당,별량면,봉림,622-1,2014,88.39,235.5,봉림리장기새마을회,2020-08-20,,
도사동,오림경로당,오천동,,61-21,2013,105.88,323,도사동오림마을회,2020-08-20,,
별량면,서동경로당,별량면,두고,610-8,1998,73.96,181,서동마을새마을회,2020-08-20,,
외서면,금성경로당,외서면,금성,605-1,2001,90.37,390,외서면금성새마을회,2020-08-20,,
서면,월산경로당,서면,동산,603-7,2003,68.76,145,순천시서면동산리월산마을회,2020-08-20,,
도사동,연동경로당,교량동,,602-13,2006,77.58,135,교량동연동마을회,2020-08-20,,
황전면,수평경로당,황전면,수평,601-55,2016,75.52,374,수평마을회,2020-08-20,,
도사동,오룡경로당,대룡동,,598-1,2004,76.6,386,대룡동오룡마을회,2020-08-20,,
해룡면,가산경로당,해룡면,남가,595-2,2001,66.24,,순천시해룡면남가리대가마을회,2020-08-20,,
