연번,읍면동,리,지 번,마을회관명,토지소유자,건물소유자,건립일자,대지면적 (제곱미터),총면적(제곱미터),마을회관 면적(제곱미터),주구조,마을회관사용1,마을회관사용2,노유자시설사용(경로당)
1,돌산읍,군내,406,군내,군내리마을회,군내리마을회,1992-09-21,185,170.01,97.42,벽돌,2층,,
2,돌산읍,군내,555-6,남외,남외새마을회,남외새마을회,2011-10-04,305,242.44,118.6,"철근콘크리트, 벽돌, 시멘브럭",2층,,1층 경로당
3,돌산읍,군내,993-1,서외,서외새마을회,서외새마을회,1994-10-11,150,138.6,58.44,조적조(세멘벽돌),2층,,1층 경로당
4,돌산읍,군내,1472-2,송도,송도새마을회,송도리사무소,1988-07-01,203,33.1,33.1,조적조(세멘벽돌),1층,,
5,돌산읍,신복,1114-7,신기,신기새마을회,신기새마을회,1991-04-18,468,225.34,112.7,시멘트벽돌,2층,,1층 경로당
6,돌산읍,신복,"440-1, 439-2",대복,대복새마을회,대복새마을회,1995-05-18,294,109.39,109.39,조적조(벽돌),1층,,
7,돌산읍,신복,1344,예교,예교새마을회,예교새마을회,2004-07-14,314,102.26,102.06,시멘트벽돌,1층,,
8,돌산읍,금성,484-1,작금,금성리작금새마을회,금성리작금새마을회,2012-07-19,360,270.5,114.36,철근콘크리트,2층,,1층 경로당
9,돌산읍,금성,156-1,성두,성두새마을회,성두새마을회,2007-10-30,223,138.66,67.95,철근콘크리트,2층,,1층 경로당
10,돌산읍,율림,165-5,소율,소율새마을회,소율새마을회,1972-10-10,201,198,99,철근콘크리트조,2층,,1층 경로당
11,돌산읍,율림,97,임포,임포새마을회,임포새마을회,1994-12-29,395,240.16,97.5,시멘트벽돌,2층,,1층 경로당
12,돌산읍,율림,447-1,대율,대율새마을회,대율새마을회,2008-03-31,259,182.78,82.05,시멘트벽돌,2층,,1층 경로당
13,돌산읍,율림,563-1,백포,백포새마을회,백포새마을회,1993-08-19,391,113.52,91.52,"시멘트벽돌, 시멘트블록",1층,,
14,돌산읍,죽포,148-3,두문,두문새마을회,두문새마을회,2011-03-25,161,160.75,160.75,철그콘크리트,2층,,
