연번,등록번호,경로당명,등록년월일,소재지,행정리,자연마을명,대표자,토지,건물,구조,연 락 처
1,53,산수정경로당,1989-06-08,영광읍 향교길 25-1,교촌2리,교촌,김영득,237.8,67.58,벽돌스라브,061-351-6171
2,54,우산정경로당,1989-06-08,영광읍 천년로13길38-6,남천2리,남천,정영배,79,49.74,벽돌스라브,061-352-0970
3,55,남극제경로당,1989-06-08,영광읍 신남로 264-3,남천1리,남천,조종률,414,74.7,목조기와,061-351-3195
4,56,영광여자경로당,1989-06-08,영광읍 천년로13길38-6,남천2리,남천,김길순,132,82.6,벽돌스라브,061-352-1717
5,57,덕성경로당,1989-06-08,영광읍 덕호로 380-1,덕호2리,반등(번등),양영풍,190,110.22,벽돌조립식스라브,061-353-2350
6,58,구름다리경로당,1989-06-08,영광읍 중앙로 142,도동2리,도동,최석엽,496,135.56,벽돌스라브,061-353-3283
7,59,무령경로당,1989-06-08,영광읍 중앙로 241,무령1리,무령,김종민,222,194.76,벽돌스라브,061-353-9341
8,60,지산정경로당,1989-06-08,영광읍 물무로 70,백학2리,백학,채동명,106,61.77,벽돌스라브,061-353-5484
9,61,영월정경로당,1989-06-08,영광읍 신월로 156,신월2리,하동,박래연,146,64.8,벽돌스라브,061-353-7153
10,62,신흥경로당,1989-06-08,영광읍 신월로2길 111-3,신월1리,신흥,이효신,311,71,벽돌스라브,061-351-1932
11,63,신평경로당,1989-06-08,영광읍 백수로18길 17,신하3리,신평,임수억,965,66.96,벽돌스라브,061-351-4608
12,64,연동경로당,1989-06-08,영광읍 청보리1길 32,연성1리,연성(연동),박정구,541,98.91,벽돌스라브,061-351-3052
13,65,와전경로당,1989-06-08,영광읍 와룡로6길 33,와룡1리,와전,김영배,235,92.5,벽돌스라브,061-351-1876
14,66,우평경로당,1989-06-08,영광읍 영대로4길 71,우평2리,우평,오문석,206,66.24,벽돌스라브,061-351-5440
15,67,학정1리경로당,1989-06-08,영광읍 중앙로1길 9,학정1리,학곡,윤복중,330.5,39.6,벽돌조립식판넬,061-351-0851
16,76,계송경로당,1991-03-15,영광읍 청보리로3길 14-31,계송1리,외서(오서),정병모,66.1,49.5,벽돌스레트,
17,77,사직경로당,1991-03-15,영광읍 옥당로 233-11,단주2리,사직,김영곤,177,79.47,벽돌스라브,061-353-3858
18,85,대신경로당,1992-06-15,영광읍 단신길 22,단주1리,대신,김기남,281,146.05,벽돌스라브,061-353-8739
19,94,양평경로당,1994-11-14,영광읍 와룡로4길 86,양평1리,양곡(금곡),정남동,168,65.88,벽돌스라브,061-353-6203
20,95,입석경로당,1994-11-14,영광읍 입석길2길 151-7,입석2리,내오,신극필,99,72.61,벽돌조립식판넬,061-353-4054
21,97,하라경로당,1995-05-01,영광읍 신남로2길 32,신하2리,하라,김종태,99.1,82.6,벽돌스라브,061-351-4765
22,98,교촌여자경로당,1995-06-05,영광읍 물무로5길 19-16,교촌1리,교촌,김순덕,179,64.8,벽돌기와,061-351-4622
23,99,월평경로당,1995-06-08,영광읍 와룡로2길 10,월평리 ,월평,김극환,450.84,66.24,근코크리트스라브,061-351-2799
24,100,청풍경로당,1995-09-19,영광읍 중앙로5길 16-16,도동1리,교촌,진규섭,205,49,벽돌스라브,061-351-2232
