연번,경로당,주소,전화번호
1,완도읍 분회,전남 완도군 완도읍 청해진남로38-1,061-552-0922
2,수성리,전남 완도군 완도읍 청해진남로23번길33             ,061-552-0205
3,완도여,전남 완도군 완도읍 군내25번길13-1,061-552-1322
4,군내리 여,전남 완도군 완도읍 청해진 남로408-5    ,061-552-2627
5,성내.남성(남신규),전남 완도군 완도읍 청해진남로39번길19-1,061-553-1040
6,성내남성리(여),전남 완도군 완도읍 청해진남로39번길 19-1,061-554-6741
7,주도리,전남 완도군 완도읍 장보고대로248번길 36,061-554-7872
8,주도리남,전남 완도군 완도읍 장보고대로248번길 36,-
9,군내리,전남 완도군 완도읍 청해진남로38-1,061-554-6788
10,중앙리 여,전남 완도군 완도읍 청해진남로38-1          ,061-552-4412
11,용암리,전남 완도군 완도읍 주도길39,061-554-6634
12,서성리,전남 완도군 완도읍 주도리21번길4-1         ,061-552-6683
13,당산리,전남 완도군 완도읍 청해진남로78번길15-3,061-553-4018
14,개포리,전남 완도군 완도읍 개포로46          ,061-552-2882
15,개포리 여,전남 완도군 완도읍 개포로46,061-552-2881
16,노두리,전남 완도군 완도읍 노두리목길53-1,061-554-0046
17,현대아파트,전남 완도군 완도읍 청해진서로50        ,061-554-2588
18,망남리,전남 완도군 완도읍 군내길198-1    ,061-554-7923
19,대가용리경로복지센터,전남 완도군 완도읍 장보고대로42번길 53,061-552-2317
20,소가용리,전남 완도군 완도읍 청해진동로 97번길19-10,061-552-2724
21,신기리,전남 완도군 완도읍 신기길56-9,061-555-1404
22,학림아파트101동,전남 완도군 완도읍 해변공원로101번길14-1        ,061-552-4007
23,학림아파트102동,전남 완도군 완도읍 해변공원로125번길18-27      ,061-553-5695
24,학림아파트 여103동,전남 완도군 완도읍 해변공원로125번길18-1       ,061-553-5699
25,무등아파트남(신규),전남 완도군 완도읍 개포리 145번길 39,-
26,무등아파트,전남 완도군 완도읍 개포리 145번길 39,061-554-9405
27,죽청리 남,전남 완도군 완도읍 죽청2길14-1  ,061-552-2330
28,죽청리 여,전남 완도군 완도읍 죽청2길14-1   ,061-554-5666
29,장좌리 남,전남 완도군 완도읍 청해진로1365     ,061-552-4417
30,장좌리 여,전남 완도군 완도읍 청해진로1365 2로1369-8    ,061-550-6171
31,대야1구,전남 완도군 완도읍 청해진로1311-13,061-554-7587
32,대야1리 여,전남 완도군 완도읍 청해진서로1311-13,061-552-5320
33,대야2구,전남 완도군 완도읍 대야2구길90,061-552-7810
34,대야2리 여,전남 완도군 완도읍 청해진로1251번길45         ,061-552-7810
35,망석리경로복지센터,전남 완도군 완도읍 망석길69,061-553-8370
36,석장리,전남 완도군 완도읍 석장길1,061-554-5056
37,도암리,전남 완도군 완도읍 도압길114      ,061-552-9222
38,중도리 남,전남 완도군 완도읍 중도길16-13 ,061-553-0343
39,중도리 여,전남 완도군 완도읍 중도길16-13 ,061-554-3527
40,사정리,전남 완도군 완도읍 사정길18-1,061-552-9003
41,정도리경로복지센터,전남 완도군 완도읍 정도길29-8,061-554-7974
42,화개리,전남 완도군 완도읍 화개길31-6,-
43,부흥리 남,전남 완도군 완도읍 부흥길10-4       ,061-552-4847
44,부흥리 여,전남 완도군 완도읍 청해진서로843,061-552-5266
45,대구미 남,전남 완도군 완도읍 대구미길10      ,061-554-2393
46,대구미 여,전남 완도군 완도읍 대구미길9,061-554-2393
47,대신리경로복지센터,전남 완도군 완도읍 대신3길9-13,061-552-4348
48,공고지,전남 완도군 완도읍 중앙53번길20          ,061-554-3009
49,재완청산,전남 완도군 완도읍 중앙길63-11,061-552-8388
50,남향리,전남 완도군 완도읍 군내길64,061-554-7767
51,완도우성패리스힐,전남 완도군 완도읍 해변공원로150 우성3층,-
52,군내리LH아파트,전남 완도군 중앙길79 군내LH아파트,-
53,중앙남,전남 완도읍 장보고대로248번길47,-
54,항동리경로당,전남 완도읍 군내11번길 24-9,061-554-3633
55,금일읍분회,전남 완도군 금일읍 금일로399 ,061-554-9981
56,감목리경로복지센터,전남 완도군 금일읍 금일로381,061-553-3408
57,하화전리경로복지센터,전남 완도군 금일읍 금일로277번길10-1,061-553-5562
58,상화전리,전남 완도군 금일읍 상화전길28,061-553-2992
