2021년 장흥군 읍면별 경로당 현황,,,,,
,,,,,
연번,읍면,경로당명,주소,등록일자,구분
,,,,,
1,장흥,수성당,장원길 20-8,1976. 05. 15,남
2,장흥,기양(남),토요시장2길 48-1,2018. 09. 28,남
3,장흥,기양(여),읍성로 165-21,1994. 03. 09,여
4,장흥,예양1구(여),칠거리예양로 35-2,1991. 01. 03,여
5,장흥,예양2구,토요시장1길 13,1998. 08. 17,공동
6,장흥,평화1구,내평길 26-2,2002. 01. 14,공동
7,장흥,평화2구,외평길 122-3,1995. 02. 01,공동
8,장흥,평화3구,평화신기3길 1,2001. 10. 10,공동
9,장흥,억불(남),장흥우산길 44,1984. 04. 01,남
10,장흥,억불(여),장흥우산길 44,2002. 04.15,여
11,장흥,영  산,동부로 80-16,1992. 01. 01,남
12,장흥,건산1구(여),동부로 80-10,2001. 10. 10,여
13,장흥,솔뫼 아파트,건산남부길 31,2002. 04. 15,공동
14,장흥,건산2구,동부로 53,1989. 06. 01,공동
15,장흥,토광미르채 아파트,장흥로 76-25,2019. 08. 14,공동
16,장흥,건산3구,장흥로 9-16,1998. 04. 03,공동
17,장흥,휴먼시아 아파트,북부로 3,2012. 08. 21,공동
18,장흥,건산4구,괘야리1길 22,1994. 01. 27,공동
19,장흥,주공 아파트,북부로 62-1,2005. 03. 31,공동
20,장흥,건산5구,물레방앗간길 31,2013. 12. 20,공동
21,장흥,중  앙,물레방앗간길 33,1985. 09. 30,남
22,장흥,수강(여),물레방앗간길 33,1989. 06. 01,여
23,장흥,한빛 아파트,동교1길 10-5,2002. 04. 15,공동
24,장흥,계명 아파트,장흥대로 3492,2002. 11. 13,공동
25,장흥,건산6구,동교2길 43,2001. 10. 10,공동
26,장흥,건산7구,동교로 58-11,2004. 11. 08,남
27,장흥,수창 아파트,북부로 39,2004. 03. 05,공동
28,장흥,신동현 아파트,동교로 57-12,2008. 09. 30,공동
29,장흥,생  양,생양길 18,1984. 04. 08,공동
30,장흥,월  산,월평1길 103-15,1989. 06. 01,남
31,장흥,월평(여),월평4길 48,1998. 02. 01,여
32,장흥,병  천,병천2길 30,1998. 04. 03,공동
33,장흥,금산1구,금성2길 1,2000. 09. 22,공동
34,장흥,금산2구,운치길 31,2002. 11. 13,공동
35,장흥,신  기,신기길 23,2004. 04. 07,공동
36,장흥,상  리,제암산길 65,1989. 06. 01,공동
37,장흥,축  내,제암산길 29,1998. 02. 03,공동
38,장흥,관  덕,관덕길 51,2003. 04. 04,공동
39,장흥,원도1구,원도3길 1,1987. 01. 05,공동
40,장흥,신  도,신도리길 20,2006. 06. 20,공동
41,장흥,행원(남),행원1길 74,1992. 02. 08,남
42,장흥,행원(여),행원2길 16-4,2001. 10. 10,여
43,장흥,잣  두,잣두길 26,2002. 01. 14,공동
44,장흥,연산1구,연산2길 36,1998. 03. 01,공동
45,장흥,연산2구,연산4길 4-3,1991. 04. 19,공동
46,장흥,성불1구,성불길 225,2011. 11. 24,공동
47,장흥,복  흥,성불길 73,2006. 05. 25,공동
48,장흥,사안1구,장강로 98-6,2015. 05. 19,공동
49,장흥,사안2구,장강로 183,2002. 03. 19,공동
50,장흥,영전1구(남),영전1길 89,1991. 04. 19,남
51,장흥,영전1구(여),영전1길 89,2000. 09. 22,여
52,장흥,영전2구,석동2길 4-10,2000. 09. 22,공동
53,장흥,송  암,마당바위길 34-24,1995. 06. 15,공동
54,장흥,평장1구,평장길 76-1,1989. 05. 13,남
55,장흥,평장1구(여),평장길 76-1,2001. 10. 10,여
56,장흥,평장2구,군장로 649,2002. 02. 26,공동
57,장흥,덕제1구,덕제길 14-2,2001. 10. 10,공동
58,장흥,덕제2구,송산길 24,2002. 02. 26,공동
59,장흥,덕제3구,대반길 33-3,2000. 09. 22,공동
60,장흥,순지(남),순지길 5-7,1991. 01. 08,남
61,장흥,순지(여),순지길 7,2002. 03. 19,여
62,장흥,충  열,충열길 6,2004. 12. 30,공동
63,장흥,교  촌,읍성로 46,2011. 01. 14,공동
64,장흥,남  문,읍성로 30-10,1989. 06. 01,남
65,장흥,남부용정,읍성로 34-16,1989. 06. 01,여
66,장흥,남외2구,신남외3길 4-4,2000. 09. 22,공동
67,장흥,남  동,읍성로 136,2007. 10. 30,남
68,장흥,서부용정,읍성로 119,1982. 09. 17,여
69,장흥,동  동,진골목길 24-1,2005. 11. 22,공동
70,장흥,코아루 아파트,장흥로 80,2020.12.07.,공동
71,관산,고읍분회,관산우회로 82,2006. 12. 12,공동
72,관산,죽교1구,외학1길 28,2004. 03. 05,남
73,관산,수성당,정남진로 14,1989. 06. 01,남
74,관산,덕성당(여),외학2길 1-2,1985. 09. 20,여
75,관산,죽곡(남),죽곡길 15,1989. 06. 01,남
76,관산,죽곡(여),죽곡길 15,2001. 10. 10,여
77,관산,학교(남),내학2길 20-6,2000. 09. 30,남
78,관산,학교(여),내학2길 20-6,2002. 11. 13,여
79,관산,남송수연(남),남송길 5,2000. 09. 20,남
80,관산,남송수연(여),남송길 5,2009. 04. 02,여
81,관산,성산(여),중산길 9,2000. 12. 29,여
82,관산,성  자,남송성산길 144,2000. 10. 30,공동
83,관산,부  평,부평길 16,2000. 09. 20,공동
84,관산,신  평,신평길 4,2000. 09. 22,공동
85,관산,농  안,농안길 115,2004. 12. 27,공동
86,관산,와룡(남),용전1길 15,1989. 06. 01,남
87,관산,와룡(여),용전1길 15,2000. 09. 20,여
88,관산,만  덕,만덕길 105,2005. 03. 31,공동
89,관산,옥동(남),옥동2길 17,1996. 08. 16,남
90,관산,옥동(여),옥동2길 17,2000. 09. 20,여
91,관산,옥촌(남),칠관로 1489,2000. 09. 20,남
92,관산,옥촌(여),옥당신촌길 9,2010. 03. 24,여
93,관산,평화(남),옥당2길 7-8,2001. 09. 20,남
94,관산,평화(여),옥당2길 7-8,2009. 04. 02,여
95,관산,당  동,당동길 42,2001. 10. 10,공동
96,관산,회주(남),방촌길 5,1989. 06. 01,남
97,관산,회주(여),방촌길 5,2003. 12. 11,여
98,관산,지북(여),지북길 3,2000. 09. 20,여
99,관산,저  곡,저곡길 11,2000. 09. 20,공동
100,관산,산  정,지정길 9,2001. 10. 10,공동
101,관산,동두(남),동두2길 2-1,1989. 06. 01,남
102,관산,동두(여),동두2길 2-1,2000. 09. 20,여
103,관산,신당(남),신당길 10-4,1995. 02. 16,남
104,관산,신당(여),신당길 10-4,2001. 10. 10,여
105,관산,사금(남),사금길 35,1989. 06. 01,남
106,관산,사금(여),사금길 35,1989. 06. 01,여
107,관산,송  현,송촌지정길 145,2000. 09. 20,공동
108,관산,평촌(남),평촌길 22,1989. 09. 20,남
109,관산,평촌(여),평촌길 22,1989. 09. 20,여
110,관산,대평(남),남끝동두길 5,2009. 10. 09,남
111,관산,대평(여),남끝동두길 3,2001. 10. 10,여
112,관산,어은(남),어은2길 3,2007. 03. 05,남
113,관산,어은(여),어은1길 13,2001. 10. 10,여
114,관산,        남극수성당         ,수동길 16,1989. 06. 01,남
115,관산,외동(여),수동길 15,2000. 09. 20,여
116,관산,관흥(남),관흥2길 10-9,2009. 12. 28,남
117,관산,관흥(여),관흥2길 10-6,2001. 10. 10,여
