경로당명,주소 ,연락처
대성,전라남도 함평군 함평읍 남일길 91-4,061-324-7766
함평리,전라남도 함평군 함평읍 한재골길 57,
누각옥천,전라남도 함평군 함평읍 중앙길 187-20,061-322-2069
기각2리,전라남도 함평군 함평읍 시장길 105,061-324-4025
기산,전라남도 함평군 함평읍 사장길 53,061-324-4541
기각4리,전라남도 함평군 함평읍 기산길 38,061-324-2333
기각5리,전라남도 함평군 함평읍 중앙길 140-18,
서부,전라남도 함평군 함평읍 광남길 38-30,
내교2리,전라남도 함평군 함평읍 내대화길 98,061-322-2808
내교3리신기,전라남도 함평군 함평읍 내대화길 19,
함평,전라남도 함평군 함평읍 들샘길 24-15,061-322-2264
함평여자,전라남도 함평군 함평읍 들샘길 24-15,061-324-2264
동부,전라남도 함평군 함평읍 들샘길 52-21,
외대화,전라남도 함평군 함평읍 외대화길 39,
동광아파트,전라남도 함평군 함평읍 내대화길 112-12,
주공,전라남도 함평군 함평읍 교광길 13-8,061-322-0599
라뷔랑,전라남도 함평군 함평읍 내대화길 112-11,061-324-9604
수호,전라남도 함평군 함평읍 함장로 1047-9,061-324-0186
평호,전라남도 함평군 함평읍 평호길 45,
대등,전라남도 함평군 함평읍 대등길 52,
해동,전라남도 함평군 함평읍 해동길 21,061-322-2776
송정,전라남도 함평군 함평읍 송정길 37,061-324-4300
소등,전라남도 함평군 함평읍 소등길 23,061-324-5050
성북,전라남도 함평군 함평읍 성북길 37-11,061-324-0087
삼정,전라남도 함평군 함평읍 함장로 671-5,061-324-3824
금곡,전라남도 함평군 함평읍 금곡길 33,061-324-7600
신풍,전라남도 함평군 함평읍 신풍길 19,061-322-1399
노송,전라남도 함평군 함평읍 자풍길 14-3,061-324-0852
만흥,전라남도 함평군 함평읍 작동신풍길 180,
만년,전라남도 함평군 함평읍 만년길 34-3,
초동,전라남도 함평군 함평읍 초동길 110,061-324-1151
산음,전라남도 함평군 함평읍 장교길 34,
칠언,전라남도 함평군 함평읍 장교길 87-14,
월봉,전라남도 함평군 함평읍 월봉길 77,061-324-0177
작동,전라남도 함평군 함평읍 작동신풍길 256-39,
자명,전라남도 함평군 함평읍 자명동길 73,061-324-1173
흥용,전라남도 함평군 함평읍 돌머리길 174-5,061-324-8886
가작,전라남도 함평군 함평읍 가작길 33-1,
용산,전라남도 함평군 함평읍 용산길 75-9,061-322-1014
옥산,전라남도 함평군 함평읍 옥산길 13-3,
가동,전라남도 함평군 함평읍 가동길 13-4,061-322-2266
주포,전라남도 함평군 함평읍 주포로 378,
덕흥,전라남도 함평군 함평읍 주포로 341,
주포한옥마을,전라남도 함평군 함평읍 주포한옥길 67,
석성2리,전라남도 함평군 함평읍 돌머리길 589,
청학,전라남도 함평군 함평읍 청학동길 11-7,061-322-9985
장고산,전라남도 함평군 함평읍 장고산길 20-2,061-323-8284
월선,전라남도 함평군 함평읍 월선길 71,
구주포,전라남도 함평군 함평읍 주포로 262-1,
백년,전라남도 함평군 함평읍 장년길 71,061-322-3814
양림,전라남도 함평군 함평읍 양림길 112,061-324-4427
대진,전라남도 함평군 함평읍 한나리길 59,
고양촌,전라남도 함평군 함평읍 고양촌길 45,061-324-3808
대천,전라남도 함평군 함평읍 대천길 37,061-322-0918
백곡,전라남도 함평군 함평읍 남일길 219-6,061-322-5515
성덕,전라남도 함평군 함평읍 성덕길 41-4,061-323-6600
호산,전라남도 함평군 손불면  지호길  2,061-324-0181
복학,전라남도 함평군 손불면 복학길  32,
금곡,전라남도 함평군 손불면 손불금곡길 32, 
학산,전라남도 함평군 손불면 학산길  76,
해은,전라남도 함평군 손불면 함평항길113-3,061-324-6073
양재,전라남도 함평군 손불면 양재길    195,061-324-3005
모량,전라남도 함평군 손불면 모량길      38,061-324-4126
승선,전라남도 함평군 손불면 북성길      97,061-324-5137
사기,전라남도 함평군 손불면 북성길 241,061-324-4944
차경,전라남도 함평군 손불면 차경길   46-9,061-324-4601
월천,전라남도 함평군 손불면 월천길 48,061-322-5722
신기,전라남도 함평군 손불면 신기길 55,061-324-0311
안악,전라남도 함평군 손불면 안악길 107-1,061-324-7767
서호,전라남도 함평군 손불면 손무로 1058,061-322-4822
월산,전라남도 함평군 손불면 손무로 1048,
저수,전라남도 함평군 손불면 신동길112-22,061-322-4408
늘밭,전라남도 함평군 손불면 늘밭길 70-1,061-322-2290
백옥,전라남도 함평군 손불면 백옥길 5 ,061-324-1487
수문,전라남도 함평군 손불면 저전길  4-10,061-322-1604
손불,전라남도 함평군 손불면 손무로 771-16,061-322-4666
대전여,전라남도 함평군 손불면 손불중앙길 45-9,
손불제일,전라남도 함평군 손불면 손무로 780,
동암,전라남도 함평군 손불면 동암로 310,061-322-8441
동암2리,전라남도 함평군 손불면 봉동길 53,061-322-1213
죽장1리,전라남도 함평군 손불면 죽암죽장길 349,
수철,전라남도 함평군 손불면 죽장길 163,061-324-9779
죽림,전라남도 함평군 손불면 죽장길 104,
석령,전라남도 함평군 손불면 석령길 40-2,061-322-7041
소명,전라남도 함평군 손불면 소명동길 83,
궁산1리,전라남도 함평군 손불면 궁산길  14-2,061-322-1452
중신흥,전라남도 함평군 손불면 중신흥길 39,061-322-8811
목교,전라남도 함평군 손불면 목교길   48-3,061-322-2058
묘동,전라남도 함평군 손불면 묘동길 23,061-322-4195
궁산(덕산),전라남도 함평군 손불면 손불덕산길 115, 
석계,전라남도 함평군 손불면 석계길  26-17,061-323-8694
해석,전라남도 함평군 손불면 석산로  267,
대덕,전라남도 함평군 손불면 석창길  48,061-322-0930
대발,전라남도 함평군 손불면 석산로 148-2,061-322-8009
산남1리,전라남도 함평군 손불면 감남길 98-3,061-322-0002
대성,전라남도 함평군 손불면 대성길  21,061-322-9513
교촌,전라남도 함평군 손불면 석산로   520,
용흥,전라남도 함평군 손불면 손불용흥길 54,
기서,전라남도 함평군 손불면 손불용흥길 111,
수연,전라남도 함평군 손불면 수연길   20,061-323-8862
강석,전라남도 함평군 손불면 산남길 243-13,
북풍,전라남도 함평군 손불면 북풍길 24,
내감,전라남도 함평군 손불면 석산로 598,061-322-4178
유록,전라남도 함평군 손불면 유록길 19-6,061-324-0866
청등,전라남도 함평군 손불면 산남길 118,
신평,전라남도 함평군 손불면 손불신평길 81,
보여,전라남도 함평군 신광면  보전길 8,061-322-1566
기동,전라남도 함평군 신광면  일강로 695,061-322-5412
송사1리,전라남도 함평군 신광면  일강로 447-31,061-323-6242
삼천동,전라남도 함평군 신광면 일강로358,061-322-5418
냉천,전라남도 함평군 신광면  동산길 18-4,061-323-0877
삼양동,전라남도 함평군 신광면  군유로 426,061-322-9876
신여,전라남도 함평군 신광면  군유로 536,061-322-5956
수정,전라남도 함평군 신광면  수정길 103-8,061-322-7633
구봉,전라남도 함평군 신광면  일강로 851-4,061-322-5539
연화,전라남도 함평군 신광면  함영로 2549,061-323-5556
청계,전라남도 함평군 신광면 청계길31-4,061-322-1220
원남,전라남도 함평군 신광면  원남길 45,061-322-5163
학동,전라남도 함평군 신광면  신광학동길 37-5,061-322-1515
덕동,전라남도 함평군 신광면  덕동길 39,061-324-0093
덕산,전라남도 함평군 신광면  삼덕길 145,061-323-5473
덕천,전라남도 함평군 신광면  덕천길 26-10,061-322-3995
좌야,전라남도 함평군 신광면  좌야길 13,061-322-2285
저동,전라남도 함평군 신광면 숙구길 98,061-322-5980
백운2리,전라남도 함평군 신광면 신광중앙길69-3,061-322-5140
복치,전라남도 함평군 신광면  복치길 91,061-322-5076
괴치,전라남도 함평군 신광면  군유로 253,061-322-5089
계월,전라남도 함평군 신광면  계천길 13,061-322-1355
사동,전라남도 함평군 신광면  사동길 22-3,061-322-5317
사천,전라남도 함평군 신광면  사천길 45,061-322-4019
월암1리 ,전라남도 함평군 신광면  연천길 21,061-323-8612
가야,전라남도 함평군 신광면 신광중앙길 87,061-322-5064
수인,전라남도 함평군 신광면  신광중앙길 101-3,061-323-5240
동백,전라남도 함평군 신광면 동백길 18,061-322-5052
호덕,전라남도 함평군 신광면  호덕길 50-4,061-322-7720
벽유,전라남도 함평군 신광면  벽류길 97-1,061-322-5261
미출,전라남도 함평군 신광면  미출길 13,061-322-5626
학천,전라남도 함평군 신광면  학천길 114,061-322-4440
두동,전라남도 함평군 학교면 두동길 68-1,061-322-6855
