순번,시도명,시군구명,읍면동,마을회관명,소재지도로명주소,소재지지번주소
1,전라남도,해남군,계곡면,가학 마을회관,전라남도 해남군 계곡면 가학길 35,전라남도 해남군 계곡면 가학리 95
2,전라남도,해남군,계곡면,강절 마을회관,전라남도 해남군 계곡면 사촌길 103,전라남도 해남군 계곡면 강절리 379-2
3,전라남도,해남군,계곡면,당산 마을회관,전라남도 해남군 계곡면 당산길 30,전라남도 해남군 계곡면 당산리 355-1
4,전라남도,해남군,계곡면,신기 마을회관,전라남도 해남군 계곡면 신기리길 31,전라남도 해남군 계곡면 당산리 621-1
5,전라남도,해남군,계곡면,태인 마을회관,전라남도 해남군 계곡면 태인길 6,전라남도 해남군 계곡면 당산리 824
6,전라남도,해남군,계곡면,둔주 마을회관,전라남도 해남군 계곡면 둔주포안길 41,전라남도 해남군 계곡면 덕정리 11-3
7,전라남도,해남군,계곡면,덕정 마을회관,전라남도 해남군 계곡면 덕정길 14,전라남도 해남군 계곡면 덕정리 419-10
8,전라남도,해남군,계곡면,월암 마을회관,전라남도 해남군 계곡면 월암길 134,전라남도 해남군 계곡면 덕정리 871
9,전라남도,해남군,계곡면,반계 마을회관,전라남도 해남군 계곡면 반계길 33,전라남도 해남군 계곡면 반계리 349
10,전라남도,해남군,계곡면,대운 마을회관,전라남도 해남군 계곡면 대운길 69,전라남도 해남군 계곡면 반계리 405-1
11,전라남도,해남군,계곡면,방춘 마을회관,전라남도 해남군 계곡면 방춘길 150,전라남도 해남군 계곡면 방춘리 468-1
12,전라남도,해남군,계곡면,마고 마을회관,전라남도 해남군 계곡면 마고길 110,전라남도 해남군 계곡면 방춘리 557
13,전라남도,해남군,계곡면,법곡 마을회관,전라남도 해남군 계곡면 법곡길 142,전라남도 해남군 계곡면 법곡리 1127
14,전라남도,해남군,계곡면,월신 마을회관,전라남도 해남군 계곡면 큰월신길 34,전라남도 해남군 계곡면 법곡리 386
15,전라남도,해남군,계곡면,용호 마을회관,전라남도 해남군 계곡면 용호길 43,전라남도 해남군 계곡면 법곡리 42-1
