연번,읍·면,경로당명,주 소,연락처,비고
1,화순읍,교리여자노인당,화순읍 대교로 30,374-7949,
2,화순읍,교리남자경로당,화순읍 대교로 30,374-0038,
3,화순읍,공간A 남자경로당,화순읍 진각로 181-19,372-6050,
4,화순읍,서라2차경로당,화순읍 진각로 181-20,374-7646,
5,화순읍,서라2차여자경로당,화순읍 진각로 181-20,372-0616,
6,화순읍,공간A 여자경로당,화순읍 진각로 181-19,375-1921,
7,화순읍,유창경로당,"화순읍 대교로 18, 107호(유창허니문맨션)",371-5225,
8,화순읍,교리3구경로당,화순읍 자치샘로 19(2층),372-6611,
9,화순읍,향청노인회,화순읍 자치샘로 47-1,372-0056　,
10,화순읍,향청여자경로당,화순읍 자치샘로 60,375-2066,
11,화순읍,만연1구경로당,화순읍 하주길 18,372-2155,
12,화순읍,만연2구경로당,화순읍 중주길 10,375-7710,
13,화순읍,부영1차경로당,화순읍 광덕로 170,374-7212,
14,화순읍,부영1차남자경로당,"화순읍 광덕로 170, 105-103(부영)",371-1235,
15,화순읍,유창2차경로당,화순읍 광덕로 165,375-6620,
16,화순읍,금호여자경로당,"화순읍 광덕로 203, 104-105(금호타운)",375-1436,
17,화순읍,금호남자경로당,"화순읍 광덕로 203, 104-106(금호타운)",375-6919,
18,화순읍,부영3차늘푸른경로당,화순읍 광덕로 180,375-2793,
19,화순읍,부영3차여자경로당,화순읍 광덕로 180,371-9324,
20,화순읍,부영5차경로당,화순읍 광덕로 204,372-4139,
21,화순읍,신기1구경로당,화순읍 도내기길 23 (1층),374-0032,
22,화순읍,신기여자경로당,화순읍 도내기길 23 (2층),374-0032,
23,화순읍,신기부영6차경로당,화순읍 광덕로 215,375-3101,
24,화순읍,신기3구경로당,화순읍 부처샘길 8-16,375-3951,
25,화순읍,화순노인당,화순읍 대교로 71,373-8100,
26,화순읍,훈리여자경로당,화순읍 대교로 58,374-9303,
27,화순읍,화순읍 분회경로당,화순읍 훈리길 9,372-7588,
28,화순읍,동구리경로당,화순읍 동구길 7,373-0286　,
29,화순읍,유천리1구 경로당,화순읍 유천길 61,,
30,화순읍,유천갱정경로당,화순읍 갱정길 5,372-2772　,
31,화순읍,유천3구경로당,화순읍 여단길 8,,
32,화순읍,일심1구노인회,화순읍 용곡1길 21,374-0875,
33,화순읍,일심2구노인회,화순읍 일심동길 16,375-6000　,
34,화순읍,순곡마을회경로당,화순읍 순곡길 11,374-4185,
35,화순읍,일심4구경로당,화순읍 알메로 27,374-2022　,
36,화순읍,서라4차경로당,화순읍 알메로 86,373-6232,
37,화순읍,청전여자경로당,"화순읍 광덕로 156, 청전@ 단지내",375-0238,
38,화순읍,청전A 경로당,"화순읍 광덕로 156, 청전@ 단지내",375-9816,
39,화순읍,다산노인당,화순읍 다산길 23,374-1614,
40,화순읍,지곡경로당,화순읍 지실길 45,374-1441,
41,화순읍,상광노인당,화순읍 느릅1길 13,374-7054,
42,화순읍,광덕1구여자경로당,화순읍 느릅1길 13,374-7054,
43,화순읍,광덕2구남자노인당,화순읍 천변좌길 11,374-5269,
44,화순읍,광덕리2구여자경로당,화순읍 천변좌길 11,374-5269,
45,화순읍,덕촌경로당,화순읍 덕촌길 8-1,373-3302,
46,화순읍,유창3차경로당,화순읍 광덕로 145,371-0321,
47,화순읍,미륭경로당,화순읍 광덕로 141,375-1170,
48,화순읍,부영2차경로당,화순읍 광덕로 155,374-1229,
49,화순읍,삼일노인회,화순읍 서양로 159,371-7299,
50,화순읍,삼경노인회,화순읍 하삼길 7,371-3729,
51,화순읍,한식동경로당,화순읍 한식동길 16-1,374-4201,
52,화순읍,삼천4구경로당,화순읍 성안길 6,375-2223,
53,화순읍,삼천4구여자경로당,화순읍 성안길 6,375-2223,
54,화순읍,이십곡1구 경로당,화순읍 은곡1길 18,374-3021,
55,화순읍,은곡상촌경로당,화순읍 은곡길 163,374-3031,
56,화순읍,은곡하촌경로당,화순읍 은곡길 84-2,374-3943　,
57,화순읍,압곡경로당,화순읍 압곡길 63,371-6556,
58,화순읍,대리1구경로당,화순읍 대동길 6,375-7856　,
59,화순읍,청미래아파트경로당,화순읍 칠충로 23,375-6022,
60,화순읍,대리2구경로당,화순읍 오성로 559,375-2333,
61,화순읍,회춘노인당,화순읍 둔버리길 26,374-4088,
62,화순읍,매화동경로당,화순읍 매화동길 13,375-0772,
63,화순읍,매화동 여자경로당,화순읍 매화동길 18,374-2121　,
64,화순읍,대광1차경로당,화순읍 칠충로 55,373-7731,
