연번,법정리,마을명,마을회관 주소,연면적(제곱미터),구조물 형태,규모,건립년도
1,세풍리,해두,전라남도 광양시 세풍리 717,57.1,블록,1층,1971
2,사곡리,억만,전라남도 광양시 사곡리 1155,59.5,시멘트블록,1층,1979
3,목성리,신성,전라남도 광양시 목성리 684-6,82.71,"시멘트벽돌,조적",1층,1983
4,용강리,석정,전라남도 광양시 용강리 184-6,130,블록,2층,1983
5,구산리,신기,전라남도 광양시 구산리 192-1,47.71,시멘트벽돌,1층,1988
6,우산리,계곡,전라남도 광양시 우산리 829-1,69.57,시멘트벽돌,2층,1990
7,초남리,현월,전라남도 광양시 초남리 503-7,101.4,철콘,1층,1991
8,덕례리,예구1,전라남도 광양시 덕례리 795-1,130.35,시멘트벽돌,2층,1991
9,인서리,인서,전라남도 광양시 인서리 18,88.34,시멘트벽돌,1층,1992
10,사곡리,본정,전라남도 광양시 사곡리 730,227.04,"철콘,시멘트벽돌",2층,1992
11,세풍리,세승,전라남도 광양시 세풍리 489-1,83.58,시멘트벽돌조,2층,1993
12,덕례리,회암,전라남도 광양시 덕례리 337-4,140.24,철콘,2층,1993
13,죽림리,임기,전라남도 광양시 죽림리 1043-1,74.38,시멘트벽돌,1층,1994
14,죽림리,대실,전라남도 광양시 죽림리 252-3,81.9,시멘트벽돌,1층,1994
15,우산리,내우,전라남도 광양시 우산리 464,137.76,시멘트벽돌,2층,1995
16,세풍리,부흥,전라남도 광양시 세풍리 459-3,80,조적,2층,1995
17,우산리,교촌,전라남도 광양시 우산리 529,97.59,시멘트벽돌,3층,1996
18,인동리,인동,전라남도 광양시 인동리 270-1,130.39,철콘,1층,1996
19,세풍리,해창,전라남도 광양시 세풍리 72-3,119.61,벽돌,2층,1996
20,칠성리,성북,전라남도 광양시 칠성리 479-3,194.4,철콘,2층,1997
21,인서리,인서3리,전라남도 광양시 인서리 483-1,494.98,철콘,2층,1997
22,초남리,초남,전라남도 광양시 초남리 162-2,142.3,시멘트벽돌,2층,1997
23,사곡리,점동,전라남도 광양시 사곡리 290-1,134.61,시멘트벽돌,2층,1997
24,죽림리,쌍백,전라남도 광양시 죽림리 1276-3외 1필지,147.45,시멘트벽돌,1층,1997
25,세풍리,신두,전라남도 광양시 세풍리 784-4,75.98,시멘트벽돌,1층,1997
26,덕례리,동주,전라남도 광양시 덕례리 1417-11,128.2,시멘트벽돌,2층,1999
27,우산리,월파,전라남도 광양시 우산리 24-1,99.18,벽돌,2층,2000
28,칠성리,서북1,전라남도 광양시 칠성리 926-9,228.09,"철콘,시멘트벽돌",2층,2000
29,죽림리,호암,전라남도 광양시 죽림리 96-1외 1필지,178.32,벽돌,1층,2000
30,용강리,용두,전라남도 광양시 용강리 488(관동),125.16,조적,1층,2001
31,세풍리,삼성,전라남도 광양시 세풍리 1558-1,263.61,철콘,2층,2001
32,덕례리,무선,전라남도 광양시 덕례리 193-3,112.08,조적,2층,2001
33,용강리,기두,전라남도 광양시 용강리 733-10,133.92,철콘,2층,2003
34,세풍리,신촌,전라남도 광양시 세풍리 6-26,84.15,조적,1층,2003
35,칠성리,호북,전라남도 광양시 칠성리 252-2,203.92,철콘,3층,2004
36,읍내리,신흥,전라남도 광양시 읍내리 380,115.32,시멘트벽돌,2층,2004
37,도월리,월평,전라남도 광양시 도월리 389,112.4,벽돌,1층,2004
38,익신리,익신,전라남도 광양시 익신리 617-29,387.33,철콘,2층,2005
39,우산리,산저,전라남도 광양시 우산리 631-3,111.94,벽돌,2층,2006
40,도월리,신도,"전라남도 광양시 도월리 727-1, 2",99.53,"철콘, 벽돌",2층,2007
41,목성리,개성,전라남도 광양시 목성리 561-5,98.96,벽돌,2층,2008
42,목성리,성황,전라남도 광양시 목성리 777-4,132.21,철콘,1층,2012
43,구산리,마산,전라남도 광양시 구산리 473,140.25,철콘,2층,2016
44,구산리,우두,전라남도 광양시 구산리 21-2,72.88,철콘,1층,2017
45,용강리,와룡,전라남도 광양시 용강리 898-5(와룡),96.75,시멘트벽돌,1층,2001
46,석사리,명암,전라남도 광양시 석사리 388-1,96,조적,1층,1992
47,구서리,구서,전라남도 광양시 구서리 198-1,168.24,조적,2층,1992
48,조령리,하조,전라남도 광양시 조령리 611,137.8,조적,1층,1992
49,석사리,동석,전라남도 광양시 석사리 594-1,106.45,조적,1층,1994
50,석사리,서석,전라남도 광양시 석사리 806,83.6,조적,1층,1994
51,봉당리,당저,전라남도 광양시 봉당리 838-3,95.5,조적,2층,1994
52,부저리,저곡,전라남도 광양시 부저리 562,82.8,조적,1층,1994
53,봉당리,하봉,전라남도 광양시 봉당리 433-1,82.08,조적,1층,1997
54,부저리,석평,전라남도 광양시 부저리 583-3,139.56,시멘트벽돌,2층,2000
55,조령리,덕촌,전라남도 광양시 조령리 236-5,155.9,조적,1층,2003
56,신룡리,신촌,전라남도 광양시 신룡리 461,133.84,조적,2층,2003
57,부저리,부현,전라남도 광양시 부저리 206-1,71.5,조적,1층,2004
58,구서리,정자,전라남도 광양시 구서리 75-3외 3필지,97.44,벽돌,2층,2004
59,조령리,부암,전라남도 광양시 조령리 432-4,141.38,시멘트벽돌,1층,2006
60,신룡리,개룡,전라남도 광양시 신룡리 42-1,96.88,벽돌,1층,2006
61,봉당리,상봉,전라남도 광양시 봉당리 700,161.11,벽돌,1층,2008
62,구서리,마시,전라남도 광양시 구서리 418-1외 1필지,117.36,벽돌,1층,2008
63,지곡리,지곡,전라남도 광양시 지곡리 681-1,218.96,블록,2층,2009
64,죽천리,개현,전라남도 광양시 죽천리 929-1,50,벽돌,1층,1900
65,율천리,덕천,전라남도 광양시 율천리 828-1,97.25,조적,1층,1992
66,운평리,상운,전라남도 광양시 운평리 312-1,129.9,벽돌,2층,1993
67,동곡리,답곡,전라남도 광양시 동곡리 788-1,132.35,벽돌,2층,1994
68,운곡리,은죽,전라남도 광양시 운곡리 428-1,84.66,시멘트벽돌,1층,2000
69,운평리,상평,전라남도 광양시 운평리 667-7,149.8,시멘트벽돌,1층,2001
70,운곡리,갈곡,전라남도 광양시 운곡리 205-2,89.5,블록,1층,2001
71,죽천리,죽림,전라남도 광양시 죽천리 1068,80.7,조적,1층,2002
72,용곡리,흥룡,전라남도 광양시 용곡리 1336-1,100,시멘트벽돌,1층,2004
73,율천리,율곡,전라남도 광양시 율천리 465-4외 1필지,99.29,시멘트벽돌,2층,2004
74,용곡리,대방,전라남도 광양시 용곡리 276-1,120.03,경량철골,1층,2005
75,운평리,하평,전라남도 광양시 운평리 859,98.4,벽돌,1층,2006
76,죽천리,내천,전라남도 광양시 죽천리 823-1외 1필지,132.32,철콘,2층,2006
77,죽천리,항월,전라남도 광양시 죽천리 573-1,101.4,철콘,2층,2007
78,용곡리,초암,전라남도 광양시 용곡리 1582-2,99.16,철콘,1층,2008
79,운평리,하운,전라남도 광양시 운평리 404-6,85.59,철콘,1층,2009
80,용곡리,석곡,전라남도 광양시 용곡리 910,91.14,철콘,2층,2009
81,산남리,남정,전라남도 광양시 산남리 544-1 외 1필지,129.63,철콘,2층,2010
82,율천리,재동,전라남도 광양시 율천리 994 외 2필지,86.58,철콘,1층,2010
83,추산리,외산,전라남도 광양시 추산리 880-4,105,철콘,1층,2014
84,추산리,추동,전라남도 광양시 추산리 557-1,101.52,철콘,1층,2014
85,추산리,양산,전라남도 광양시 추산리 767,220,철콘,1층,2014
86,동곡리,선동,"전라남도 광양시 동곡리 394-2, 393, 393-2",77.08,철콘,1층,2019
87,대죽리,대리,전라남도 광양시 대죽리 153-1,168.48,철콘,2층,1988
88,신금리,신금,전라남도 광양시 신금리 763-1외 4필지,170.08,조적,2층,1993
