읍면,법정리,행정리,주    소,대지면적,총면적,마을회관,건립일자,개보수연도,비고
진도읍,동외,동외,동외리 723-1,112,100.16,100.16,1986,2013,
진도읍,동외,당동,동외리 685-6,264,87.84,87.84,1992,,
진도읍,동외,용두,동외리 771,310,274.32,97.29,1997,2012,
진도읍,쌍정,두정,쌍정리 82,268,62.81,68.81,1968,2012,
진도읍,쌍정,통정,쌍정리 31,304,83,43,1999,2012,
진도읍,성내,성동,성내리 17-10,,,,,,
진도읍,성내,성서,성내리 68-22,194,88.93,88.93,1989,2012,
진도읍,교동,북상,교동리 50,154,82.5,82.5,1997,2017,
진도읍,교동,서외,교동리 108-3,279,99,99,2009,2018,
진도읍,교동,사정1,교동리 496,175,103.59,103.59,1998,2012,
진도읍,교동,사정2,교동리 593,101,99.81,99.81,2016,,
진도읍,교동,송현,교동리 821,221,89.26,89.26,1979,2017,
진도읍,교동,고작,포산리 1478-1,218,80.64,80.64,2003,,
진도읍,남동,남동,남동리 745-7,238,98.1,98.1,2007,,
진도읍,남동,남산,남동리 321-5,413,68.6,68.6,2006,2011,
진도읍,남동,조금,교동리 901-2,400,68.28,68.28,2013,,
진도읍,포산,포산,포산리 230-1,205,65.8,65.8,2002,,
진도읍,포산,포서,포산리 1391-21,436,66,66,1998,2013,
진도읍,포산,지도,포산리 1076-34,496,156.88,156.88,2004,2013,
진도읍,포산,포구,포산리 1468-25,,,,,,
진도읍,포산,죽엽,포산리 77-4,327,61.83,61.83,2009,2015,
진도읍,수역,수역,수역리 322-2,1092,85.5,85.5,2011,,
진도읍,수역,북치,수역리 146,192,60,60,1997,,
진도읍,수역,매향,수역리 890,212,59.7,59.7,1999,2016,
진도읍,수역,신흥,수역리 844-6,360,89.64,89.64,2007,2012,
진도읍,수역,월평,수역리 1016,436,67.1,67.1,1999,2012,
진도읍,수유,수유,수유리 329,288,74.75,74.75,1996,2019,
진도읍,수유,전두1,수유리 811-5,234,74.55,74.55,2002,2014,
진도읍,수유,전두2,수유리 965,,,,,,
진도읍,수유,청용,수유리 739-9,194,75.84,75.84,2010,,
진도읍,산월,산월,산월리 310,410,68.86,68.86,2012,,
진도읍,산월,내산월,산월리 460,89,70,70,1995,2013,
진도읍,산월,-,산월리 789,165,65.91,65.91,2012,,저도(행정리 미해당)
