읍면명,경로당명,경로당 주소,건축연도,부지면적,대표자,데이터기준일자
해남읍,LH아파트경로당,전라남도 해남군 해남읍 교육청길 41,2014,113.02,손정용,2022-03-31
해남읍,고도경로당,전라남도 해남군 해남읍 중앙2로 99-8,1998,103.28,이성경,2022-03-31
해남읍,고수경로당,전라남도 해남군 해남읍 고수길 28,1996,91.08,김정옥,2022-03-31
해남읍,공간아파트경로당,전라남도 해남군 해남읍 구교2길 42,2002,94.21,이봉림,2022-03-31
해남읍,관동경로당,전라남도 해남군 해남읍 읍관동길 55,1997,44.17,오주형,2022-03-31
해남읍,구교경로당,전라남도 해남군 해남읍 구교1길 22,1998,66.1,김정량,2022-03-31
해남읍,구교주공1차경로당,전라남도 해남군 해남읍 북부순환로 175,2003,173.88,민경수,2022-03-31
해남읍,구교주공2차경로당,전라남도 해남군 해남읍 구교3길 26,2002,56.27,모문현,2022-03-31
해남읍,기동경로당,전라남도 해남군 해남읍 기동길 210,2001,69,유재옥,2022-03-31
해남읍,길호경로당,전라남도 해남군 해남읍 길호길 53,1998,121.5,김점동,2022-03-31
해남읍,남동경로당,전라남도 해남군 해남읍 남동길 19-1,1996,68.55,이완탁,2022-03-31
해남읍,남송경로당,전라남도 해남군 해남읍 남송1길 19,1997,70.84,박재웅,2022-03-31
해남읍,남외경로당,전라남도 해남군 해남읍 남외1길 35,1996,87.07,배상율,2022-03-31
해남읍,남천경로당,전라남도 해남군 해남읍 남천길 38,1996,79.3,오복록,2022-03-31
해남읍,다우아파트경로당,전라남도 해남군 해남읍 동초길 15,2009,60,민경복,2022-03-31
해남읍,명지경로당,전라남도 해남군 해남읍 교육청길 26,2004,43.08,강윤빈,2022-03-31
해남읍,백두3차경로당,전라남도 해남군 해남읍 교육청길 23 (백두 3차 아파트),2020,81,이병채,2022-03-31
해남읍,백야경로당,전라남도 해남군 해남읍 백야길 28,1997,66,성주정,2022-03-31
해남읍,복평경로당,전라남도 해남군 해남읍 복평길 2,1996,82.47,김장옥,2022-03-31
해남읍,부호경로당,전라남도 해남군 해남읍 내사길 656,2000,56.02,김영균,2022-03-31
해남읍,부흥경로당,전라남도 해남군 해남읍 부흥길 72,1998,63,이병연,2022-03-31
해남읍,새시대아파트경로당,"전라남도 해남군 해남읍 구교2길 36, 상가동 2층 (새시대맨션)",2018,45.5,김인동,2022-03-31
해남읍,서성경로당,전라남도 해남군 해남읍 서성1길 18,1998,66.03,백형권,2022-03-31
해남읍,성내경로당,전라남도 해남군 해남읍 성내길 13,2001,43,민정신,2022-03-31
해남읍,성동경로당,전라남도 해남군 해남읍 성동1길 18,1989,87.3,박병억,2022-03-31
해남읍,성동여자경로당,전라남도 해남군 해남읍 성동1길 18,2014,39.36,백동심,2022-03-31
해남읍,성화누리안아파트경로당,전라남도 해남군 해남읍 해리3길 6 (성화누리안아파트),2014,189.1,강신복,2022-03-31
해남읍,송용경로당,전라남도 해남군 해남읍 용머리길 109,1997,75.9,김진석,2022-03-31
해남읍,수성1경로당,전라남도 해남군 해남읍 향교길 14,1998,42.78,박수흠,2022-03-31
