마을회관명,소재지(주소),건축년도,층수,구조,연면적(㎡)
1옥천 마을회관,전라북도 순창읍 옥천동길 7-4,1996,1,철근콘크리트,116.2
2옥천 마을회관,전라북도 순창읍 순창9길 56,1989,1,시멘트벽돌,152.7
3옥천 마을회관,전라북도 순창읍 옥천동길 38,2008,1,경량철골구조,83.02
4옥천(대신) 마을회관,전라북도 순창읍 옥천동길 29,2010,1,경량철골구조,60.4
1관북 마을회관,전라북도 순창읍 순창5길 32,1985,1,철근콘크리트,60
2관북 마을회관,전라북도 순창7길 34-6,1997,1,목조조적조,58.64
3관북(웰빙) 마을회관,전라북도 순창읍 순창9길 36-3,2006,1,철근콘크리트,34.56
1충신 마을회관,전라북도 순창읍 순창11길 33-17,2003,1,조적조,82.2
3충신(신천지) 마을회관,전라북도 순창읍 순창11길 47-22,1989,1,철근콘크리트,67.2
1순화 마을회관,전라북도 순창읍 순창7길 16-7,1940,1,목조시멘트블럭,69.8
2순화 마을회관,전라북도 순창읍 순창9길 7-12,1977,1,시멘트벽돌,74.89
창림 마을회관,전라북도 순창읍 순창로 225-18,1955,1,목조조적조,69
관서 마을회관,전라북도 순창읍 순창11길 5,2007,1,벽돌,89.91
남계 마을회관,전라북도 순창읍 순창3길 7-3,2010,1,시멘트블럭,70
1기전 마을회관,전라북도 순창읍 순창2길 13-7,1968,1,조적조,81.66
2기전 마을회관,전라북도 순창읍 순창4길 19-5,1990,1,목조시멘트블록,90.1
금덕 마을회관,전라북도 순창1길 3-15,1930,1,목조,96.4
시기 마을회관,전라북도 순창2길 43-3,1992,1,조적조,82.47
1사정 마을회관,전라북도 순창읍 순창1길 26-11,1935,1,목조,108.65
2사정 마을회관,전라북도 순창읍 순창1길 26-15,2009,1,철근콘크리트,86.68
중은 마을회관,전라북도 순창읍 순창6길 39-13,2013,1,경량철골구조,66.62
남은 마을회관,전라북도 순창읍 순창8길 11-26,1950,1,조적조,29
북은 마을회관,전라북도 순창읍 장류로 401-53,2001,1,조적조,76.53
1동은 마을회관,전라북도 순창읍 남계로 95-9,2000,1,조적조,72
2동은(해태) 마을회관,전라북도 순창읍 남계로 96,1995,1,철근콘크리트,60
3동은(대석) 마을회관,전라북도 순창읍 양지길 75,1997,1,조적조,52.13
서은 마을회관,전라북도 순창읍 10길 11-13,2005,1,벽돌,99.06
장덕 마을회관,전라북도 순창읍 장덕마을길 12,1960,1,조적조,88.6
복실 마을회관,전라북도 순창읍 복실길 27,1925,1,목구조,57.3
신기 마을회관,전라북도 순창읍 신기길 4,1998,1,철근콘크리트,96.1
백산 마을회관,전라북도 순창읍 백산길 21-1,1999,1,시멘트블럭,59.92
민속 마을회관,전라북도 순창읍 민속마을길 5-13,2009,1,벽돌,85.95
백야 마을회관,전라북도 순창읍 백야길 10,1980,1,시멘트블럭,65
신촌 마을회관,전라북도 순창읍 신촌길 102,2003,1,조적조,83.28
교성 마을회관,전라북도 순창읍 교성1길 3,2001,1,철근콘크리트,74
1경천(주공) 마을회관,전라북도 순창읍 경천1로 100,2006,1,철근콘크리트,324.5
2경천(주공) 마을회관,전라북도 순창읍 경천1로 100,2006,1,철근콘크리트,324.5
남산 마을회관,전라북도 순창읍 남산길 21,2004,1,철근콘크리트,99.3
가잠 마을회관,전라북도 순창읍 가잠로 92-5,1969,1,조적조,55.6
대정 마을회관,전라북도 순창읍 신남리 318-1,1971,1,조적조,65.4
무수 마을회관,전라북도 순창읍 신남무수길 45,1997,1,조적조,89.25
탄금 마을회관,전라북도 순창읍 탄금길 6-1,1997,1,조적조,81.12
성자 마을회관,전라북도 순창읍 성자길 116,2006,1,벽돌,88.39
호계 마을회관,전라북도 인계면 호계길 71-27,2004,1,벽돌 슬라브,90.9
갑동 마을회관,전라북도 인계면 갑동길 18,2003,1,벽돌 슬라브,82.65
도사 마을회관,전라북도 인계면 도사2길 8-1,2006,1,벽돌 슬라브,89.82
팔학 마을회관,전라북도 인계면 팔학길 3-8,1999,1,벽돌 슬라브,81
정산 마을회관,전라북도 인계면 도룡정산길 10-4,2000,1,벽돌 슬라브,82.39
용암 마을회관,전라북도 인계면 용암길 77,2001,1,벽돌 슬라브,85.9
쌍암 마을회관,전라북도 인계면 쌍암길 47,2000,1,벽돌 슬라브,82.42
장례 마을회관,전라북도 인계면 장례동길 127,2004,1,벽돌 슬라브,86.11
외양 마을회관,전라북도 인계면 외양길 10-1,2000,1,벽돌 판넬,89.9
탑리 마을회관,전라북도 인계면 탑리길 60-1,1999,1,벽돌 슬라브,90.42㎡
심초 마을회관,전라북도 인계면 심초길 10-2,2001,1,벽돌 슬라브,88
세룡 마을회관,전라북도 인계면 세룡길 33-4,1998,1,벽돌 슬라브,93.56
둔기 마을회관,전라북도 인계면 둔기길 38,2004,1,벽돌 슬라브,83.9
대마 마을회관,전라북도 인계면 대마길 44,1997,1,벽돌 슬라브,112
소마 마을회관,전라북도 인계면 소마길 13-2,2003,1,벽돌 슬라브,85.82
가성 마을회관,전라북도 인계면 가성길 30-6,1992,1,벽돌 슬라브,56
차치 마을회관,전라북도 인계면 차치길 20-5,1997,1,벽돌 슬라브,87.5
중산 마을회관,전라북도 인계면 중산길 9-8,1980,1,벽돌판넬,66.1
지산 마을회관,전라북도 인계면 지산길 77,1998,1,벽돌 슬라브,72.5
가목 마을회관,전라북도 인계면 가목길 65,1988,1,벽돌판넬,79.2
노동 마을회관,전라북도 인계면 노동로 202-2,1975,1,철콘판넬,66.1
동촌 마을회관,전라북도 인계면 동촌길 45,1999,1,벽돌 슬라브,92.47
현포 마을회관,전라북도 동계면 동계로 20-4,2010,1,연와조,89.3
마상 마을회관,전라북도 동계면 마상길 47,2001,1,연와조,84.24
신촌 마을회관,전라북도 동계면 동계2길 25,1998,1,연와조,82.46
연산 마을회관,전라북도 동계면 연산길 9,1998,1,목조,84
서호 마을회관,전라북도 동계면 서호길 35,1997,2,연와조,264.87
창주 마을회관,전라북도 동계면 창주길 26,1997,1,연와조,65.68
어치 마을회관,전라북도 동계면 어치길 24,1996,1,연와조,80.1
내룡 마을회관,전라북도 동계면 장군목기 686-18,2015,1,철근콘크리트,71.93
귀주 마을회관,전라북도 동계면 귀미2길 9-10,1994,1,조립식판넬,82.4
용동 마을회관,전라북도 동계면 귀미1길 23,1998,1,시멘트블럭,79.2
동심 마을회관,전라북도 동계면 동심길 23-7,1999,1,연와조,82
추동 마을회관,전라북도 동계면 추동길 90,2000,1,연와조,97.37
아동 마을회관,전라북도 동계면 아동길 117,1997,1,적벽돌,99
오동 마을회관,전라북도 동계면 오동길 20-2,2001,1,적벽돌,86.4
관전 마을회관,전라북도 동계면 관전길 27-3,1997,1,목조,79.2
신관전 마을회관,전라북도 동계면 신관전길 16,2000,1,연와조,87.84
신흥 마을회관,전라북도 동계면 성전길 29,2010,1,적벽돌,96
장동 마을회관,전라북도 동계면 장동길 15-2,1998,1,연와조,77.2
유산 마을회관,전라북도 동계면 유산길 40-2,1986,1,목조,89.2
이동 마을회관,전라북도 동계면 이동길 47-2,1999,1,연와조,107.31
장항 마을회관,전라북도 동계면 장항1길 11,1998,1,시멘트벽돌,56
수정 마을회관,전라북도 동계면 수정3길 1,2000,1,적벽돌,60
석산 마을회관,전라북도 동계면 수정1길 3-6,2006,1,철근콘크리트,77.58
주월 마을회관,전라북도 동계면 주월길 192,2000,1,적벽돌,91.05
내령 마을회관,전라북도 동계면 내령길 73-20,1997,1,연와조,99.2
강촌 마을회관,전라북도 동계면 강촌길 17,1996,1,시멘트벽돌,56.1
상외령 마을회관,전라북도 동계면 수장3길 22-5,2001,1,시멘트벽돌,158.73
하외령 마을회관,전라북도 동계면 수장2길 2,2002,1,시멘트벽돌,66
수장 마을회관,전라북도 동계면 수장1길 96,1998,1,연와조,83.7
가작 마을회관,전라북도 동계면 가작길 26,2001,1,연와조,84.2
지북 마을회관,전라북도 적성면 지북길 48,1997,1,시멘트벽돌/슬라브,98.8
대산 마을회관,전라북도 적성면 대산길 7,1972,1,블록/스레이트,37.7
임동 마을회관,전라북도 적성면 임동길 132-3,2002,1,조적조/슬라브,117
율지 마을회관,전라북도 적성면 율지길 133,1998,1,적벽돌,89.76
관평 마을회관,전라북도 적성면 관평길 7,2002,1,조적조/슬라브,84.37
원촌 마을회관,전라북도 적성면 원촌길 1,1996,1,적벽돌/슬라브,96
지내 마을회관,전라북도 적성면 지모길 14,2002,1,조적조/슬라브,60
모산 마을회관,전라북도 적성면 지모길 50-6,1977,1,시멘트벽돌/슬라브,68.4
우계 마을회관,전라북도 적성면 우계길 49,1995,1,슬라브,66
시목 마을회관,전라북도 적성면 시목길 25-2,2001,1,조적조/슬라브,81.42
내적 마을회관,전라북도 적성면 내적길 67-16,1998,1,벽돌구조/슬라브,106.28
농소 마을회관,전라북도 적성면 농소길 51-4,1998,1,슬라브,66.75
평남 마을회관,전라북도 적성면 평남길 14,1997,1,시멘트벽돌/슬라브,94.65
구남 마을회관,전라북도 적성면 평남길 106-3,2004,1,적벽돌구조,85.39
괴정 마을회관,전라북도 적성면 괴정길 61-1,1998,1,적벽돌/슬라브,108
신월 마을회관,전라북도 적성면 신월길 45-1,2002,1,철큰콘크리트/슬라브,118.83
입석 마을회관,전라북도 적성면 석산길 79,2004,1,벽돌구조,87.4
강경 마을회관,전라북도 적성면 강경길 159-4,1998,1,연와조/슬라브,66.75
창신 마을회관,전라북도 유등면 창신길 19-4,1988,2,블록구조,215.79
정동 마을회관,전라북도 유등면 정동마을길 59,1995,1,조적조,70.5
건곡 마을회관,전라북도 유등면 건곡3길 5,1974,2,조적조,61.4
학촌 마을회관,전라북도 유등면 학촌2길 7-2,1958,1,연와조,99.18
금판 마을회관,전라북도 유등면 금판길 4,1995,1,벽돌구조,45.91
외이 마을회관,전라북도 유등면 외이3길 32,1987,1,연와조슬라브,94.03
내이 마을회관,전라북도 유등면 내이길 20-1,1986,1,목조기와,115.14
오교 마을회관,전라북도 유등면 오교1길 3-1,1994,1,시멘트벽돌조,48.6
유촌 마을회관,전라북도 유등면 유촌1길 38,2003,1,벽돌구조,104.16
유천 마을회관,전라북도 유등면 유천길 1,1992,2,세멘블럭,116
책암 마을회관,전라북도 유등면 책암길 29-1,1994,1,블록구조,39.48
무수 마을회관,전라북도 유등면 무수길 35-9,2008,1,블록구조,51.3
화탄 마을회관,전라북도 유등면 화탄길 13,2002,1,조적조,85.91
월탄 마을회관,전라북도 유등면 월탄2길 1,2002,1,벽돌구조,107.32
월산 마을회관,전라북도 풍산면 월산길 17,1997,2,벽돌구조,192.37
월명 마을회관,전라북도 풍산면 월명길 69-4,2004,1,벽돌구조,88.8
유정 마을회관,전라북도 풍산면 유정길 64,2005,1,철근콘크리트,91.38
회덕 마을회관,전라북도 풍산면 회덕길 37-3,2006,1,벽돌구조,106.05
함촌 마을회관,전라북도 풍산면 함촌길 18,1979,1,시멘트블럭조,66.12
순정 마을회관,전라북도 풍산면 금풍로 545-12,1977,1,조적조,66.1
도치 마을회관,전라북도 풍산면 삼촌1길 125,2002,1,시멘트블럭조,68.76
소촌 마을회관,전라북도 풍산면 삼촌2길 144,1999,1,적벽돌/스라브,83.91
가덕 마을회관,전라북도 풍산면 삼촌3길 52-1,2001,1,벽돌구조,86
송두 마을회관,전라북도 풍산면 삼촌2길 33-5,2008,1,벽돌구조,86.4
안곡 마을회관,전라북도 풍산면 안곡길 36,2012,1,조적조,84.96
호성 마을회관,전라북도 풍산면 호성길 62-1,2001,1,적벽돌/스라브,92
덕산 마을회관,전라북도 풍산면 덕산길 29-12,1973,1,조적조,76.35
죽전 마을회관,전라북도 풍산면 죽전길 25-4,2005,2,벽돌/슬라브,77.52
우곡 마을회관,전라북도 풍산면 우곡길 8,1998,1,벽돌/슬라브,77.46
한사 마을회관,전라북도 풍산면 한사길 30-19,1997,1,벽돌/슬라브,93.75
지내 마을회관,전라북도 풍산면 지내길 34-1,1997,1,벽돌/슬라브,81.715
대가 마을회관,전라북도 풍산면 대가2길 25-3,1997,1,벽돌/슬라브,75.76
오산 마을회관,전라북도 풍산면 대가2길 22,1998,1,벽돌/슬라브,81.77
향가 마을회관,전라북도 풍산면 향가로 574-7,2000,1,작별돌조,65.38
두지 마을회관,전라북도 풍산면 두승1길 7,1998,1,벽돌구조,85.7
승입 마을회관,전라북도 풍산면 두승2길 24,1998,1,조적조,80.36
상촌 마을회관,전라북도 풍산면 상촌2길 7,1984,1,벽돌구조,196.46
용내 마을회관,전라북도 풍산면 용내길 32-1,2004,1,벽돌구조,94.1
상죽 마을회관,전라북도 풍산면 죽곡2길 43,1998,1,벽돌구조,86.47
하죽 마을회관,전라북도 풍산면 죽곡1길 29,1997,1,벽돌구조,99.48
수양 마을회관,전라북도 금과면 수양길 19-4,1985,1,벽돌스라브,82.96
수양 마을회관,전라북도 금과면 수양길 13,1998,1,블록스레트,72.7
발산 마을회관,전라북도 금과면 발산길 83,1987,1,벽돌스라브,63
발산 마을회관,전라북도 금과면 발산길 81,1907,1,벽돌스라브,63
내동 마을회관,전라북도 금과면 내동1길 5,1980,1,벽돌스라브,87.8
내동 마을회관,전라북도 금과면 내동1길 15,1903,1,적벽돌조스라브,86.25
연화 마을회관,전라북도 금과면 내동2길 24-2,1985,1,벽돌스라브,82
동전 마을회관,전라북도 금과면 동전길 34,1983,1,벽돌스라브,63.6
대장 마을회관,전라북도 금과면 대장길 29-2,1980,1,블록스레트,99.1
대장 마을회관,전라북도 금과면 대장길 29-2,1995,1,벽돌스라브,66
만촌 마을회관,전라북도 금과면 만촌길 21,1901,1,벽돌스라브,83
대성 마을회관,전라북도 금과면 대성길 6-2,1985,1,벽돌스라브,69.3
대각 마을회관,전라북도 금과면 대각길 23,1903,1,벽돌스라브,52.52
청용 마을회관,전라북도 금과면 청용길 9-1,1988,1,벽돌스라브,78
방성 마을회관,전라북도 금과면 방성길 39-2,1987,1,벽돌스라브,89.1
석촌  마을회관,전라북도 금과면 석촌길 2,1904,1,벽돌스라브,33.3
남계 마을회관,전라북도 금과면 남계길 41-2,1984,1,벽돌스라브,47.9
호치 마을회관,전라북도 금과면 호치길 36-1,1999,1,벽돌스라브,88.44
장장 마을회관,전라북도 금과면 장장2길 10,1988,1,벽돌스라브,86
일목 마을회관,전라북도 금과면 목동1길 8,1998,1,벽돌스라브,55.6
이목 마을회관,전라북도 금과면 목동2길 24,1992,1,벽돌스라브,86.25
계전 마을회관,전라북도 금과면 방계로 56,1902,1,벽돌스라브,48.4
신매우 마을회관,전라북도 금과면 신매우길 14,1901,1,벽돌스라브,67.6
매우 마을회관,전라북도 금과면 매우길 7,1985,1,벽돌스라브,66
매우 마을회관,전라북도 금과면 매우길 12,1905,1,벽돌스라브,68
