번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),판매점영업면적,,
249,안전상비의약품 판매업소,01_01_05_P,4840000,PHMH320214840022087500011,20210630,,1,영업/정상,13,영업중,,,,,,,,전라남도 광양시 중동 1361-29,전라남도 광양시 중동로 6(중동),57784,지에스(GS)25 중마한전점,2.02106E+13,I,2021/07/02 0:23,,262928.655,160381.12,80,,
252,안전상비의약품 판매업소,01_01_05_P,4800000,PHMH320214800026087500014,20210628,,1,영업/정상,13,영업중,,,,,,,,전라남도 목포시 상동 1004-1,"전라남도 목포시 비파로 35-1, 1층 (상동)",58693,세븐일레븐 목포비파로점,2.02106E+13,I,2021/07/02 0:23,,147513.0261,144957.1627,100,,
1735,안전상비의약품 판매업소,01_01_05_P,4830000,PHMH320184830021087500011,20181129,,1,영업/정상,13,영업중,,,,,,,,전라남도 나주시 남평읍 동사리 421번지 2호 나주 남평강변도시 양우내안애 리버시티2차,"전라남도 나주시 남평읍 지석로 167, 107,108호 (나주 남평강변도시 양우내안애 리버시티2차)",58229,씨유나주드들강점,2.01812E+13,U,2018/12/21 2:40,,186631.6209,170816.3142,,,
1776,안전상비의약품 판매업소,01_01_05_P,4820000,PHMH320184820026087500035,20181203,,1,영업/정상,13,영업중,,,,,,,,전라남도 순천시 해룡면 상삼리 630번지 10호 아림미술학원,"전라남도 순천시 해룡면 상대석길 54, 1층",57975,지에스(GS)25금당지구점,2.0201E+13,U,2020/10/23 2:40,,248082.3356,161339.7387,,,
1786,안전상비의약품 판매업소,01_01_05_P,4930000,PHMH320184930013087500009,20181115,,1,영업/정상,13,영업중,,,,,,,,전라남도 해남군 송지면 어란리 1273번지 2호 나래수산,"전라남도 해남군 송지면 어란로 411, 나래수산",59063,세븐일레븐 해남어란점,2.01811E+13,U,2018/11/21 2:35,,151983.93,95246.23874,6.6,,
1844,안전상비의약품 판매업소,01_01_05_P,4830000,PHMH320194830021087500002,20190123,,1,영업/정상,13,영업중,,,,,,,,전라남도 나주시 대호동 1026번지 1호 대자연식육식당,"전라남도 나주시 대호길 76-5, 1층 (대호동)",58244,GS25 나주대방점,2.01901E+13,I,2019/01/25 2:21,,174188.7142,171613.6255,76.4,,
1904,안전상비의약품 판매업소,01_01_05_P,4800000,PHMH320194800026087500002,20190114,,1,영업/정상,13,영업중,,,,,,,,전라남도 목포시 옥암동 977번지 8호,전라남도 목포시 백년대로 420 (옥암동),58684,씨유 목포백년대로점,2.01901E+13,I,2019/01/17 2:20,,147951.7467,145755.2751,,,
2041,안전상비의약품 판매업소,01_01_05_P,4810000,PHMH320194810029087500003,20190125,,1,영업/정상,13,영업중,,,,,061-691-8384,,,전라남도 여수시 학동 4번지 12호,"전라남도 여수시 쌍봉로 29, 1층 (학동)",59671,GS25 여천점,2.01901E+13,I,2019/01/27 2:21,,260274.8948,141108.1809,181.8,,
2048,안전상비의약품 판매업소,01_01_05_P,4820000,PHMH320194820026087500002,20190131,,1,영업/정상,13,영업중,,,,,,,,전라남도 순천시 연향동 1348번지 22호,전라남도 순천시 연향3로 16 (연향동),57978,미니스톱 연향동성점,2.01901E+13,I,2019/02/02 2:21,,247202.4157,161419.8441,,,
2063,안전상비의약품 판매업소,01_01_05_P,4950000,PHMH320194950018087500002,20190116,,1,영업/정상,13,영업중,,,,,,,,전라남도 무안군 삼향읍 남악리 1584번지 부영애시앙,"전라남도 무안군 삼향읍 남악5로72번길 7, 103, 104호 (부영애시앙)",58568,GS25 남악부영점,2.01901E+13,I,2019/01/18 2:20,,151698.5895,146204.097,10,,
