행정구역,주소1,주소2,주소3,섬이름,면적 (㎢),해안선(㎞),위도,경도
신안군,신안군,지도읍,,지도,56.06,60.5,35.06121389,126.2075694
여수시,여수시,삼산면,손죽리,손죽도,2.666,11.6,34.28206944,127.3576722
진도군,진도군,조도면,서거차도리,윗대섬(상죽도),0.107,1.7,34.25344167,125.9241444
완도군,완도군,노화읍,,넙도,2.571,12.5,34.18486111,126.4957806
영광군,영광군,낙월면,송이리,송이도,3.315,11,35.28320278,126.1437722
여수시,여수시,화정면,조발리,둔병도,0.809,6.277,34.62698611,127.5365472
장흥군,장흥군,안양면,사촌리,장재도,0.64,7,34.61638611,127.0129361
보성군,보성군,벌교읍,장도리,해도,0.134,2.4,34.808975,127.4415722
완도군,완도군,군외면,영풍리,사후도,0.684,5.8,34.39602778,126.7383222
완도군,완도군,노화읍,방서리,서넙도,1.04,5.4,34.18869167,126.4791944
고흥군,고흥군,도양읍,득량리,득량도,1.943,6.5,34.60302222,127.0969917
진도군,진도군,조도면,맹골도리,곽도,0.171,2.5,34.19686111,125.8589556
신안군,신안군,비금면,수치리,수치도,2.57,11.5,34.73620556,126.0216583
신안군,신안군,안좌면,,안좌도,49,49.7,34.75604444,126.1248528
진도군,진도군,조도면,서거차도리,서거차도,2.15,11.86,34.25376944,125.9104556
고흥군,고흥군,도양읍,봉암리,상화도,0.06,3.2,34.50353056,127.1482556
영광군,영광군,낙월면,임병리,소각씨도(소각시도),0.059,1.5,35.19361667,126.2216444
해남군,해남군,화원면,치하리,시하도,0.089,1.8,34.69913889,126.2426389
완도군,완도군,생일면,봉선리,덕우도,0.749,9.3,34.25245833,127.0150417
목포시,목포시,유달동,,장좌도,0.292,4.1,34.78850556,126.3375306
여수시,여수시,삼산면,동도리,동도,3.469,12.5,34.05781944,127.3111944
완도군,완도군,금일읍,사동리,소랑도,0.785,5,34.32625556,127.0860361
진도군,진도군,임회면,굴포리,죽도,0.044,0.51,34.3483,126.2139139
여수시,여수시,남면,안도리,대부도,0.176,3.2,34.47827778,127.7914611
완도군,완도군,청산면,모도리,소모도,0.369,8,34.22342778,126.7725361
진도군,진도군,조도면,관사도리,관사도,0.992,5.39,34.31363056,125.9730972
진도군,진도군,진도읍,산월리,저도,0.168,4.5,34.50888333,126.1650694
여수시,여수시,화정면,낭도리,낭도,5.303,19.5,34.60533611,127.5492972
신안군,신안군,암태면,신석리,초란도,1.34,1.1,34.88095278,126.1675056
진도군,진도군,조도면,서거차도리,아랫대섬(하죽도),0.148,1.99,34.24847778,125.9251694
영광군,영광군,낙월면,오도리,횡도,0.24,2.5,35.33550833,125.9912167
신안군,신안군,흑산면,영산리,영산도,1.91,7.9,34.64888889,125.4681722
신안군,신안군,지도읍,선도리,선도,5.6,6.6,34.98883333,126.26005
신안군,신안군,지도읍,,사옥도,14.86,27,35.03777222,126.1643944
해남군,해남군,산이면,상공리,금호도,5.4,2.9,34.68655556,126.3564694
완도군,완도군,군외면,원동리,달도,1.126,7.2,34.39683889,126.6351167
완도군,완도군,청산면,모도리,대모도,4.154,21.6,34.19546944,126.7600139
완도군,완도군,노화읍,,노화도,25.302,58.4,34.20398333,126.578825
목포시,목포시,유달동,,외달도,0.483,4.1,34.78065833,126.2965056
진도군,진도군,조도면,맹골도리,맹골도,0.98,5.44,34.20960278,125.8582972
진도군,진도군,조도면,독거도리,슬도,0.02,3.08,34.26292222,126.1503528
고흥군,고흥군,과역면,백일리,진지도(진지내도),0.575,8,34.711475,127.4449167
여수시,여수시,돌산읍,군내리,송도,0.953,5.8,34.60896944,127.7110306
완도군,완도군,군외면,황진리,토도,0.117,1.7,34.42145833,126.6877056
진도군,진도군,조도면,대마도리,대마도,2.457,15.95,34.27615833,125.9909361
해남군,해남군,송지면,어란리,어불도,0.684,5.9,34.34079444,126.4709861
진도군,진도군,조도면,성남도리,성남도,0.959,5.87,34.40112778,126.0452444
완도군,완도군,금일읍,사동리,우도,0.078,1.7,34.31143611,127.0620694
신안군,신안군,압해읍,복룡리,"우간도(우관도, 효지도)",0.73,4.1,34.90602778,126.3503694
보성군,보성군,벌교읍,장도리,지주도,0.466,4.7,34.78160556,127.4245417
여수시,여수시,경호동,,대경도,2.343,11.7,34.71088611,127.7245667
여수시,여수시,경호동,,야도,0.052,1.3,34.71998056,127.7105694
완도군,완도군,금일읍,척치리,신도,1.271,5,34.39395,127.0412528
해남군,해남군,화산면,삼마리,상마도,0.39,3.2,34.46013333,126.4144778
완도군,완도군,군외면,불목리,고마도,1.26,6.5,34.41488056,126.7134944
신안군,신안군,장산면,마진도리,마진도,1.43,7.5,34.62311667,126.2074639
신안군,신안군,안좌면,자라리,자라도,4.92,15,34.692525,126.1832833
무안군,무안군,해제면,송석리,닥섬(닭섬),0.067,1.5,35.16458611,126.3364194
완도군,완도군,보길면,예송리,예작도,0.294,2.4,34.13118056,126.5683139
신안군,신안군,지도읍,어의리,어의도,1.63,7.8,35.14095278,126.1937972
영광군,영광군,낙월면,석만리,석만도(대석만도),0.416,3.5,35.37259167,126.0480306
진도군,진도군,조도면,독거도리,혈도,0.099,1.51,34.22293333,126.1614556
신안군,신안군,하의면,후광리,장병도,1.63,7.5,34.65530556,126.0470361
고흥군,고흥군,봉래면,사양리,수락도,0.465,0.7,34.47883611,127.4013139
고흥군,고흥군,도화면,지죽리,지죽도,1.177,6,34.43630556,127.3089972
여수시,여수시,삼산면,거문리,거문도(고도),0.459,3.7,34.02760833,127.3129722
신안군,신안군,팔금면,이목리,매도,0.43,2.8,34.817575,126.1569806
