보건소명,일반전화,팩스,우편번호,도로명주소,위치,데이터기준일자
목포시보건소,061-277-4000,061-270-3597,58613,전라남도 목포시 원산로 45번길5,서부초등옆,2021-08-01
여수시보건소,061-683-4000,061-659-5839,59674,전라남도 여수시 시청서4길 47,시청 옆,2021-08-01
순천시보건소,061-749-6914,061-749-4707,57938,전라남도 순천시 중앙로 232,순천대학교 맞은편 ,2021-08-01
나주시보건소,061-339-2171,061-339-2833,58274,전라남도 나주시 풍물시장2길 57-32,풍물시장 옆,2021-08-01
광양시보건소,061-797-4023,061-797-4151,57741,전라남도 광양시 광양읍 인덕로 1100,광양시 제2청사 내,2021-08-01
담양군보건소,061-383-4000,061-380-3990,57335,전라남도 담양군 담양읍 완동길 10-11,여성회관 옆,2021-08-01
곡성군보건의료원,061-362-4000,061-360-8597,57542,전라남도 곡성군 곡성읍 곡성로 854,군청 뒤편 300m 지점,2021-08-01
구례군보건의료원,061-780-2006,061-780-2770,57656,전라남도 구례군 구례읍 동편제길 30,군청에서 남원방향 80m,2021-08-01
고흥군보건소,061-830-5321,061-830-5593,59542,전라남도 고흥군 고흥읍 등암3길5,등암sk가스충전소에서100m,2021-08-01
보성군보건소,061-853-4000,061-850-5699,59455,전라남도 보성군 보성읍 송재로 153,군청 옆,2021-08-01
화순군보건소,061-379-5305,061-379-5380,58122,전라남도 화순군 화순읍 쌍충로 62,중앙병원 사거리 앞,2021-08-01
장흥군보건소,061-862-4000,061-860-0597,59327,전라남도 장흥군 장흥읍 흥성로 49 ,군민회관 옆,2021-08-01
강진군보건소,061-430-3531,061-430-3539,59240,전라남도 강진군 강진읍 목리길 11,농협파머스 마켓 뒤,2021-08-01
해남군보건소,061-531-3738,061-530-5597,59038,전라남도 해남군 해남읍 해남로 46,해남동초등학교 옆,2021-08-01
영암군보건소,061-470-6525,061-470-6576,58421,전라남도 영암군 영암읍 오리정길39,영암터미널앞 100m,2021-08-01
무안군보건소,061-450-5041,061-450-5134,58532,전라남도 무안군 무안읍 무안로530,무안군청 옆,2021-08-01
함평군보건소,061-320-3547,061-320-3527,57153,전라남도 함평군 함평읍 중앙길 54-8,함평공용터미널 뒷편,2021-08-01
영광군보건소,061-350-5552,061-350-5124,57043,전라남도 영광군 영광읍 신남로4길 17 ,축협하나로마트 옆,2021-08-01
장성군보건소,061-393-1989,061-390-7598,57219,전라남도 장성군 장성읍 영천리 청운11길 13 ,장성역에서 북쪽으로 500m,2021-08-01
완도군보건의료원,061-550-6720,061-550-6787,59108,전라남도 완도군 완도읍 농공단지길 34,완도경찰서 옆,2021-08-01
진도군보건소,061-544-2181,061-544-0902,58915,전라남도 진도군 진도읍 남동1길 40-9,농협하나로마트 옆,2021-08-01
신안군보건소,061-271-1004,061-240-8000,58827,전라남도 신안군 압해읍 천사로 1004,압해대교 끝 좌회전,2021-08-01
