연번,시군명,기관장,기관명,소재지 (도로명 주소),전화번호,진료과목,진료시간,비고,데이터기준일자
1,목포시,문선화,하당보건지소,전라남도 목포시 석현로 48,061-270-4011,내과,09:00~18:00,육지,2021-08-01
2,여수시,이주리,중부보건지소,전라남도 여수시 여서동5길 21-1,061-659-4354,내과+한방,09:00~18:00,육지,2021-08-01
3,여수시,이주리,돌산보건지소,전라남도 여수시 돌산읍 방답길 55,061-659-1036,내과+한방,09:00~18:00,육지,2021-08-01
4,여수시,이주리,우두보건지소,전라남도 여수시 돌산읍 강남로 32,061-659-5278,내과+한방,09:00~18:00,육지,2021-08-01
5,여수시,이주리,화양보건지소,전라남도 여수시 돌산읍 강남로 32,061-659-1174,내과,09:00~18:00,육지,2021-08-01
6,여수시,이주리,화정보건지소,전라남도 여수시 화정면 백야해안길 40,061-659-1251,내과+한방,09:00~18:00,육지,2021-08-01
7,여수시,이주리,상암보건지소,전라남도 여수시 상암로 601-1,061-659-1788,내과+한방,09:00~18:00,육지,2021-08-01
8,여수시,이주리,남면보건지소,전라남도 여수시 남면 금오로 858,061-659-1217,내과+치과+한방,09:00~18:00,도서,2021-08-01
9,여수시,이주리,연도보건지소,전라남도 여수시 남면 연도서부안길 17,061-659-1723,내과+치과+한방,09:00~18:00,도서,2021-08-01
10,여수시,이주리,삼산보건지소,전라남도 여수시 삼산면 거문길 122,061-659-1284,내과+치과+한방,09:00~18:00,도서,2021-08-01
11,여수시,이주리,초도보건지소,전라남도 여수시 삼산면 대동길 78,061-659-1775,내과+치과+한방,09:00~18:00,도서,2021-08-01
12,여수시,이주리,개도보건지소,전라남도 여수시 화정면 개도화산1길 8,061-659-1751,내과+치과+한방,09:00~18:00,도서,2021-08-01
13,여수시,이주리,동부보건지소,전라남도 여수시 동문로99,061-659-4357,건강증진사업+예방접종,09:00~18:00,육지,2021-08-01
14,순천시,양선길,승주보건지소,전라남도 순천시 승주읍 승주로694,061-749-6013,양방+한방+치과,09:00~18:00,육지,2021-08-01
15,순천시,양선길,주암보건지소,전라남도 순천시 주암면 동주로 2086,061-749-6018,양방,09:00~18:00,육지,2021-08-01
16,순천시,양선길,송광보건지소,전라남도 순천시 송광면 쌍향수길 1338,061-749-6023,양방+한방,09:00~18:00,육지,2021-08-01
17,순천시,양선길,외서보건지소,전라남도 순천시 외서면 쌍향수길 440,061-749-6027,양방,09:00~18:00,육지,2021-08-01
18,순천시,양선길,낙안보건지소,전라남도 순천시 낙안면 민속마을길 1690,061-749-6030,양방+한방,09:00~18:00,육지,2021-08-01
