연번,시군명,기관장,기관명,소재지 (도로명 주소),전화번호,진료과목,진료시간,비고,데이터기준일자
1,여수시,김모례,송도보건진료소,전라남도 여수시 돌산읍 송도길 38-2,061-666-9363,1차진료,09:00~18:00,도서,2021-08-01
2,여수시,조선녀,금성보건진료소,전라남도 여수시 돌산읍 돌산로 617-2,061-644-1923,1차진료,09:00~18:00,육지,2021-08-01
3,여수시,강미숙,율림보건진료소,전라남도 여수시 돌산읍 향일암로 269-6,061-644-6621,1차진료,09:00~18:00,육지,2021-08-01
4,여수시,황미숙,죽포보건진료소,전라남도 여수시 돌산읍 돌산로 2080-8,061-644-3615,1차진료,09:00~18:00,육지,2021-08-01
5,여수시,이은주,평사보건진료소,전라남도 여수시 돌산읍 평사로 560-6,061-644-5745,1차진료,09:00~18:00,육지,2021-08-01
6,여수시,김덕례,복산보건진료소,전라남도 여수시 소라면 달천길 135,061-686-1357,1차진료,09:00~18:00,육지,2021-08-01
7,여수시,김영미,사곡보건진료소,전라남도 여수시 소라면 상사길 21,061-686-1057,1차진료,09:00~18:00,육지,2021-08-01
8,여수시,염경숙,봉두보건진료소,전라남도 여수시 소라면 당촌길 57-1,061-685-2087,1차진료,09:00~18:00,육지,2021-08-01
9,여수시,김정현,상봉보건진료소,전라남도 여수시 율촌면 상봉1길 28,061-686-0360,1차진료,09:00~18:00,육지,2021-08-01
10,여수시,정점숙,감도보건진료소,전라남도 여수시 화양면 감도길 2,061-686-0117,1차진료,09:00~18:00,육지,2021-08-01
11,여수시,송가은,장수보건진료소,전라남도 여수시 화양면 장수자매길 8-2,061-682-6863,1차진료,09:00~18:00,육지,2021-08-01
12,여수시,김진,세포보건진료소,전라남도 여수시 화양면 장수로 19,061-686-2515,1차진료,09:00~18:00,육지,2021-08-01
13,여수시,김현민,유송보건진료소,전라남도 여수시 남면 솔고지길 71-11,061-664-9002,1차진료,09:00~18:00,도서,2021-08-01
14,여수시,정영옥,안도보건진료소,전라남도 여수시 남면 안도해변길 49-7,061-666-9521,1차진료,09:00~18:00,도서,2021-08-01
15,여수시,우신재,화태보건진료소,전라남도 여수시 남면 화태길 28,061-665-9208,1차진료,09:00~18:00,도서,2021-08-01
16,여수시,함순오,두라보건진료소,전라남도 여수시 남면 대두길 87-1,061-665-4424,1차진료,09:00~18:00,도서,2021-08-01
17,여수시,최귀숙,횡간보건진료소,전라남도 여수시 남면 횡간중앙길 14-2,061-666-6205,1차진료,09:00~18:00,도서,2021-08-01
18,여수시,김현진,월호보건진료소,전라남도 여수시 화정면 월호골길 13,061-666-7595,1차진료,09:00~18:00,도서,2021-08-01
19,여수시,유혜숙,제도보건진료소,전라남도 여수시 화정면 제도해안길 63,061-665-4982,1차진료,09:00~18:00,도서,2021-08-01
20,여수시,유채원,상하화보건진료소,전라남도 여수시 화정면 아랫꽃섬 1길 4-5,061-665-9573,1차진료,09:00~18:00,도서,2021-08-01
21,여수시,정선숙,낭도보건진료소,전라남도 여수시 화정면 여산길 62,061-665-4077,1차진료,09:00~18:00,도서,2021-08-01
22,여수시,김화자,적금보건진료소,전라남도 여수시 화정면 적금뒷등길 27,061-666-9572,1차진료,09:00~18:00,도서,2021-08-01
23,여수시,김은정,여자보건진료소,전라남도 여수시 화정면 마파지길 17,061-666-9574,1차진료,09:00~18:00,도서,2021-08-01
24,여수시,송혜경,서도보건진료소,전라남도 여수시 삼산면 장촌3길 9-6,061-665-7758,1차진료,09:00~18:00,도서,2021-08-01
25,여수시,진명옥,동도보건진료소,전라남도 여수시 삼산면 죽촌1길 24-1,061-666-9576,1차진료,09:00~18:00,도서,2021-08-01
26,여수시,최현자,손죽보건진료소,전라남도 여수시 삼산면 우데미길 12,061-665-9662,1차진료,09:00~18:00,도서,2021-08-01
27,여수시,송미숙,경호보건진료소,전라남도 여수시 대경도2길 5,061-665-6460,1차진료,09:00~18:00,도서,2021-08-01
28,여수시,하현희,묘도보건진료소,전라남도 여수시 묘도 10길 6(묘도동),061-685-3386,1차진료,09:00~18:00,육지,2021-08-01
29,순천시,오정임,도정보건진료소,전라남도 순천시 승주읍 도정송정길 11,061-749-4321,양방,09:00~18:00,,2021-08-01
30,순천시,염진순,운룡보건진료소,전라남도 순천시 주암면 운룡2길 25,061-749-4322,양방,09:00~18:00,,2021-08-01
31,순천시,강광용,어왕보건진료소,전라남도 순천시 주암면 한동길 100,061-749-4323,양방,09:00~18:00,,2021-08-01
32,순천시,류재열,창촌보건진료소,전라남도 순천시 주암면 주목로 12,061-749-4324,양방,09:00~18:00,,2021-08-01
33,순천시,김진영,후곡보건진료소,전라남도 순천시 송광면 후곡안길 97,061-749-4325,양방,09:00~18:00,,2021-08-01
34,순천시,임채현,신전보건진료소,전라남도 순천시 낙안면 금산신전길 17,061-749-4326,양방,09:00~18:00,,2021-08-01
35,순천시,공연우,도신보건진료소,전라남도 순천시 외서면 도신길 96,061-749-4327,양방,09:00~18:00,,2021-08-01
36,순천시,류미숙,창녕보건진료소,전라남도 순천시 낙안면 민속마을길 1209,061-749-4328,양방,09:00~18:00,,2021-08-01
37,순천시,,송기보건진료소,전라남도 순천시 별량면 송산송기길 140,061-749-4329,양방,09:00~18:00,,2021-08-01
38,순천시,이신미,마산보건진료소,전라남도 순천시 별량면 마산길 132,061-749-4330,양방,09:00~18:00,,2021-08-01
39,순천시,양혜영,학산보건진료소,전라남도 순천시 별량면 장산길 96-1,061-749-4331,양방,09:00~18:00,,2021-08-01
40,순천시,최정숙,마륜보건진료소,전라남도 순천시 상사면 민속마을길 280-8,061-749-4332,양방,09:00~18:00,,2021-08-01
41,순천시,백경미,쌍지보건진료소,전라남도 순천시 상사면 쌍지길 6,061-749-4333,양방,09:00~18:00,,2021-08-01
42,순천시,김선미,하사보건진료소,전라남도 순천시 해룡면 하사길 79,061-749-4334,양방,09:00~18:00,,2021-08-01
43,순천시,박순심,선월보건진료소,전라남도 순천시 해룡면 선월길 43,061-749-4335,양방,09:00~18:00,,2021-08-01
44,순천시,한상희,판교보건진료소,전라남도 순천시 서면 판교안길 162-1,061-749-4336,양방,09:00~18:00,,2021-08-01
45,순천시,우자현,구상보건진료소,전라남도 순천시 서면 수통목길 3,061-749-4337,양방,09:00~18:00,,2021-08-01
