,정류장아이디,정류장 명칭,정류장 유형,중앙차로 여부,노드영문명,위도,경도,수집일시,단축아이디,도시코드,도시명
18667,TSB332000097,상동,1.0,N,Sang Dong,34.474779,127.302706,2021/09/16 04:01:26,3320097.0,36350,고흥군
18668,TSB332000098,하동,1.0,N,Ha Dong,34.475067,127.304786,2021/09/16 04:01:26,3320098.0,36350,고흥군
18669,TSB332000099,하동,1.0,N,Ha Dong,34.475174,127.304767,2021/09/16 04:01:26,3320099.0,36350,고흥군
18670,TSB332000106,와교,1.0,N,Wa Gyo,34.479754,127.459472,2021/09/16 04:01:26,3320106.0,36350,고흥군
18671,TSB332000107,와교,1.0,N,Wa Gyo,34.479756,127.459622,2021/09/16 04:01:26,3320107.0,36350,고흥군
18672,TSB332000112,화옥,1.0,N,Hwa Ok,34.483651,127.271403,2021/09/16 04:01:26,3320112.0,36350,고흥군
18673,TSB332000113,발포리,1.0,N,Bal Po Ri,34.484786,127.337994,2021/09/16 04:01:26,3320113.0,36350,고흥군
18674,TSB332000114,발포리,1.0,N,Bal Po Ri,34.484877,127.338013,2021/09/16 04:01:26,3320114.0,36350,고흥군
18675,TSB332000116,덕흥,1.0,N,Deok Heung,34.485291,127.324617,2021/09/16 04:01:26,3320116.0,36350,고흥군
18676,TSB332000118,덕흥,1.0,N,Deok Heung,34.485345,127.324738,2021/09/16 04:01:26,3320118.0,36350,고흥군
18677,TSB332000119,동봉,1.0,N,Dong Bong,34.485471,127.489781,2021/09/16 04:01:26,3320119.0,36350,고흥군
18678,TSB332000122,발포,1.0,N,Bal Po,34.487961,127.339598,2021/09/16 04:01:26,3320122.0,36350,고흥군
18679,TSB332000123,발포,1.0,N,Bal Po,34.488024,127.339733,2021/09/16 04:01:26,3320123.0,36350,고흥군
18680,TSB332000124,금진주차장,1.0,N,Geum Jin Ju Cha Jang,34.488034,127.121825,2021/09/16 04:01:26,3320124.0,36350,고흥군
