,Unnamed: 0,약국명_y,주소_y,전화번호,좌표정보(X),좌표정보(Y),월요일 운영,화요일 운영,수요일 운영,목요일 운영,금요일 운영,토요일 운영,일요일 운영,공휴일 운영
1,1,365 우리약국,전라남도 나주시 전력로 2 이화플라자 1층,061-333-8228,126.785331,35.0215717,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,09:00~22:00,09:00~22:00
2,2,365보배약국,"전라남도 순천시 봉화2길 99, 2층 (조례동)",061-722-1172,127.5178406,34.9617115,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,13:00~22:00,13:00~22:00
3,3,365웃장대형약국,"전라남도 순천시 중앙로 136, (매곡동)",061-753-5522,127.4844433,34.9577919,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,09:00~22:00,09:00~22:00
4,4,365일 정성약국,전라남도 여수시 장성3길 52 (안산동),061-685-1055,127.6540322,34.7543181,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
5,5,365일연향대형약국,"전라남도 순천시 연향3로 11, 1층 1A 4호~6호 (연향동)",061-746-3651,127.5168796,34.950915,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,09:00~18:00,09:00~18:00,09:00~18:00
6,6,365종로약국,"전라남도 나주시 대호길 85-1, 1층 (대호동)",061-000-0000,126.7166564,35.0425364,12:00~22:00,12:00~22:00,12:00~22:00,12:00~22:00,12:00~22:00,12:00~22:00,14:00~20:00,14:00~20:00
9,9,가까운평화약국,"전라남도 순천시 해룡면 순광로 234-9, 가동 1층 101호",061-721-7500,127.5452672,34.9635348,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,09:00~17:00,10:00~17:00,10:00~17:00
28,28,건강약국,"전라남도 강진군 강진읍 영랑로3길 29-1,",061-434-3309,126.771169,34.6396354,07:00~21:00,07:00~21:00,07:00~21:00,07:00~21:00,07:00~21:00,07:00~21:00,07:00~21:00,08:30~21:00
49,49,공한약국,전라남도 여수시 충무5길 14 (충무동),061-662-0255,127.7297402,34.7422086,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,10:00~24:00,10:00~24:00
60,60,광주약국,전라남도 영광군 영광읍 현암길 58,061-351-2228,126.5108281,35.2757235,07:30~22:30,07:30~22:30,07:30~22:30,07:30~22:30,07:30~22:30,07:30~22:30,07:30~22:30,07:30~22:30
74,74,굿모닝약국,"전라남도 나주시 빛가람로 677, 104~105호 (빛가람동)",061-333-7990,126.7858398,35.0215108,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,10:00~22:00,10:00~22:00
83,83,금일건강약국,전라남도 완도군 금일읍 금일로 400,061-552-1940,127.0299737,34.349104,07:30~20:00,07:30~20:00,07:30~20:00,07:30~20:00,07:30~20:00,07:30~20:00,16:00~20:00,07:30~20:00
119,119,녹십자약국,전라남도 신안군 흑산면 예리1길 60,061-275-8600,125.4443382,34.6845328,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~17:00,09:00~18:00,08:00~17:00
124,124,누엘약국,전라남도 순천시 조례1길 10-26 (조례동),061-723-2843,127.5222126,34.9599395,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~17:30,09:00~12:30,09:00~12:30
132,132,다나약국,"전라남도 화순군 화순읍 중앙로 19,",061-371-1413,126.983617,35.0605801,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,10:00~18:00,10:00~18:00
133,133,다나약국,전라남도 목포시 용당로 322-3 (용해동),061-276-1133,126.4008582,34.8160317,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~18:00,09:00~18:00,09:00~18:00
135,135,다나은약국,전라남도 목포시 이로로9번길 6,061-277-5200,126.4059495,34.8042982,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30
146,146,담양종로약국,"전라남도 담양군 담양읍 중앙로 29-1,",061-381-0501,126.9835749,35.3159217,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,09:00~20:00
157,157,대성약국,전라남도 강진군 강진읍 탐진로 6,061-432-3000,126.7584209,34.6358733,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00
159,159,대성약국,전라남도 여수시 중앙로 24-1 (교동),061-663-6981,127.7302492,34.7401603,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~21:00,08:00~20:00
168,168,대창약국,전라남도 해남군 해남읍 중앙2로 124,061-536-4992,126.5953372,34.5672293,07:30~19:00,07:30~19:00,07:30~19:00,07:30~19:00,07:30~19:00,07:30~19:00,07:30~19:00,07:30~19:00
210,210,메디타운정겨운약국,"전라남도 순천시 신월큰길 13, 1층 (조례동)",061-804-5188,127.5198452,34.9604482,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~18:00,09:00~13:00,09:00~13:00
213,213,메디팜명문약국,"전라남도 목포시 이로로 14, (용해동)",061-274-1985,126.405621,34.8043817,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00
224,224,메디팜현대약국,"전라남도 목포시 부흥로 86, 102호 (옥암동,부영2차아파트 상가)",061-283-0008,126.4306256,34.8032947,08:30~21:30,08:30~21:30,08:30~19:30,08:30~21:30,08:30~21:30,08:30~21:30,13:00~21:30,08:30~21:30
226,226,명성온누리약국,전라남도 순천시 봉화3길 14 (조례동),061-723-6669,127.519985,34.9632456,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,15:00~20:00,08:30~20:00
227,227,명신약국,전라남도 영광군 영광읍 중앙로 165,061-351-3019,126.51181,35.2736786,07:00~22:00,07:00~22:00,07:00~22:00,07:00~22:00,07:00~22:00,07:00~22:00,07:00~22:00,07:00~22:00
232,232,목포광주약국,전라남도 목포시 해안로229번길 2-1,061-243-1101,126.3867961,34.7857881,07:30~18:00,07:30~18:00,07:30~18:00,07:30~18:00,07:30~18:00,07:30~18:00,08:00~12:00,08:00~17:00
234,234,목포하나로약국,전라남도 목포시 선곡로 33 (석현동),061-281-1895,126.4285427,34.8190883,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00
261,261,바른약국,전라남도 광양시 사동로 187 (마동),061-795-1058,127.6906481,34.9548952,08:30~19:00,08:30~19:00,08:30~19:00,14:00~19:00,08:30~19:00,09:00~13:00,13:00~17:00,09:00~13:00
266,266,밝은약국,전라남도 순천시 이수로 317,061-721-5464,127.5183727,34.9541238,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~13:00,09:00~12:00,09:00~12:00
277,277,백운약국,전라남도 여수시 여서1로 52 (여서동),061-655-2999,127.7036214,34.7521617,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,08:30~24:00
284,284,베스트약국,전라남도 순천시 해룡면 지봉로 372-1,061-724-8566,127.534008,34.9467065,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~18:00,09:00~18:00,09:00~18:00
288,288,보건당약국,"전라남도 나주시 남교1길 1 (이창동, 보건당약국)",061-333-3350,126.7145457,34.9959541,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~19:00,09:00~19:00,09:00~19:00
293,293,보문약국,"전라남도 순천시 황전면 괴목길 87,",061-754-9798,127.4296268,35.103123,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,09:00~13:00,08:30~21:00
297,297,복음사랑약국,전라남도 목포시 백년대로297번길 8,061-281-6900,126.4199034,34.804531,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,08:00~21:00,09:00~18:00,09:00~18:00
300,300,봄봄약국,"전라남도 순천시 봉화3길 14-28, 1층 105호 (조례동)",061-725-1006,127.5209162,34.9637371,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~16:00,09:00~13:00,09:00~13:00
