시?군,터미널명,대표자,주 소,Latitude,Longitude,규모(㎡),"설 치
년 도",비고
계,48개소,,"(공영 5, 공용 42)",,,,,
목포(1),목포종합터미널,김성산,목포시 영산로 525,34.8127222,126.4171974,"7,167",‘06. 11. 1,
여수(1),여수종합버스터미널,김성산,여수시 죄수영로 268,34.7586286,127.7171304,"8,317",‘81 .4. 27,
순천(2),순천종합버스터미널,김성산,순천시 장천3길 13,34.9475901,127.4913888,"8,416",‘80. 2. 1,
,송광시외버스터미널,안금란,순천시 송광면 송광사길 412,34.9869475,127.2450103,"1,183",‘90 3. 30,
나주(4),나주여객자동차,김진홍,나주시 나주로 190,35.033327,126.7214316,"3,807",‘12. 1. 2,
,영산포여객자동차,이만춘,나주시 이창1길 13-9,34.9948579,126.7130844,"5,729",‘73. 3. 2,
,동창터미널,조근환,나주시 세지면 동창로142,34.9208322,126.7482972,712,‘96. 8. 10,
,다시터미널,정옥선,나주시 영산로4526,35.0199362,126.6398652,796,‘15.10.29,
광양(2),광양시외버스터미널,박상옥,광양시 광양읍 순광로 688,34.9697972,127.590815,"1,809",‘88. 7. 20,
,중마버스터미널,윤성철,광양시 공영로 91,34.9363246,127.6992697,279,‘02. 8. 10,위수탁
담양(1),담양공용버스터미널,오양옥,담양군 담양읍 중앙로 24-1,35.3153435,126.9838655,"3,110",‘72. 4. 22,
곡성(3),곡성터미널,허 걸,곡성군 곡성읍 군청로 6,35.2789772,127.294093,330,‘72. 4. 25,
,석곡터미널,김행웅,곡성군 석곡면 석곡로 57,35.1321442,127.2534985,90,‘72. 4. 25,
,옥과터미널,김순애,곡성군 옥과면 리문6길3,35.2761952,127.1361984,71,‘78. 7. 20,
구례(1),구례공영버스터미널,구례군수,구례군 구례읍 중앙로 8,35.2067377,127.4685385,768,‘08. 3. 18,
고흥(4),고흥공용버스,송기종,고흥군 고흥읍 여산당촌길 19,34.6073336,127.2812061,"1,342",‘72. 4. 14,
,녹동공용버스,이재숙,고흥군 도양읍 천마로 57,34.5327471,127.1392983,864,‘12. 8. 13,
,과역공용버스,김병규,고흥군 과역면 무궁화길 5,34.6782776,127.3612379,848,‘79. 9. 1,
,나라도공용버스,김정모,고흥군 봉래면 죽청1길 25,34.4637392,127.4590683,194,‘96. 4. 29,
보성(2),보성시외버스터미널,장남규,보성군 보성읍 현충로 20,34.7637846,127.0757443,654,‘86. 6. 1,
,벌교시외버스터미널,김선정,보성군 벌교읍 조정래길2-8,34.8482303,127.351137,"1,080",‘05. 5. 11,
화순(1),화순시외버스터미널,임병수,화순군 화순읍 시장길 7,35.0562722,126.9833145,893,‘80. 1. 21,
장흥(3),장흥공용터미널,김양금,장흥군 장흥읍 중앙로1길 8,34.6772872,126.9097819,489,‘79.07.11.,
,회진공용터미널,이경희,장흥군 회진면 회진로425,34.4852048,126.9392115,193,‘88.09.23.,
,관산공용터미널,김미숙,장흥군 관산읍 관산로121-12,34.5657841,126.9367008,178,‘16.02.02.,
강진(4),강진시외버스,강진군수,강진군 강진읍 영랑로35,34.6385099,126.7679251,"4,069",‘07.11.20.,
,마량시외버스,박희서,강진군 마량면 마량4길11,34.4514825,126.817236,"1,923",‘72.05.24.,
,성전시외버스,이창복,강진군 성전면 별뫼리379,34.6926759,126.7091151,"1,474",‘76.08.02.,
,도암시외버스,박찬휘,강진군 도암면 도암중앙로,34.5454269,126.7281696,"2,476",‘84.01.06.,
해남(3),해남시외버스,김성산,해남군 해남읍 해남로 8,34.5703163,126.6078393,"2,196",‘88.09.07.,
,남창시외버스,최일원,해남군 북평면 달량진길50,34.4048743,126.6276839,211,‘72.03.18.,
,월송시외버스,강승환,해남군 현산면 시등리길 27,34.4152203,126.5896412,421,‘92.03.30.,
영암(5),영암시외버스,박정매,영암군 영암읍 동문로 8,34.7965948,126.7029498,"3,400",‘71.11.24,
,신북시외버스,이수현,영암군 신북면 예향로 2542,34.8879454,126.690117,422,‘78.08.07.,
,삼호시외버스,김자민,영암군 삼호읍 삼호중앙로 244,34.7458473,126.4773484,739,‘78.10.29.,
,독천시외버스,이윤헌,영암군 학산면 영산로 6,34.7247157,126.5700593,925,‘88.06.02.,
,시종시외버스,나평웅,영암군 시종면 만수리 920-1,34.8688815,126.6091863,144,‘89.04.04.,
무안(2),무안시외버스,박일상,무안군 무안읍 무안로 497-1,34.9881432,126.4782131,389,‘88.12.23.,
,해제시외버스,이중배,무안군 해제면 약간로 17,35.1104334,126.2945565,449,‘92.10.12.,
함평(2),함평여객자동차,함평군수,함평군 함평읍 중앙길 46,35.0620485,126.5234993,364,‘08.01.01.,
,문장시외버스,함평군수,함평군 해보면 해삼로364,35.1811927,126.6055,172,‘12.05.16.,
영광(2),영광공용버스,조희장,영광군 영광읍 신남로 184,35.2758514,126.50193,"5,350",‘72.04.21.,
,홍농공용버스,박정희,영광군 홍농읍 상하길 28,35.3942677,126.4449123,"2,002",‘84.02.17.,
장성(2),장성공영시외버스,장성군수,장성군 장성읍 영천로 3,35.2985546,126.7836438,316,‘86.05.17.,
,사거리시외버스,임성자,장성군 북이면 백양로 3,35.4303961,126.8098684,279,‘11.01.05.,
완도(1),완도공용버스,㈜삼운,완도군 완도읍 개포로130번길 20,34.3182425,126.7453336,896,‘81.05.02.,
진도(1),진도공용버스,박성열,진도군 진도읍 남문길 5,34.478937,126.2629597,"9,461",‘97.05.21.,
신안(1),지도여객자동차,김광석,신안군 지도읍 해제지도로1240,35.0594718,126.211178,"2,455",‘02.08.26.,
