gid,lbl,val
다라22bb37ba,,
다라22bb37bb,,
다라22bb38aa,,
다라23aa37ab,,
다라23aa37ba,,
다라23aa37bb,,
다라23aa38aa,,
다라23aa38ab,,
다라23ab36bb,,
다라23ab37aa,,
다라23ab37ab,,
다라23ab37ba,,
다라23ab37bb,,
다라23ab38aa,,
다라23ab38ab,,
다라23ba15bb,,
다라23ba16aa,,
다라23ba16ab,,
다라23ba36ba,,
다라23ba36bb,,
다라23ba37aa,,
다라23ba37ab,,
다라23ba37ba,,
다라23ba37bb,,
다라23ba38aa,,
다라23ba38ab,,
다라23ba38ba,,
다라23bb15bb,,
다라23bb16aa,,
다라23bb16ab,,
다라23bb33ab,,
다라23bb36bb,,
다라23bb37aa,,
다라23bb37ab,,
다라23bb37ba,,
다라23bb37bb,,
다라23bb38aa,,
다라23bb38ab,,
다라23bb38ba,,
다라23bb38bb,,
다라24aa15ba,,
다라24aa15bb,,
다라24aa16aa,,
다라24aa16ab,,
다라24aa16ba,,
다라24aa22aa,,
다라24aa22ab,,
다라24aa22ba,,
다라24aa22bb,,
다라24aa33aa,,
다라24aa33ab,,
다라24aa33ba,,
다라24aa33bb,,
다라24aa34aa,,
다라24aa34bb,,
다라24aa35aa,,
다라24aa36bb,,
다라24aa37aa,,
다라24aa37ab,,
다라24aa37ba,,
다라24aa37bb,,
다라24aa38aa,,
다라24aa38ab,,
다라24aa38ba,,
다라24aa38bb,,
다라24aa39aa,,
다라24ab15ab,,
다라24ab15ba,,
다라24ab15bb,,
다라24ab16aa,,
다라24ab16ab,,
다라24ab16ba,,
다라24ab21bb,,
다라24ab22aa,,
다라24ab22ab,"7.00",7.0000000000000008881784197001252
다라24ab22ba,,
다라24ab22bb,,
다라24ab23aa,,
다라24ab32ba,,
다라24ab32bb,,
다라24ab33aa,,
다라24ab33ab,,
다라24ab33ba,,
다라24ab33bb,,
다라24ab34aa,,
다라24ab34ab,,
다라24ab34ba,,
다라24ab34bb,,
다라24ab35aa,,
다라24ab35ab,,
다라24ab36ba,,
다라24ab36bb,,
다라24ab37aa,,
다라24ab37ab,,
다라24ab37ba,,
다라24ab37bb,,
다라24ab38aa,,
다라24ab38ab,,
다라24ab38ba,,
다라24ab38bb,,
다라24ab39aa,,
다라24ab39ab,,
다라24ba15ab,,
다라24ba15ba,,
다라24ba15bb,,
다라24ba16aa,,
다라24ba16ab,,
다라24ba16ba,,
다라24ba16bb,,
다라24ba21aa,,
다라24ba21ab,,
다라24ba21ba,,
다라24ba21bb,,
다라24ba22aa,N/A,0.0000000000000000000000000000000
다라24ba22ab,"12.00",12.0000000000000000000000000000000
다라24ba22ba,N/A,0.0000000000000000000000000000000
다라24ba22bb,"8.00",8.0000000000000000000000000000000
다라24ba23aa,"7.00",7.0000000000000008881784197001252
다라24ba32ba,,
다라24ba32bb,,
다라24ba33aa,,
다라24ba33ab,,
다라24ba33ba,,
다라24ba33bb,,
다라24ba34aa,,
다라24ba34ab,,
다라24ba34ba,,
다라24ba34bb,,
다라24ba35aa,,
다라24ba35ab,,
다라24ba36ba,,
다라24ba36bb,,
다라24ba37aa,,
다라24ba37ab,,
다라24ba37ba,,
다라24ba37bb,,
다라24ba38aa,,
다라24ba38ab,,
다라24ba38ba,,
다라24ba38bb,,
다라24ba39aa,,
다라24ba39ab,,
다라24ba39ba,,
다라24ba39bb,,
다라24bb08ba,,
다라24bb08bb,,
다라24bb09aa,N/A,0.0000000000000000000000000000000
다라24bb09ab,,
다라24bb09ba,,
다라24bb09bb,,
다라24bb10bb,,
다라24bb13aa,,
다라24bb13ab,,
다라24bb13ba,,
다라24bb13bb,,
다라24bb14aa,,
다라24bb15ab,,
다라24bb15ba,,
다라24bb15bb,,
다라24bb16aa,,
다라24bb16ab,N/A,0.0000000000000000000000000000000
다라24bb16ba,N/A,0.0000000000000000000000000000000
다라24bb16bb,,
다라24bb17aa,,
다라24bb20bb,,
다라24bb21aa,,
다라24bb21ab,,
다라24bb21ba,,
다라24bb21bb,,
다라24bb22aa,N/A,0.0000000000000000000000000000000
다라24bb22ab,N/A,0.0000000000000000000000000000000
다라24bb22ba,,
다라24bb22bb,N/A,0.0000000000000000000000000000000
다라24bb23aa,"14.00",14.0000000000000017763568394002505
다라24bb23ab,,
다라24bb32ba,,
다라24bb32bb,,
다라24bb33aa,,
다라24bb33ab,,
다라24bb33ba,,
다라24bb33bb,,
다라24bb34aa,,
다라24bb34ab,,
다라24bb34ba,,
다라24bb34bb,,
다라24bb35aa,,
다라24bb35ab,,
다라24bb35ba,,
다라24bb35bb,,
다라24bb36aa,,
다라24bb36ab,,
다라24bb36ba,,
다라24bb36bb,,
다라24bb37aa,,
다라24bb37ab,,
다라24bb37ba,,
다라24bb37bb,,
다라24bb38aa,,
다라24bb38ab,,
다라24bb38ba,,
다라24bb38bb,,
다라24bb39aa,,
다라24bb39ab,,
다라24bb39ba,,
다라24bb39bb,,
다라24bb40aa,,
다라25aa08ba,,
다라25aa08bb,,
다라25aa09aa,N/A,0.0000000000000000000000000000000
다라25aa09ab,,
다라25aa09ba,,
다라25aa09bb,,
다라25aa10aa,N/A,0.0000000000000000000000000000000
다라25aa10ab,"25.00",25.0000000000000000000000000000000
다라25aa10ba,,
다라25aa10bb,,
다라25aa11aa,,
다라25aa11ab,,
다라25aa11ba,,
다라25aa11bb,,
다라25aa12ab,,
다라25aa12ba,,
다라25aa13aa,,
다라25aa13ab,,
다라25aa13ba,,
다라25aa13bb,,
다라25aa14aa,,
다라25aa14ab,,
다라25aa14bb,,
다라25aa15aa,,
다라25aa15ab,,
다라25aa15ba,,
다라25aa15bb,,
다라25aa16aa,,
다라25aa16ab,N/A,0.0000000000000000000000000000000
다라25aa16ba,N/A,0.0000000000000000000000000000000
다라25aa16bb,,
다라25aa17aa,,
다라25aa17ab,,
다라25aa20ab,,
다라25aa20ba,,
다라25aa20bb,,
다라25aa21aa,,
다라25aa21ab,,
다라25aa21ba,,
다라25aa21bb,,
다라25aa22aa,,
다라25aa22ab,,
다라25aa22ba,,
다라25aa22bb,,
다라25aa23aa,,
다라25aa23ab,,
다라25aa23ba,,
다라25aa26ba,,
다라25aa26bb,,
다라25aa27aa,,
다라25aa32bb,,
다라25aa33aa,,
다라25aa33ab,,
다라25aa33ba,N/A,0.0000000000000000000000000000000
다라25aa33bb,N/A,0.0000000000000000000000000000000
다라25aa34aa,,
다라25aa34ab,,
다라25aa34ba,,
다라25aa34bb,,
다라25aa35aa,,
다라25aa35ab,,
다라25aa35ba,,
다라25aa35bb,,
다라25aa36aa,,
다라25aa36ab,,
다라25aa36ba,,
다라25aa36bb,,
다라25aa37aa,,
다라25aa37ab,,
다라25aa37ba,,
다라25aa37bb,,
다라25aa38aa,,
다라25aa38ab,,
다라25aa38ba,,
다라25aa38bb,,
다라25aa39aa,,
다라25aa39ab,,
다라25aa39ba,,
다라25aa39bb,,
다라25aa40aa,,
다라25ab08ba,,
다라25ab08bb,,
다라25ab09aa,N/A,0.0000000000000000000000000000000
다라25ab09ab,,
다라25ab09ba,,
다라25ab09bb,,
다라25ab10aa,,
다라25ab10ab,,
다라25ab10ba,,
다라25ab10bb,"15.00",15.0000000000000000000000000000000
다라25ab11aa,N/A,0.0000000000000000000000000000000
다라25ab11ab,"7.00",7.0000000000000008881784197001252
다라25ab11ba,,
다라25ab11bb,,
다라25ab12aa,,
다라25ab12ab,,
다라25ab12ba,,
다라25ab12bb,,
다라25ab13aa,,
다라25ab13ab,,
다라25ab13ba,,
다라25ab13bb,,
다라25ab14aa,,
다라25ab14ab,,
다라25ab14ba,,
다라25ab14bb,,
다라25ab15aa,,
다라25ab15ab,,
다라25ab15ba,,
다라25ab15bb,,
다라25ab16aa,,
다라25ab16ab,,
다라25ab16ba,,
다라25ab16bb,N/A,0.0000000000000000000000000000000
다라25ab17aa,,
다라25ab17ab,,
다라25ab17ba,,
다라25ab20aa,,
다라25ab20ab,,
다라25ab20ba,,
다라25ab20bb,N/A,0.0000000000000000000000000000000
다라25ab21aa,N/A,0.0000000000000000000000000000000
다라25ab21ab,,
다라25ab21ba,,
다라25ab21bb,,
다라25ab22aa,,
다라25ab22ab,,
다라25ab22ba,,
다라25ab22bb,,
다라25ab23aa,,
다라25ab23ab,N/A,0.0000000000000000000000000000000
다라25ab23ba,,
다라25ab23bb,,
다라25ab24aa,,
다라25ab26ba,,
다라25ab26bb,,
다라25ab27aa,,
다라25ab27ab,,
다라25ab32ba,,
다라25ab32bb,,
다라25ab33aa,,
다라25ab33ab,,
다라25ab33ba,"7.00",7.0000000000000008881784197001252
다라25ab33bb,N/A,0.0000000000000000000000000000000
다라25ab34aa,"10.00",9.9999999999999982236431605997495
다라25ab34ab,,
다라25ab34ba,,
다라25ab34bb,,
다라25ab35aa,,
다라25ab35ab,,
