gid,lbl,val
다라87bb91bb,,
다라87bb92aa,,
다라87bb92ab,,
다라87bb92ba,,
다라88aa91ba,,
다라88aa91bb,,
다라88aa92aa,,
다라88aa92ab,N/A,0.0000000000000000000000000000000
다라88aa92ba,,
다라88ab89ba,,
다라88ab89bb,,
다라88ab90aa,,
다라88ab90ab,,
다라88ab90ba,,
다라88ab90bb,,
다라88ab91aa,,
다라88ab91ab,,
다라88ab91ba,,
다라88ab91bb,,
다라88ab92aa,,
다라88ab92ab,,
다라88ba88bb,,
다라88ba89aa,,
다라88ba89ab,,
다라88ba89ba,N/A,0.0000000000000000000000000000000
다라88ba89bb,,
다라88ba90aa,,
다라88ba90ab,N/A,0.0000000000000000000000000000000
다라88ba90ba,N/A,0.0000000000000000000000000000000
다라88ba90bb,N/A,0.0000000000000000000000000000000
다라88ba91aa,N/A,0.0000000000000000000000000000000
다라88ba91ab,,
다라88ba91ba,,
다라88ba91bb,,
다라88ba92aa,,
다라88ba92ab,,
다라88bb88ba,,
다라88bb88bb,,
다라88bb89aa,,
다라88bb89ab,,
다라88bb89ba,,
다라88bb89bb,,
다라88bb90aa,,
다라88bb90ab,,
다라88bb90ba,,
다라88bb90bb,,
다라88bb91aa,,
다라88bb91ab,,
다라88bb91ba,,
다라88bb91bb,,
다라88bb92aa,N/A,0.0000000000000000000000000000000
다라88bb92ab,,
다라89aa88ab,,
다라89aa88ba,,
다라89aa88bb,,
다라89aa89aa,,
다라89aa89ab,,
다라89aa89ba,,
다라89aa89bb,,
다라89aa90aa,,
다라89aa90ab,,
다라89aa90ba,,
다라89aa90bb,,
다라89aa91aa,,
다라89aa91ab,,
다라89aa91ba,,
다라89aa91bb,,
다라89aa92aa,,
다라89aa92ab,N/A,0.0000000000000000000000000000000
다라89aa92ba,,
다라89aa98ab,,
다라89aa98ba,,
다라89aa98bb,,
다라89aa99aa,,
다라89aa99ab,,
다라89ab88aa,,
다라89ab88ab,N/A,0.0000000000000000000000000000000
다라89ab88ba,N/A,0.0000000000000000000000000000000
다라89ab88bb,,
다라89ab89aa,,
다라89ab89ab,,
다라89ab89ba,,
다라89ab89bb,,
다라89ab90aa,,
다라89ab90ab,,
다라89ab90ba,,
다라89ab90bb,"7.00",7.0000000000000008881784197001252
다라89ab91aa,,
다라89ab91ab,,
다라89ab91ba,,
다라89ab91bb,,
다라89ab92aa,N/A,0.0000000000000000000000000000000
다라89ab92ab,"7.00",7.0000000000000008881784197001252
다라89ab92ba,,
다라89ab92bb,,
다라89ab98aa,,
다라89ab98ab,,
다라89ab98ba,,
다라89ab98bb,,
다라89ab99aa,,
다라89ab99ab,,
다라89ab99ba,,
다라89ab99bb,,
다라89ba88aa,,
다라89ba88ab,N/A,0.0000000000000000000000000000000
다라89ba88ba,,
다라89ba88bb,,
다라89ba89aa,,
다라89ba89ab,,
다라89ba89ba,,
다라89ba89bb,,
다라89ba90aa,,
다라89ba90ab,,
다라89ba90ba,,
다라89ba90bb,N/A,0.0000000000000000000000000000000
다라89ba91aa,,
다라89ba91ab,,
다라89ba91ba,,
다라89ba91bb,,
다라89ba92aa,,
다라89ba92ab,N/A,0.0000000000000000000000000000000
다라89ba92ba,,
다라89ba92bb,N/A,0.0000000000000000000000000000000
다라89ba93aa,,
다라89ba98aa,,
다라89ba98ab,,
다라89ba98ba,,
다라89ba98bb,,
다라89ba99aa,,
다라89ba99ab,,
다라89ba99ba,,
다라89ba99bb,,
다라89bb88aa,,
다라89bb88ab,N/A,0.0000000000000000000000000000000
다라89bb88ba,,
다라89bb88bb,,
다라89bb89aa,,
다라89bb89ab,,
다라89bb89ba,,
다라89bb89bb,,
다라89bb90aa,,
다라89bb90ab,,
다라89bb90ba,,
다라89bb90bb,,
다라89bb91aa,,
다라89bb91ab,,
다라89bb91ba,,
다라89bb91bb,,
다라89bb92aa,,
다라89bb92ab,,
다라89bb92ba,,
다라89bb92bb,,
다라89bb93aa,,
다라89bb93ab,N/A,0.0000000000000000000000000000000
다라89bb93ba,,
다라89bb97ba,,
다라89bb97bb,,
다라89bb98aa,,
다라89bb98ab,,
다라89bb98ba,,
다라89bb98bb,,
다라89bb99aa,,
다라89bb99ab,,
다라89bb99ba,,
다라89bb99bb,,
다라90aa88aa,,
다라90aa88ab,,
다라90aa88ba,,
다라90aa88bb,,
다라90aa89aa,,
다라90aa89ab,,
다라90aa89ba,,
다라90aa89bb,,
다라90aa90aa,,
다라90aa90ab,,
다라90aa90ba,,
다라90aa90bb,,
다라90aa91aa,,
다라90aa91ab,,
다라90aa91ba,,
다라90aa91bb,,
다라90aa92aa,,
다라90aa92ab,,
다라90aa92ba,,
다라90aa92bb,,
다라90aa93aa,,
다라90aa93ab,N/A,0.0000000000000000000000000000000
다라90aa93ba,,
다라90aa96bb,,
다라90aa97aa,,
다라90aa97ab,,
다라90aa97ba,,
다라90aa97bb,,
다라90aa98aa,,
다라90aa98ab,,
다라90aa98ba,,
다라90aa98bb,,
다라90aa99aa,,
다라90aa99ab,,
다라90aa99ba,,
다라90aa99bb,,
다라90ab88aa,,
다라90ab88ab,N/A,0.0000000000000000000000000000000
다라90ab88ba,,
다라90ab88bb,,
다라90ab89aa,,
다라90ab89ab,,
다라90ab89ba,,
다라90ab89bb,,
다라90ab90aa,,
다라90ab90ab,,
다라90ab90ba,,
다라90ab90bb,,
다라90ab91aa,,
다라90ab91ab,,
다라90ab91ba,,
다라90ab91bb,,
다라90ab92aa,,
다라90ab92ab,,
다라90ab92ba,,
다라90ab92bb,,
다라90ab93aa,,
다라90ab93ab,,
다라90ab93ba,,
다라90ab96aa,,
