gid,lbl,val
다라41ab99bb,,
다라41ba99ba,,
다라41ba99bb,,
다라41bb98bb,,
다라41bb99aa,,
다라41bb99ab,,
다라41bb99ba,,
다라41bb99bb,,
다라42aa97bb,,
다라42aa98aa,,
다라42aa98ab,,
다라42aa98ba,,
다라42aa98bb,,
다라42aa99aa,,
다라42aa99ab,,
다라42aa99ba,,
다라42aa99bb,,
다라42ab97ba,,
다라42ab97bb,,
다라42ab98aa,,
다라42ab98ab,,
다라42ab98ba,,
다라42ab98bb,,
다라42ab99aa,,
다라42ab99ab,,
다라42ab99ba,,
다라42ab99bb,,
다라42ba97aa,,
다라42ba97ab,,
다라42ba97ba,,
다라42ba97bb,,
다라42ba98aa,,
다라42ba98ab,,
다라42ba98ba,,
다라42ba98bb,,
다라42ba99aa,,
다라42ba99ab,,
다라42ba99ba,,
다라42ba99bb,,
다라42bb96bb,N/A,0.0000000000000000000000000000000
다라42bb97aa,,
다라42bb97ab,,
다라42bb97ba,,
다라42bb97bb,N/A,0.0000000000000000000000000000000
다라42bb98aa,,
다라42bb98ab,,
다라42bb98ba,,
다라42bb98bb,,
다라42bb99aa,,
다라42bb99ab,,
다라42bb99ba,,
다라42bb99bb,,
다라43aa96ab,,
다라43aa96ba,,
다라43aa96bb,"12.00",12.0000000000000000000000000000000
다라43aa97aa,,
다라43aa97ab,,
다라43aa97ba,,
다라43aa97bb,,
다라43aa98aa,,
다라43aa98ab,,
다라43aa98ba,,
다라43aa98bb,,
다라43aa99aa,,
다라43aa99ab,,
다라43aa99ba,,
다라43aa99bb,,
다라43ab94bb,,
다라43ab95aa,N/A,0.0000000000000000000000000000000
다라43ab95ba,,
다라43ab95bb,,
다라43ab96aa,N/A,0.0000000000000000000000000000000
다라43ab96ab,"11.00",11.0000000000000000000000000000000
다라43ab96ba,,
다라43ab96bb,,
다라43ab97aa,,
다라43ab97ab,N/A,0.0000000000000000000000000000000
다라43ab97ba,,
다라43ab97bb,,
다라43ab98aa,,
다라43ab98ab,N/A,0.0000000000000000000000000000000
다라43ab98ba,"7.00",7.0000000000000008881784197001252
다라43ab98bb,,
다라43ab99aa,,
다라43ab99ab,,
다라43ab99ba,"25.00",25.0000000000000000000000000000000
다라43ab99bb,,
