gid,lbl,val
가다76ba72aa,,
가다76bb67ab,,
가다77aa67aa,,
가다77aa67ab,,
가다77aa71bb,,
가다77aa72aa,,
가다77ab66bb,,
가다77ab67aa,,
가다77ab71bb,,
가다77ab72aa,,
가다77ba66ba,,
가다77ba66bb,,
가다77ba67aa,,
가다77bb65bb,,
가다77bb66ba,,
가다77bb66bb,,
가다77bb67aa,,
가다77bb67ba,,
가다77bb69ba,,
가다77bb69bb,,
가다77bb71ba,,
가다78aa65bb,,
가다78aa66ba,,
가다78aa66bb,,
가다78aa67aa,N/A,0.0000000000000000000000000000000
가다78aa67ab,"6.00",6.0000000000000000000000000000000
가다78aa67ba,,
가다78aa67bb,,
가다78aa68aa,,
가다78aa68ab,,
가다78aa68ba,,
가다78aa69ba,,
가다78aa71bb,,
가다78ab66ba,,
가다78ab66bb,,
가다78ab67aa,N/A,0.0000000000000000000000000000000
가다78ab67ab,,
가다78ab67ba,,
가다78ab67bb,,
가다78ab68aa,,
가다78ab68ab,,
가다78ab68ba,,
가다78ab68bb,,
가다78ab70ba,,
가다78ba66ba,,
가다78ba66bb,,
가다78ba67aa,,
가다78ba67ab,,
가다78ba67ba,,
가다78ba67bb,,
가다78ba68aa,,
가다78ba68ab,,
가다78ba68ba,,
가다78ba68bb,,
가다78ba69aa,,
가다78bb66ab,,
가다78bb66ba,,
가다78bb66bb,,
가다78bb67aa,,
가다78bb67ab,,
가다78bb67ba,,
가다78bb67bb,,
가다78bb68aa,,
가다78bb68ab,,
가다78bb68ba,,
가다78bb68bb,,
가다78bb69aa,,
가다79aa66ab,,
가다79aa66ba,,
가다79aa66bb,,
가다79aa67aa,,
가다79aa67ab,,
가다79aa67ba,,
가다79aa67bb,,
가다79aa68aa,,
가다79aa68ab,,
가다79aa68ba,,
가다79aa68bb,,
가다79aa69aa,,
가다79ab66aa,,
가다79ab66ab,,
가다79ab66ba,,
가다79ab66bb,,
가다79ab67aa,,
가다79ab67ab,,
가다79ab67ba,,
가다79ab67bb,,
가다79ab68aa,,
가다79ab68ab,,
가다79ab68ba,,
가다79ab68bb,,
가다79ab69aa,,
가다79ba65bb,,
가다79ba66aa,,
가다79ba66ab,,
가다79ba66ba,,
가다79ba66bb,,
가다79ba67aa,,
가다79ba67ab,,
가다79ba67ba,,
가다79ba67bb,,
가다79ba68aa,,
가다79ba68ab,,
가다79ba68ba,,
가다79ba68bb,,
가다79ba69aa,,
가다79bb64ba,,
가다79bb64bb,,
가다79bb65aa,,
가다79bb65ab,,
가다79bb65ba,,
가다79bb65bb,,
가다79bb66aa,,
가다79bb66ab,,
가다79bb66ba,,
가다79bb66bb,,
가다79bb67aa,,
가다79bb67ab,,
가다79bb67ba,,
가다79bb67bb,,
가다79bb68aa,,
가다79bb68ab,"9.00",9.0000000000000000000000000000000
가다79bb68ba,N/A,0.0000000000000000000000000000000
가다80aa64ab,,
가다80aa64ba,,
가다80aa64bb,,
가다80aa65aa,,
가다80aa65ab,,
가다80aa65ba,,
가다80aa65bb,,
가다80aa66aa,,
가다80aa66ab,,
가다80aa66ba,,
가다80aa66bb,,
가다80aa67aa,,
가다80aa67ab,,
가다80aa67ba,,
가다80aa67bb,,
가다80aa68aa,,
가다80aa68ab,,
가다80ab64aa,,
가다80ab64ab,,
가다80ab64ba,,
가다80ab64bb,,
가다80ab65aa,,
가다80ab65ab,,
가다80ab65ba,,
가다80ab65bb,,
가다80ab66aa,,
가다80ab66ab,,
가다80ab66ba,,
가다80ab66bb,,
가다80ab67aa,,
가다80ab67ab,,
가다80ab67ba,,
가다80ab67bb,,
가다80ab68aa,,
가다80ab68ab,,
가다80ab68ba,,
가다80ba64aa,,
가다80ba64ab,,
가다80ba64ba,,
가다80ba64bb,,
가다80ba65aa,,
가다80ba65ab,,
가다80ba65ba,,
가다80ba65bb,,
가다80ba66aa,,
가다80ba66ab,,
가다80ba66ba,,
가다80ba66bb,,
가다80ba67bb,,
가다80ba68aa,,
가다80ba68ab,,
가다80ba68ba,,
가다80bb64aa,,
가다80bb64ab,,
가다80bb64ba,"11.00",11.0000000000000000000000000000000
가다80bb64bb,N/A,0.0000000000000000000000000000000
가다80bb65aa,,
가다80bb65ab,,
가다80bb65ba,,
가다80bb65bb,,
가다80bb66aa,,
가다80bb66ab,,
가다80bb68ab,,
가다81aa64ab,,
가다81aa64ba,"56.00",56.0000000000000071054273576010019
가다81aa64bb,"6.00",6.0000000000000000000000000000000
가다81aa65aa,,
가다81aa65ab,,
가다81aa65ba,,
가다81aa65bb,,
가다81aa66aa,,
가다81ab64ab,,
가다81ab64ba,N/A,0.0000000000000000000000000000000
가다81ab64bb,,
가다81ab65aa,,
가다81ab65ab,,
가다81ab65ba,,
가다81ab65bb,,
가다81ba64ab,,
가다81ba64ba,,
가다81ba64bb,,
가다81ba65aa,,
가다81ba65ab,,
가다81ba65ba,,
가다81bb64ab,,
가다81bb64ba,,
가다81bb64bb,,
가다81bb65aa,,
가다81bb65ab,,
가다81bb65ba,,
가다82aa64ba,,
가다82aa64bb,,
가다82aa65aa,,
가다82aa65ab,,
가다82ab64ba,,
가다82ab64bb,,
가다82ab65aa,,
가라86bb33ba,,
가라87aa33ab,,
가라87aa33ba,,
가라87aa33bb,,
가라87aa34aa,,
가라87aa34ab,,
가라87aa34bb,,
가라87aa35aa,,
가라87ab32ba,,
가라87ab32bb,,
가라87ab33aa,,
가라87ab33ab,,
가라87ab33ba,,
가라87ab33bb,,
가라87ab34aa,,
가라87ab34ab,,
가라87ab34bb,,
가라87ab35aa,,
가라87ba32ba,,
가라87ba32bb,,
가라87ba33aa,,
가라87ba33ab,,
가라87ba33ba,,
가라87ba33bb,,
가라87ba34aa,,
가라87ba34ab,,
가라87ba34ba,,
가라87ba34bb,,
가라87ba35aa,,
가라87bb32ba,,
가라87bb32bb,,
가라87bb33aa,,
가라87bb33ab,,
가라87bb33ba,,
가라87bb33bb,,
가라87bb34aa,,
가라87bb34ab,,
가라87bb34ba,,
가라87bb34bb,,
가라87bb35aa,,
가라88aa32ba,,
가라88aa32bb,,
가라88aa33aa,,
가라88aa33ab,,
가라88aa33ba,,
가라88aa33bb,,
가라88aa34aa,,
가라88aa34ab,,
가라88aa34ba,,
가라88aa34bb,,
가라88aa38ab,,
가라88aa38ba,,
가라88ab33ba,,
가라88ab33bb,,
가라88ab34aa,,
가라88ab34ab,"21.00",21.0000000000000000000000000000000
가라88ab34ba,,
가라88ab34bb,,
가라88ab38aa,,
가라88ab38ab,,
가라88ab38ba,,
가라88ba33aa,,
가라88ba33ab,,
가라88ba33ba,,
가라88ba33bb,,
가라88ba34aa,,
가라88ba34ab,"23.00",23.0000000000000000000000000000000
가라88ba34ba,"33.00",33.0000000000000000000000000000000
가라88ba34bb,N/A,0.0000000000000000000000000000000
가라88ba35aa,,
가라88ba35ab,,
가라88ba35ba,,
가라88ba38aa,,
가라88bb33ab,,
가라88bb33ba,,
가라88bb34ab,,
가라88bb34ba,,
가라88bb34bb,,
가라88bb35aa,,
가라88bb35ab,,
가라88bb35ba,,
가라88bb35bb,,
가라88bb36aa,,
가라88bb36ab,,
가라89aa33ba,,
가라89aa34ab,,
가라89aa34ba,,
가라89aa34bb,,
가라89aa35aa,,
가라89aa35ab,,
가라89aa35ba,,
가라89aa35bb,,
가라89aa36aa,,
가라89aa36ab,,
가라89aa36ba,,
가라89aa38ba,,
가라89ab34aa,,
가라89ab34ab,,
가라89ab34ba,,
가라89ab34bb,,
가라89ab35aa,,
가라89ab35ab,,
가라89ab35ba,,
가라89ab35bb,,
가라89ab36aa,,
가라89ab36ab,,
가라89ab36ba,,
가라89ab36bb,,
가라89ab37aa,,
가라89ab37ab,,
가라89ab37ba,,
가라89ab37bb,,
가라89ab38bb,,
가라89ab39aa,,
가라89ab39ab,,
가라89ba34aa,,
