gid,lbl,val
나라95bb39aa,,
나라95bb39ab,,
나라95bb39ba,,
나라96aa38bb,,
나라96aa39aa,,
나라96aa39ab,,
나라96aa39ba,,
나라96aa39bb,,
나라96aa40aa,,
나라96aa40ab,,
나라96ab38bb,,
나라96ab39aa,,
나라96ab39ab,,
나라96ab39ba,N/A,0.0000000000000000000000000000000
나라96ab39bb,,
나라96ab40aa,,
나라96ab40ab,,
나라96ba38ba,,
나라96ba38bb,,
나라96ba39aa,,
나라96ba39ab,,
나라96ba39ba,N/A,0.0000000000000000000000000000000
나라96ba39bb,N/A,0.0000000000000000000000000000000
나라96ba40aa,,
나라96bb38ba,,
나라96bb38bb,,
나라96bb39aa,,
나라96bb39ab,,
나라96bb39ba,,
나라96bb39bb,"27.00",27.0000000000000000000000000000000
나라96bb40aa,,
나라96bb40ba,,
나라97aa38ab,,
나라97aa38ba,,
나라97aa38bb,,
나라97aa39aa,,
나라97aa39ab,,
나라97aa39ba,"49.00",49.0000000000000000000000000000000
나라97aa39bb,"62.00",62.0000000000000000000000000000000
나라97aa40aa,"13.00",13.0000000000000000000000000000000
나라97aa40ba,,
나라97aa40bb,,
나라97aa41ab,,
나라97aa41ba,,
나라97ab38ab,,
나라97ab38ba,,
나라97ab38bb,,
나라97ab39aa,,
나라97ab39ab,,
나라97ab39ba,N/A,0.0000000000000000000000000000000
나라97ab39bb,N/A,0.0000000000000000000000000000000
나라97ab40aa,N/A,0.0000000000000000000000000000000
나라97ab40ab,N/A,0.0000000000000000000000000000000
나라97ab40bb,,
나라97ab41aa,,
나라97ab41ba,,
나라97ab41bb,,
나라97ab42aa,,
나라97ba38aa,,
나라97ba38ab,,
나라97ba38ba,,
나라97ba38bb,,
나라97ba39aa,,
나라97ba39ab,"93.00",93.0000000000000000000000000000000
나라97ba39ba,N/A,0.0000000000000000000000000000000
나라97ba39bb,"7.00",7.0000000000000008881784197001252
나라97ba40aa,"12.00",12.0000000000000000000000000000000
나라97ba40ab,"6.00",6.0000000000000000000000000000000
