gid,lbl,val
나다96bb81bb,,
나다96bb82aa,,
나다97aa81bb,,
나다97aa82aa,,
나다97ba82ba,,
나다97ba83ab,,
나다99aa81bb,,
나다99aa82ab,,
나다99aa82ba,,
나다99ab82ba,,
나다99ab82bb,,
나다99ba82aa,,
나다99ba82bb,,
다다00ab81ba,,
다다00ab81bb,,
다다00ab82ba,,
다다00ab82bb,,
다다00ab83aa,,
다다00ab83ab,,
다다00ab85ab,,
다다00ba81ba,,
다다00ba81bb,,
다다00ba82aa,N/A,0.0000000000000000000000000000000
다다00ba82ab,,
다다00ba82ba,,
다다00ba82bb,,
다다00ba83aa,,
다다00ba83ab,,
다다00ba85ab,,
다다00ba85ba,,
다다00bb85ab,,
다다00bb85ba,,
다다00bb86aa,,
다다00bb86ab,,
다다00bb86bb,,
다다00bb87aa,,
다다01aa81aa,,
다다01aa86aa,,
다다01aa86ab,,
다다01aa86ba,,
다다01aa86bb,,
다다01ab81aa,,
다다01ab86aa,,
다다01ab86ab,,
다다01ab86ba,,
다다01ab86bb,,
다다01ba80ba,,
다다01ba80bb,,
다다02bb76aa,,
다다02bb77ba,,
다다02bb77bb,,
다다02bb85ba,,
다다02bb85bb,,
다다03aa77ba,,
다다03aa77bb,,
다다03aa85bb,,
다다03aa86aa,,
다다03ab85ba,,
다다03ab85bb,,
다다03ab86aa,,
다다03ab86bb,,
다다03ab87aa,,
다다03ba75ba,,
다다03ba85ba,,
다다03ba85bb,N/A,0.0000000000000000000000000000000
다다03ba86aa,,
다다03ba86bb,,
다다03ba87aa,,
다다03bb85bb,,
다다03bb86aa,,
다다03bb86bb,,
다다04ba76bb,,
다다04ba77aa,,
다다04bb76ba,,
다다04bb76bb,,
다다04bb77aa,,
다다04bb87bb,,
다다04bb88aa,,
다다05aa76ab,,
다다05aa76ba,,
다다05aa76bb,,
다다05aa77bb,,
다다05aa87ba,,
다다05aa87bb,,
다다05aa88aa,,
다다05aa88ab,,
다다05aa88ba,,
다다05ab77ba,,
다다05ab77bb,,
다다05ab88aa,,
다다05ab88ab,,
다다05ab88ba,,
다다05ab88bb,,
다다05ba74bb,,
다다05ba75aa,,
다다05ba75ab,,
다다05ba75ba,,
다다05ba75bb,,
다다05ba77ab,,
다다05ba77ba,,
다다05ba77bb,,
다다05ba88ab,,
다다05ba88ba,,
다다05ba88bb,,
다다05bb74bb,,
다다05bb75aa,,
다다05bb75ab,,
다다05bb75ba,,
다다05bb75bb,,
다다05bb76ab,,
다다05bb76ba,,
다다05bb76bb,,
다다05bb77aa,,
다다05bb77ab,,
다다05bb77ba,,
다다05bb77bb,,
다다05bb78aa,,
다다05bb88aa,,
다다05bb88ab,,
다다05bb88ba,N/A,0.0000000000000000000000000000000
다다05bb88bb,,
다다06aa75ba,,
다다06aa75bb,,
다다06aa76ab,,
다다06aa76ba,,
다다06aa76bb,,
다다06aa77aa,,
다다06aa77ab,N/A,0.0000000000000000000000000000000
다다06aa77ba,,
다다06aa77bb,,
다다06aa78aa,,
다다06aa88bb,,
다다06ab76ba,,
다다06ab76bb,,
다다06ab77aa,,
다다06ab77ab,"23.00",23.0000000000000000000000000000000
다다06ab77ba,"18.00",18.0000000000000000000000000000000
다다06ab77bb,,
다다06ab78aa,,
다다06ba76ba,,
다다06ba76bb,,
다다06ba77aa,,
다다06ba77ab,,
다다06ba77ba,N/A,0.0000000000000000000000000000000
다다06ba77bb,,
다다06ba78aa,,
다다06bb72bb,,
다다06bb73aa,,
다다06bb73ab,,
다다06bb76ab,,
다다06bb76ba,,
다다06bb76bb,N/A,0.0000000000000000000000000000000
다다06bb77aa,,
다다06bb78ba,,
다다06bb78bb,N/A,0.0000000000000000000000000000000
다다07aa72ab,,
다다07aa72ba,,
다다07aa72bb,,
다다07aa73aa,,
다다07aa73bb,,
다다07aa74aa,,
다다07aa76ab,,
다다07aa76ba,,
다다07aa76bb,N/A,0.0000000000000000000000000000000
다다07aa77aa,"6.00",6.0000000000000000000000000000000
다다07aa78ba,N/A,0.0000000000000000000000000000000
다다07aa78bb,,
다다07ab76bb,"14.00",14.0000000000000017763568394002505
다다07ab77aa,"50.00",50.0000000000000000000000000000000
다다07ab77ab,,
다다07ab77ba,,
다다07ab77bb,,
다다07ab78aa,,
다다07ab78ba,,
다다07ab78bb,,
다다07ba72ab,,
다다07ba72ba,,
다다07ba76bb,,
다다07ba77aa,,
다다07ba77ab,,
다다07ba77ba,,
다다07ba77bb,,
다다07ba78aa,,
다다07ba78ab,,
다다07bb77ab,,
다다07bb77ba,N/A,0.0000000000000000000000000000000
다다07bb77bb,,
다다07bb78aa,,
다다07bb78ab,,
다다07bb78ba,,
다다08aa72aa,,
다다08aa72bb,,
다다08aa73aa,,
다다08aa73ab,,
다다08aa74ab,,
다다08aa77ba,"8.00",8.0000000000000000000000000000000
다다08aa77bb,,
다다08aa78aa,,
다다08aa78ab,,
다다08aa78ba,,
다다08aa78bb,,
다다08aa79aa,,
다다08aa79ab,,
다다08aa91ba,,
다다08aa91bb,,
다다08aa92aa,,
다다08ab71bb,,
다다08ab72aa,,
다다08ab72ab,,
다다08ab73aa,N/A,0.0000000000000000000000000000000
다다08ab73ab,,
다다08ab73ba,,
다다08ab74aa,,
다다08ab74ab,,
다다08ab74ba,,
다다08ab77ab,,
다다08ab77ba,N/A,0.0000000000000000000000000000000
다다08ab77bb,,
다다08ab78aa,,
다다08ab78ab,,
다다08ab78ba,,
다다08ab78bb,,
다다08ab79aa,,
다다08ab79ab,,
다다08ab91ba,,
다다08ab91bb,N/A,0.0000000000000000000000000000000
다다08ab92aa,N/A,0.0000000000000000000000000000000
다다08ba71aa,,
다다08ba71ba,,
다다08ba71bb,,
다다08ba72aa,,
다다08ba72ab,,
다다08ba72ba,"6.00",6.0000000000000000000000000000000
다다08ba72bb,,
다다08ba73aa,"26.00",26.0000000000000000000000000000000
다다08ba73ab,"13.00",13.0000000000000000000000000000000
다다08ba73ba,N/A,0.0000000000000000000000000000000
다다08ba73bb,,
다다08ba74aa,,
다다08ba74ab,,
다다08ba74ba,,
다다08ba74bb,,
다다08ba77ab,,
다다08ba77ba,,
다다08ba77bb,,
다다08ba78aa,N/A,0.0000000000000000000000000000000
다다08ba78ab,"21.00",21.0000000000000000000000000000000
다다08ba78ba,"23.00",23.0000000000000000000000000000000
다다08ba78bb,,
다다08ba79aa,,
다다08ba79ab,,
다다08ba79bb,,
다다08ba89bb,,
다다08ba90aa,,
다다08bb70ab,,
다다08bb70ba,,
다다08bb70bb,,
다다08bb71aa,,
다다08bb71ab,,
다다08bb71ba,,
다다08bb71bb,,
다다08bb72aa,,
다다08bb72ab,,
다다08bb72ba,"6.00",6.0000000000000000000000000000000
다다08bb72bb,N/A,0.0000000000000000000000000000000
다다08bb73aa,N/A,0.0000000000000000000000000000000
다다08bb73ab,"13.00",13.0000000000000000000000000000000
다다08bb73ba,"20.00",19.9999999999999964472863211994991
다다08bb73bb,,
다다08bb74aa,,
다다08bb74ab,,
다다08bb74ba,,
다다08bb74bb,,
다다08bb75aa,,
다다08bb77ba,,
다다08bb77bb,,
다다08bb78aa,N/A,0.0000000000000000000000000000000
다다08bb78ab,"36.00",36.0000000000000000000000000000000
다다08bb78ba,"8.00",8.0000000000000000000000000000000
다다08bb78bb,N/A,0.0000000000000000000000000000000
다다08bb79bb,,
다다08bb80aa,,
다다08bb89bb,,
다다08bb90aa,,
다다08bb90ab,,
다다09aa70ab,,
다다09aa70ba,,
다다09aa70bb,N/A,0.0000000000000000000000000000000
다다09aa71aa,N/A,0.0000000000000000000000000000000
다다09aa71ab,,
다다09aa71ba,,
다다09aa71bb,,
다다09aa72aa,,
다다09aa72ab,,
다다09aa72ba,,
다다09aa72bb,,
다다09aa73aa,,
다다09aa73ab,,
다다09aa73ba,N/A,0.0000000000000000000000000000000
다다09aa73bb,,
다다09aa74aa,,
다다09aa74ab,,
다다09aa74ba,,
다다09aa74bb,,
다다09aa75aa,,
다다09aa78ab,,
다다09aa78ba,"13.00",13.0000000000000000000000000000000
다다09aa78bb,,
다다09aa79bb,"7.00",7.0000000000000008881784197001252
다다09aa80aa,,
다다09aa80ab,,
다다09aa80ba,,
다다09aa89ab,,
다다09aa90ab,,
다다09ab69ba,,
다다09ab69bb,,
다다09ab70ba,,
다다09ab70bb,"10.00",9.9999999999999982236431605997495
다다09ab71aa,"20.00",19.9999999999999964472863211994991
다다09ab71ab,,
다다09ab71ba,,
다다09ab71bb,,
다다09ab72aa,,
다다09ab72ab,,
다다09ab72ba,,
다다09ab72bb,,
다다09ab73aa,,
다다09ab73ab,,
다다09ab73ba,,
다다09ab73bb,,
다다09ab74aa,,
다다09ab74ab,,
다다09ab74ba,,
다다09ab74bb,,
다다09ab75aa,"6.00",6.0000000000000000000000000000000
다다09ab75ab,,
다다09ab75ba,,
다다09ab78ba,,
다다09ab78bb,,
다다09ab79aa,,
다다09ab79bb,,
다다09ab80aa,,
다다09ab80ab,,
다다09ab80ba,,
다다09ab80bb,,
다다09ba69ba,,
다다09ba69bb,,
다다09ba70ba,,
다다09ba70bb,,
다다09ba71aa,,
다다09ba71ab,,
다다09ba71ba,,
다다09ba71bb,,
다다09ba72aa,,
다다09ba72ab,,
다다09ba72ba,,
다다09ba72bb,,
다다09ba73aa,,
다다09ba73ab,,
다다09ba73ba,,
다다09ba73bb,,
다다09ba74aa,,
다다09ba74ab,,
다다09ba74ba,,
다다09ba74bb,,
다다09ba75aa,N/A,0.0000000000000000000000000000000
다다09ba75ab,,
다다09ba75ba,,
다다09ba78ba,,
다다09ba78bb,N/A,0.0000000000000000000000000000000
다다09bb70ab,,
다다09bb70ba,,
다다09bb70bb,,
다다09bb71aa,,
다다09bb71ab,,
다다09bb71ba,,
다다09bb71bb,,
다다09bb72aa,,
다다09bb72ab,,
다다09bb72ba,,
다다09bb72bb,,
다다09bb73aa,,
다다09bb73ab,,
다다09bb73ba,,
다다09bb73bb,,
다다09bb74aa,,
다다09bb74ab,,
다다09bb74ba,,
다다09bb74bb,,
다다09bb75aa,,
다다09bb75ab,,
다다09bb75ba,,
다다09bb75bb,,
다다09bb77aa,,
다다09bb78ab,,
다다09bb78ba,,
다다10aa70ab,,
다다10aa70ba,,
다다10aa70bb,,
다다10aa71aa,,
다다10aa71ab,,
다다10aa71ba,,
다다10aa71bb,,
다다10aa72aa,,
다다10aa72ab,,
다다10aa72ba,,
다다10aa72bb,,
다다10aa73aa,,
다다10aa73ab,,
다다10aa73ba,,
다다10aa73bb,,
다다10aa74aa,,
다다10aa74ab,,
다다10aa74ba,,
다다10aa74bb,,
다다10aa75aa,N/A,0.0000000000000000000000000000000
다다10aa75ab,"10.00",9.9999999999999982236431605997495
다다10aa75ba,"13.00",13.0000000000000000000000000000000
다다10aa75bb,N/A,0.0000000000000000000000000000000
다다10aa76aa,,
다다10ab70ab,,
다다10ab70ba,,
다다10ab70bb,,
다다10ab71aa,,
다다10ab71ab,,
다다10ab71ba,,
다다10ab71bb,,
다다10ab72aa,,
다다10ab72ab,,
다다10ab72ba,,
다다10ab72bb,,
다다10ab73aa,,
다다10ab73ab,,
다다10ab73ba,,
다다10ab73bb,,
다다10ab74aa,,
다다10ab74ab,,
다다10ab74ba,,
다다10ab74bb,,
다다10ab75aa,,
다다10ab75ab,,
다다10ab75ba,"18.00",18.0000000000000000000000000000000
다다10ab75bb,"7.00",7.0000000000000008881784197001252
다다10ab76aa,,
다다10ba70ab,,
다다10ba70ba,,
다다10ba70bb,,
다다10ba71aa,,
다다10ba71ab,,
다다10ba71ba,,
다다10ba71bb,,
다다10ba72aa,,
다다10ba72ab,,
다다10ba72ba,,
다다10ba72bb,,
다다10ba73aa,,
다다10ba73ab,,
다다10ba73ba,,
다다10ba73bb,,
다다10ba74aa,,
다다10ba74ab,,
다다10ba74ba,,
다다10ba74bb,,
다다10ba75aa,,
다다10ba75ab,,
다다10ba75ba,,
다다10ba75bb,"12.00",12.0000000000000000000000000000000
다다10ba76aa,N/A,0.0000000000000000000000000000000
다다10ba76ab,,
다다10bb70ab,,
다다10bb70ba,,
다다10bb70bb,,
다다10bb71aa,,
다다10bb71ab,,
다다10bb71ba,,
다다10bb71bb,,
다다10bb72aa,,
다다10bb72ab,,
다다10bb72ba,,
다다10bb72bb,,
다다10bb73aa,,
다다10bb73ab,,
다다10bb73ba,,
다다10bb73bb,,
다다10bb74aa,,
다다10bb74ab,,
다다10bb74ba,,
다다10bb74bb,,
다다10bb75aa,,
다다10bb75ab,,
다다10bb75ba,,
다다10bb75bb,N/A,0.0000000000000000000000000000000
다다10bb76aa,N/A,0.0000000000000000000000000000000
다다10bb76ab,"13.00",13.0000000000000000000000000000000
다다10bb76ba,N/A,0.0000000000000000000000000000000
다다11aa70ba,,
다다11aa70bb,,
다다11aa71aa,,
다다11aa71ab,,
다다11aa71ba,,
다다11aa71bb,,
다다11aa72aa,,
다다11aa72ab,,
다다11aa72ba,,
다다11aa72bb,,
다다11aa73aa,,
다다11aa73ab,,
다다11aa73ba,,
다다11aa73bb,,
다다11aa74aa,,
다다11aa74ab,,
다다11aa74ba,,
다다11aa74bb,,
다다11aa75aa,,
다다11aa75ab,,
다다11aa75ba,,
다다11aa75bb,,
다다11aa76aa,,
다다11aa76ab,"23.00",23.0000000000000000000000000000000
다다11aa76ba,"10.00",9.9999999999999982236431605997495
다다11ab70bb,,
다다11ab71aa,,
다다11ab71ab,,
다다11ab71ba,,
다다11ab71bb,,
다다11ab72aa,,
다다11ab72ab,,
다다11ab72ba,,
다다11ab72bb,,
다다11ab73aa,,
다다11ab73ab,,
다다11ab73ba,,
다다11ab73bb,,
다다11ab74aa,,
다다11ab74ab,,
다다11ab74ba,,
다다11ab74bb,,
다다11ab75aa,,
다다11ab75ab,,
다다11ab75ba,,
다다11ab75bb,,
다다11ab76aa,,
다다11ab76ab,N/A,0.0000000000000000000000000000000
다다11ab76ba,"7.00",7.0000000000000008881784197001252
다다11ab76bb,,
다다11ab78bb,,
다다11ab79aa,,
다다11ba70bb,,
다다11ba71aa,,
다다11ba71ab,,
다다11ba71ba,,
다다11ba71bb,,
다다11ba72aa,,
다다11ba72ab,,
다다11ba72ba,,
다다11ba72bb,N/A,0.0000000000000000000000000000000
다다11ba73aa,N/A,0.0000000000000000000000000000000
다다11ba73ab,"6.00",6.0000000000000000000000000000000
다다11ba73ba,,
다다11ba73bb,,
다다11ba74aa,,
다다11ba74ab,,
다다11ba74ba,,
다다11ba74bb,,
다다11ba75aa,,
다다11ba75ab,,
다다11ba75ba,,
다다11ba75bb,,
다다11ba76aa,,
다다11ba76ab,,
다다11ba76ba,,
다다11ba76bb,,
다다11ba78ba,,
다다11ba78bb,,
다다11ba79aa,,
다다11ba79ab,,
다다11ba87aa,,
다다11ba87ab,,
다다11ba87ba,,
다다11ba87bb,,
다다11ba88aa,,
다다11bb70bb,,
다다11bb71aa,,
다다11bb71ab,,
다다11bb71ba,,
다다11bb71bb,,
다다11bb72aa,,
다다11bb72ab,,
다다11bb72ba,,
다다11bb72bb,,
다다11bb73aa,"6.00",6.0000000000000000000000000000000
다다11bb73ab,"9.00",9.0000000000000000000000000000000
다다11bb73ba,N/A,0.0000000000000000000000000000000
다다11bb73bb,,
다다11bb74aa,,
다다11bb74ab,,
다다11bb74ba,,
다다11bb74bb,,
다다11bb75aa,,
다다11bb75ab,,
다다11bb75ba,,
다다11bb75bb,,
다다11bb76aa,,
다다11bb76ab,,
다다11bb76ba,,
다다11bb76bb,,
다다11bb78bb,,
다다11bb79aa,N/A,0.0000000000000000000000000000000
다다11bb79ab,"8.00",8.0000000000000000000000000000000
다다11bb79ba,,
다다11bb87ab,,
다다11bb87ba,,
다다11bb87bb,,
다다11bb88aa,,
다다12aa70bb,,
다다12aa71aa,,
다다12aa71ab,,
다다12aa71ba,,
다다12aa71bb,,
다다12aa72aa,,
다다12aa72ab,,
다다12aa72ba,,
다다12aa72bb,,
다다12aa73aa,,
다다12aa73ab,,
다다12aa73ba,N/A,0.0000000000000000000000000000000
다다12aa73bb,N/A,0.0000000000000000000000000000000
다다12aa74aa,,
다다12aa74ab,,
다다12aa74ba,,
다다12aa74bb,,
다다12aa75aa,,
다다12aa75ab,N/A,0.0000000000000000000000000000000
다다12aa75ba,,
다다12aa75bb,,
다다12aa76aa,,
다다12aa76ab,,
다다12aa76ba,,
다다12aa78aa,,
다다12aa78bb,,
다다12aa79aa,N/A,0.0000000000000000000000000000000
다다12aa79ab,,
다다12aa87ab,,
다다12aa87ba,,
다다12aa87bb,,
다다12ab71aa,,
다다12ab71ab,,
다다12ab71ba,,
다다12ab71bb,,
다다12ab72aa,,
다다12ab72ab,,
다다12ab72ba,,
다다12ab72bb,,
다다12ab73aa,,
다다12ab73ab,,
다다12ab73ba,"7.00",7.0000000000000008881784197001252
다다12ab73bb,,
다다12ab74aa,,
다다12ab74ab,,
다다12ab74ba,,
다다12ab74bb,,
다다12ab75aa,,
다다12ab75ab,,
다다12ab75ba,,
다다12ab75bb,,
다다12ab76aa,,
다다12ab76ab,N/A,0.0000000000000000000000000000000
다다12ab76ba,,
다다12ab77ba,,
다다12ab77bb,,
다다12ab78aa,,
다다12ab80bb,,
다다12ab81aa,,
