gid,lbl,val
다라16ba93bb,,
다라16ba94aa,,
다라16ba94ab,,
다라16ba94ba,,
다라16ba95ba,,
다라16ba95bb,,
다라16ba96aa,,
다라16bb93bb,,
다라16bb94aa,,
다라16bb94ab,,
다라16bb94ba,,
다라16bb94bb,,
다라16bb95aa,,
다라16bb95ab,,
다라16bb95ba,,
다라16bb95bb,,
다라16bb96aa,,
다라16bb96ab,,
다라17aa93ba,,
다라17aa93bb,,
다라17aa94aa,,
다라17aa94ab,,
다라17aa94ba,,
다라17aa94bb,,
다라17aa95aa,,
다라17aa95ab,,
다라17aa95ba,,
다라17aa95bb,,
다라17aa96aa,,
다라17aa96ab,,
다라17ab93ab,,
다라17ab93ba,,
다라17ab93bb,,
다라17ab94aa,,
다라17ab94ab,,
다라17ab94ba,,
다라17ab94bb,,
다라17ab95aa,,
다라17ab95ab,,
다라17ab95ba,,
다라17ab95bb,,
다라17ab96aa,,
다라17ab96ab,,
다라17ab96ba,,
다라17ba93ab,,
다라17ba93ba,,
다라17ba93bb,,
다라17ba94aa,,
다라17ba94ab,,
다라17ba94ba,,
다라17ba94bb,,
다라17ba95aa,,
다라17ba95ab,,
다라17ba95ba,,
다라17ba95bb,,
다라17ba96aa,,
다라17ba96ab,,
다라17ba96ba,,
다라17ba96bb,,
다라17bb93ba,,
다라17bb93bb,,
다라17bb94aa,,
다라17bb94ab,,
다라17bb94ba,,
다라17bb94bb,,
다라17bb95aa,,
다라17bb95ab,,
다라17bb95ba,,
다라17bb95bb,,
다라17bb96aa,,
다라17bb96ab,,
다라17bb96ba,,
다라17bb96bb,,
다라17bb97aa,,
다라17bb97ab,,
다라18aa93ba,,
다라18aa93bb,,
다라18aa94aa,,
다라18aa94ab,,
다라18aa94ba,,
다라18aa94bb,,
다라18aa95aa,,
다라18aa95ab,,
다라18aa95ba,,
다라18aa95bb,,
다라18aa96aa,,
다라18aa96ab,,
다라18aa96ba,,
다라18aa96bb,,
다라18aa97aa,,
다라18aa97ab,,
다라18ab93ba,,
다라18ab93bb,,
다라18ab94aa,,
다라18ab94ab,,
다라18ab94ba,,
다라18ab94bb,,
다라18ab95aa,,
다라18ab95ab,,
다라18ab95ba,,
다라18ab95bb,,
다라18ab96aa,,
다라18ab96ab,,
다라18ab96ba,,
다라18ab96bb,,
다라18ab97aa,,
다라18ab97ab,,
다라18ba93ab,,
다라18ba93ba,,
다라18ba93bb,,
다라18ba94aa,N/A,0.0000000000000000000000000000000
다라18ba94ab,N/A,0.0000000000000000000000000000000
다라18ba94ba,,
다라18ba94bb,,
다라18ba95aa,,
다라18ba95ab,,
다라18ba95ba,,
다라18ba95bb,,
다라18ba96aa,,
다라18ba96ab,,
다라18ba96ba,,
다라18ba96bb,,
다라18ba97aa,,
다라18ba97ab,,
