gid,lbl,val
다라35ab43ba,,
다라35ab44aa,,
다라35ab44ab,,
다라35ab44ba,,
다라35ab44bb,,
다라35ba42bb,,
다라35ba43aa,,
다라35ba43ab,,
다라35ba43ba,,
다라35ba43bb,,
다라35ba44aa,,
다라35ba44ab,,
다라35ba44ba,,
다라35ba44bb,,
다라35ba45aa,,
다라35ba45ab,,
다라35bb42ba,,
다라35bb42bb,,
다라35bb43aa,,
다라35bb43ab,,
다라35bb43ba,,
다라35bb43bb,,
다라35bb44aa,,
다라35bb44ab,,
다라35bb44ba,,
다라35bb44bb,,
다라35bb45aa,,
다라35bb45ab,,
다라35bb45ba,,
다라35bb45bb,,
다라35bb46aa,,
다라35bb46ab,,
다라36aa42ba,,
다라36aa42bb,,
다라36aa43aa,,
다라36aa43ab,,
다라36aa43ba,,
다라36aa43bb,,
다라36aa44aa,,
다라36aa44ab,,
다라36aa44ba,,
다라36aa44bb,,
다라36aa45aa,,
다라36aa45ab,N/A,0.0000000000000000000000000000000
다라36aa45ba,,
다라36aa45bb,N/A,0.0000000000000000000000000000000
다라36aa46aa,,
다라36aa46ab,,
다라36aa46ba,,
다라36aa46bb,,
다라36aa47aa,,
다라36ab42bb,,
다라36ab43aa,,
다라36ab43ab,,
다라36ab43ba,,
다라36ab43bb,,
다라36ab44aa,,
다라36ab44ab,,
다라36ab44ba,,
다라36ab44bb,N/A,0.0000000000000000000000000000000
다라36ab45aa,N/A,0.0000000000000000000000000000000
다라36ab45ab,,
다라36ab45ba,N/A,0.0000000000000000000000000000000
다라36ab45bb,N/A,0.0000000000000000000000000000000
다라36ab46aa,,
다라36ab46ab,,
다라36ab46ba,,
다라36ab46bb,,
다라36ab47aa,,
다라36ab47ab,,
다라36ab47ba,,
다라36ab47bb,,
다라36ba42bb,,
다라36ba43aa,,
다라36ba43ab,,
다라36ba43ba,,
다라36ba43bb,,
다라36ba44aa,,
다라36ba44ab,,
다라36ba44ba,,
다라36ba44bb,,
다라36ba45aa,,
다라36ba45ab,,
다라36ba45ba,,
다라36ba45bb,"7.00",7.0000000000000008881784197001252
다라36ba46aa,,
다라36ba46ab,,
다라36ba46ba,,
다라36ba46bb,,
다라36ba47aa,,
다라36ba47ab,,
다라36ba47ba,,
다라36ba47bb,,
다라36ba48aa,,
다라36ba48ab,,
다라36ba48ba,,
다라36bb42bb,,
다라36bb43aa,,
다라36bb43ab,,
다라36bb43ba,,
다라36bb43bb,,
다라36bb44aa,,
다라36bb44ab,,
다라36bb44ba,,
다라36bb44bb,,
다라36bb45aa,,
다라36bb45ab,,
다라36bb45ba,,
다라36bb45bb,N/A,0.0000000000000000000000000000000
다라36bb46aa,,
다라36bb46ab,,
다라36bb46ba,,
다라36bb46bb,,
다라36bb47aa,,
다라36bb47ab,,
다라36bb47ba,,
다라36bb47bb,,
다라36bb48aa,,
다라36bb48ab,,
다라36bb48ba,,
다라37aa41ba,,
다라37aa41bb,,
다라37aa42bb,,
다라37aa43aa,,
다라37aa43ab,,
다라37aa43ba,,
다라37aa43bb,,
다라37aa44aa,,
다라37aa44ab,,
다라37aa44ba,,
다라37aa44bb,,
다라37aa45aa,,
다라37aa45ab,,
다라37aa45ba,,
다라37aa45bb,,
다라37aa46aa,,
다라37aa46ab,,
다라37aa46ba,,
다라37aa46bb,,
다라37aa47aa,,
다라37aa47ab,,
다라37aa47ba,,
다라37aa47bb,,
다라37aa48aa,,
다라37aa48ab,,
다라37aa48ba,,
다라37ab41ab,,
다라37ab41ba,,
다라37ab41bb,,
다라37ab42aa,,
다라37ab42ba,,
다라37ab42bb,,
다라37ab43aa,,
다라37ab43ab,,
다라37ab43ba,,
다라37ab43bb,,
다라37ab44aa,,
다라37ab44ab,,
다라37ab44ba,,
다라37ab44bb,,
다라37ab45aa,,
다라37ab45ab,,
다라37ab45ba,,
다라37ab45bb,,
다라37ab46aa,,
다라37ab46ab,,
다라37ab46ba,,
다라37ab46bb,,
다라37ab47aa,,
다라37ab47ab,,
다라37ab47ba,,
다라37ab47bb,,
다라37ab48aa,,
다라37ab48ab,,
다라37ab48ba,,
다라37ba40bb,,
다라37ba41aa,,
다라37ba41ab,,
다라37ba41ba,,
다라37ba41bb,,
다라37ba42aa,,
다라37ba42ab,,
다라37ba42ba,,
다라37ba42bb,,
다라37ba43aa,,
다라37ba43ab,,
다라37ba43ba,,
다라37ba43bb,,
다라37ba44aa,,
다라37ba44ab,,
다라37ba44ba,,
다라37ba44bb,,
다라37ba45aa,,
다라37ba45ab,"25.00",25.0000000000000000000000000000000
다라37ba45ba,,
다라37ba45bb,,
다라37ba46aa,,
다라37ba46ab,,
다라37ba46ba,,
다라37ba46bb,,
다라37ba47aa,,
다라37ba47ab,,
다라37ba47ba,,
다라37ba47bb,,
다라37ba48aa,,
다라37ba48ab,,
다라37ba48ba,,
다라37bb40aa,,
다라37bb40ab,,
다라37bb40ba,,
다라37bb40bb,,
다라37bb41aa,,
다라37bb41ab,,
다라37bb41ba,,
다라37bb41bb,,
다라37bb42aa,,
다라37bb42ab,,
다라37bb42ba,,
다라37bb42bb,,
다라37bb43aa,,
다라37bb43ab,,
다라37bb43ba,,
다라37bb43bb,,
다라37bb44aa,,
다라37bb44ab,,
다라37bb44ba,"7.00",7.0000000000000008881784197001252
다라37bb44bb,N/A,0.0000000000000000000000000000000
다라37bb45aa,,
다라37bb45ab,,
다라37bb45ba,,
다라37bb45bb,,
다라37bb46aa,,
다라37bb46ab,,
다라37bb46ba,,
다라37bb46bb,,
다라37bb47aa,,
다라37bb47ab,,
다라37bb47ba,,
다라37bb47bb,,
다라37bb48aa,,
다라37bb48ab,,
다라37bb48ba,,
다라37bb48bb,,
다라37bb49aa,,
다라38aa39aa,,
다라38aa39ab,,
다라38aa39ba,N/A,0.0000000000000000000000000000000
다라38aa39bb,N/A,0.0000000000000000000000000000000
다라38aa40aa,,
다라38aa40ab,,
다라38aa40ba,,
다라38aa40bb,,
다라38aa41aa,,
다라38aa41ab,,
다라38aa41ba,,
다라38aa41bb,,
다라38aa42aa,,
다라38aa42ab,,
다라38aa42ba,,
다라38aa42bb,,
다라38aa43aa,,
다라38aa43ab,,
다라38aa43ba,,
다라38aa43bb,,
다라38aa44aa,,
다라38aa44ab,,
다라38aa44ba,,
다라38aa44bb,,
다라38aa45aa,,
다라38aa45ab,,
다라38aa45ba,,
다라38aa45bb,,
다라38aa46aa,N/A,0.0000000000000000000000000000000
다라38aa46ab,"10.00",9.9999999999999982236431605997495
다라38aa46ba,,
다라38aa46bb,,
다라38aa47aa,,
다라38aa47ab,,
다라38aa47ba,,
다라38aa47bb,,
다라38aa48aa,,
다라38aa48ab,,
다라38aa48ba,,
다라38aa48bb,,
다라38aa49aa,,
다라38aa49ab,,
다라38ab38bb,,
다라38ab39aa,,
다라38ab39ab,,
다라38ab39ba,,
다라38ab39bb,,
다라38ab40aa,,
다라38ab40ab,,
다라38ab40ba,,
다라38ab40bb,,
다라38ab41aa,,
다라38ab41ab,,
다라38ab41ba,,
다라38ab41bb,,
다라38ab42aa,,
다라38ab42ab,,
다라38ab42ba,,
다라38ab42bb,,
다라38ab43aa,,
다라38ab43ab,,
다라38ab43ba,,
다라38ab43bb,,
다라38ab44aa,,
다라38ab44ab,,
다라38ab44ba,,
다라38ab44bb,,
다라38ab45aa,,
다라38ab45ab,,
다라38ab45ba,,
다라38ab45bb,,
다라38ab46aa,N/A,0.0000000000000000000000000000000
다라38ab46ab,"9.00",9.0000000000000000000000000000000
다라38ab46ba,,
다라38ab46bb,,
다라38ab47aa,,
다라38ab47ab,,
다라38ab47ba,,
다라38ab47bb,,
다라38ab48aa,,
다라38ab48ab,,
다라38ab48ba,N/A,0.0000000000000000000000000000000
다라38ab48bb,N/A,0.0000000000000000000000000000000
다라38ab49aa,,
다라38ba38ab,,
다라38ba38ba,,
다라38ba38bb,,
다라38ba39aa,,
다라38ba39ab,,
다라38ba39ba,,
다라38ba39bb,,
다라38ba40aa,,
다라38ba40ab,,
다라38ba40ba,,
다라38ba40bb,,
다라38ba41aa,,
다라38ba41ab,,
다라38ba41ba,,
다라38ba41bb,,
다라38ba42aa,,
다라38ba42ab,,
다라38ba42ba,,
다라38ba42bb,,
다라38ba43aa,,
다라38ba43ab,,
다라38ba43ba,,
다라38ba43bb,,
다라38ba44aa,,
다라38ba44ab,,
다라38ba44ba,,
다라38ba44bb,,
다라38ba45aa,,
다라38ba45ab,,
다라38ba45ba,,
다라38ba45bb,,
다라38ba46aa,,
다라38ba46ab,,
다라38ba46ba,,
다라38ba46bb,,
다라38ba47aa,,
다라38ba47ab,,
다라38ba47ba,,
다라38ba47bb,,
다라38ba48aa,,
다라38ba48ab,,
다라38ba48ba,,
다라38ba48bb,,
다라38ba49aa,,
다라38ba49ab,,
다라38bb38ab,,
다라38bb38ba,,
다라38bb38bb,,
다라38bb39aa,,
다라38bb39ab,,
다라38bb39ba,,
다라38bb39bb,,
다라38bb40aa,,
다라38bb40ab,,
다라38bb40ba,,
다라38bb40bb,,
다라38bb41aa,,
