gid,lbl,val
나다43ab80ba,,
나다43ba80ba,,
나다46bb81bb,,
나다46bb82aa,,
나다47aa81bb,,
나다47aa82ba,,
나다47aa82bb,,
나다47ab81bb,,
나다47ab82aa,,
나다47ab82ab,,
나다47ab82ba,,
나다47ab82bb,,
나다47ba81ab,,
나다47ba81bb,,
나다47ba82aa,"11.00",11.0000000000000000000000000000000
나다47ba82ab,,
나다47ba82ba,,
나다47bb81ab,,
나다47bb81ba,,
나다47bb81bb,,
나다47bb82aa,,
나다47bb82ab,,
나다47bb82ba,,
나다48aa81aa,,
나다48aa81ab,,
나다48aa81ba,,
나다48ab79ab,,
나다48ab80ba,,
나다48ab80bb,,
나다48ab81aa,,
나다48ab81ab,N/A,0.0000000000000000000000000000000
나다48ab81ba,"13.00",13.0000000000000000000000000000000
나다48ba79aa,,
나다48ba79ab,,
나다48ba79ba,,
나다48ba80ab,,
나다48ba80ba,,
나다48ba80bb,,
나다48ba81aa,,
나다48ba81ab,,
나다48ba81ba,,
나다48bb79aa,,
나다48bb79ab,"7.00",7.0000000000000008881784197001252
나다48bb79ba,,
나다48bb80ab,,
나다48bb80ba,,
나다48bb80bb,,
나다48bb81aa,,
나다48bb81ab,,
나다48bb81bb,,
나다48bb82aa,,
나다49aa79aa,,
나다49aa79ab,,
나다49aa80ab,,
나다49aa80ba,,
나다49aa80bb,,
나다49aa81aa,,
나다49aa81bb,,
나다49ab80ba,,
나다49ab80bb,,
나다50ba80ba,,
나다50ba80bb,,
나다50bb80ba,,
나다50bb80bb,,
나다51ba91bb,,
나다52ab84ba,,
나다52ab84bb,,
나다52ab85aa,,
나다52ab85ab,,
나다52ba84ba,,
나다52ba84bb,,
나다52ba85aa,,
나다52ba85ab,,
나다52ba85ba,,
나다52ba96ab,,
나다52ba96ba,,
나다52bb84bb,,
나다52bb85aa,,
나다52bb85ab,,
나다52bb85ba,,
나다52bb85bb,,
나다52bb91ab,,
나다53aa84bb,,
나다53aa85aa,,
나다53aa85ab,,
나다53aa85ba,,
나다53aa85bb,,
나다53aa86aa,,
나다53aa91ab,,
나다53ab84bb,,
나다53ab85aa,,
나다53ab85ab,N/A,0.0000000000000000000000000000000
나다53ab85ba,,
나다53ab85bb,,
나다53ab86aa,,
나다53ba84ab,,
나다53ba84ba,,
나다53ba84bb,,
나다53ba85aa,,
나다53ba85ab,N/A,0.0000000000000000000000000000000
나다53ba85ba,,
나다53ba85bb,"7.00",7.0000000000000008881784197001252
나다53ba86aa,,
나다53bb84ab,,
나다53bb84ba,,
나다53bb84bb,,
나다53bb85aa,,
나다53bb85ab,,
나다53bb85ba,,
나다53bb85bb,"6.00",6.0000000000000000000000000000000
나다53bb86aa,,
나다54aa84bb,,
나다54aa85aa,,
나다54aa85ab,,
나다54aa85ba,"16.00",16.0000000000000000000000000000000
나다54aa85bb,N/A,0.0000000000000000000000000000000
나다54aa86aa,,
나다54aa86ab,,
나다54ab85aa,,
나다54ab85ab,N/A,0.0000000000000000000000000000000
나다54ab85ba,N/A,0.0000000000000000000000000000000
나다54ab85bb,N/A,0.0000000000000000000000000000000
나다54ab86aa,,
나다54ab86ab,,
나다54ba85ab,,
나다54ba85ba,,
나다54ba85bb,,
나다54ba86aa,,
나다54ba86ab,,
나다54bb84ba,,
나다54bb84bb,,
나다54bb85aa,N/A,0.0000000000000000000000000000000
나다54bb85ab,,
나다54bb85ba,,
나다54bb85bb,,
나다54bb86aa,,
나다54bb86ab,,
나다55aa82bb,,
나다55aa83aa,,
나다55aa83ab,,
나다55aa83ba,,
나다55aa83bb,,
나다55aa84ba,,
나다55aa84bb,,
나다55aa85aa,N/A,0.0000000000000000000000000000000
나다55aa85ab,N/A,0.0000000000000000000000000000000
나다55aa85ba,N/A,0.0000000000000000000000000000000
나다55aa85bb,,
나다55aa86aa,,
나다55ab82bb,,
나다55ab83aa,,
나다55ab83ab,,
나다55ab83ba,,
나다55ab83bb,,
나다55ab84aa,,
나다55ab84ab,,
나다55ab84ba,,
나다55ba83aa,,
나다55ba83ab,,
나다55ba83ba,,
나다55ba83bb,"14.00",14.0000000000000017763568394002505
나다55ba84aa,N/A,0.0000000000000000000000000000000
나다55ba84ab,,
나다55ba84ba,,
나다55ba96ba,,
나다55ba96bb,,
나다55bb74ab,,
나다55bb74ba,,
나다55bb74bb,,
나다55bb75aa,,
나다55bb82bb,,
나다55bb83aa,,
나다55bb83ab,,
나다55bb83ba,,
나다55bb83bb,,
나다55bb84aa,,
나다55bb84ab,,
나다55bb84ba,,
나다55bb84bb,,
나다55bb98ba,,
나다56aa74ab,,
나다56aa74ba,,
나다56aa74bb,,
나다56aa75aa,,
나다56aa75ab,,
나다56aa82bb,,
나다56aa83aa,,
나다56aa83ab,,
나다56aa83ba,,
나다56aa83bb,"7.00",7.0000000000000008881784197001252
나다56aa84aa,,
나다56aa84ab,,
나다56aa84ba,,
나다56aa84bb,,
나다56aa98aa,,
나다56aa98ab,,
나다56aa98ba,,
나다56aa98bb,,
나다56aa99aa,,
나다56aa99ab,,
나다56ab73ab,,
나다56ab73ba,,
나다56ab73bb,,
나다56ab74ab,,
나다56ab74ba,,
나다56ab74bb,,
나다56ab75aa,,
나다56ab75ab,,
나다56ab82bb,,
나다56ab83aa,,
나다56ab83ab,,
나다56ab83ba,N/A,0.0000000000000000000000000000000
나다56ab83bb,"27.00",27.0000000000000000000000000000000
나다56ab84aa,,
나다56ab84ab,,
나다56ab84ba,,
나다56ab84bb,,
나다56ab97ba,,
나다56ab97bb,,
나다56ab98aa,,
나다56ab98ab,,
