gid,lbl,val
나라97aa85ab,,
나라97aa85bb,,
나라97aa86aa,,
나라97aa86ab,,
나라97ab85ab,,
나라97ab85ba,"11.00",11.0000000000000000000000000000000
나라97ab85bb,N/A,0.0000000000000000000000000000000
나라97ab86aa,,
나라97ab86ab,,
나라97ba85aa,,
나라97ba85ab,,
나라97ba85ba,N/A,0.0000000000000000000000000000000
나라97ba85bb,,
나라97ba86aa,,
나라97ba86ab,,
나라97ba86ba,,
나라97bb85ab,,
나라97bb85ba,"18.00",18.0000000000000000000000000000000
나라97bb85bb,N/A,0.0000000000000000000000000000000
나라97bb86aa,,
나라97bb86ab,,
나라97bb86ba,,
나라97bb86bb,,
나라98aa84bb,,
나라98aa85ab,,
나라98aa85ba,,
나라98aa85bb,,
나라98aa86aa,,
나라98aa86ab,"8.00",8.0000000000000000000000000000000
나라98aa86ba,"18.00",18.0000000000000000000000000000000
나라98aa86bb,,
나라98aa87aa,,
나라98ab84aa,,
나라98ab84ab,,
나라98ab84ba,,
나라98ab84bb,,
나라98ab85aa,,
나라98ab85ab,N/A,0.0000000000000000000000000000000
나라98ab85ba,,
나라98ab85bb,,
나라98ab86aa,N/A,0.0000000000000000000000000000000
나라98ab86ab,,
나라98ab86ba,,
나라98ab86bb,,
나라98ab87aa,N/A,0.0000000000000000000000000000000
나라98ba83ba,N/A,0.0000000000000000000000000000000
나라98ba83bb,,
나라98ba84aa,,
나라98ba84ab,N/A,0.0000000000000000000000000000000
나라98ba84ba,N/A,0.0000000000000000000000000000000
나라98ba84bb,N/A,0.0000000000000000000000000000000
나라98ba85aa,"12.00",12.0000000000000000000000000000000
나라98ba85ab,,
나라98ba85ba,,
나라98ba85bb,,
나라98ba86aa,,
나라98ba86ab,,
나라98ba86ba,,
나라98ba86bb,N/A,0.0000000000000000000000000000000
나라98ba87aa,N/A,0.0000000000000000000000000000000
나라98ba87ab,,
나라98bb83aa,N/A,0.0000000000000000000000000000000
나라98bb83ab,,
나라98bb83ba,N/A,0.0000000000000000000000000000000
나라98bb83bb,,
나라98bb84aa,,
나라98bb84ab,,
나라98bb84ba,"12.00",12.0000000000000000000000000000000
나라98bb84bb,N/A,0.0000000000000000000000000000000
나라98bb85aa,,
나라98bb85ab,N/A,0.0000000000000000000000000000000
나라98bb85ba,,
나라98bb85bb,,
나라98bb86aa,,
나라98bb86ab,N/A,0.0000000000000000000000000000000
나라98bb86ba,,
나라98bb86bb,,
나라98bb87aa,,
나라98bb87ab,,
나라98bb87ba,,
나라99aa82bb,,
나라99aa83aa,"7.00",7.0000000000000008881784197001252
나라99aa83ab,N/A,0.0000000000000000000000000000000
나라99aa83ba,N/A,0.0000000000000000000000000000000
나라99aa83bb,,
나라99aa84aa,,
나라99aa84ab,,
나라99aa84ba,N/A,0.0000000000000000000000000000000
나라99aa84bb,N/A,0.0000000000000000000000000000000
나라99aa85aa,N/A,0.0000000000000000000000000000000
나라99aa85ab,,
나라99aa85ba,,
나라99aa85bb,,
나라99aa86aa,N/A,0.0000000000000000000000000000000
나라99aa86ab,N/A,0.0000000000000000000000000000000
나라99aa86ba,,
나라99aa86bb,,
나라99aa87aa,,
나라99aa87ab,,
나라99aa87ba,,
나라99ab82ba,,
나라99ab82bb,,
나라99ab83aa,,
나라99ab83ab,N/A,0.0000000000000000000000000000000
나라99ab83ba,,
나라99ab83bb,N/A,0.0000000000000000000000000000000
나라99ab84aa,,
나라99ab84ab,,
나라99ab84ba,N/A,0.0000000000000000000000000000000
나라99ab84bb,"24.00",24.0000000000000000000000000000000
나라99ab85aa,N/A,0.0000000000000000000000000000000
나라99ab85ab,N/A,0.0000000000000000000000000000000
나라99ab85ba,,
나라99ab85bb,,
나라99ab86aa,,
나라99ab86ab,,
나라99ab86ba,,
나라99ab86bb,,
나라99ab87aa,,
나라99ab87ab,,
나라99ab87ba,,
나라99ba82ba,,
나라99ba82bb,,
나라99ba83aa,,
나라99ba83ab,"14.00",14.0000000000000017763568394002505
나라99ba83ba,N/A,0.0000000000000000000000000000000
나라99ba83bb,"22.00",22.0000000000000000000000000000000
나라99ba84aa,"9.00",9.0000000000000000000000000000000
나라99ba84ab,N/A,0.0000000000000000000000000000000
나라99ba84ba,N/A,0.0000000000000000000000000000000
나라99ba84bb,"12.00",12.0000000000000000000000000000000
나라99ba85aa,N/A,0.0000000000000000000000000000000
나라99ba85ab,,
나라99ba85ba,,
나라99ba85bb,,
나라99ba86aa,,
나라99ba86ab,,
나라99ba86ba,,
나라99ba86bb,,
나라99ba87aa,,
나라99ba87ab,,
나라99ba87ba,,
나라99bb82bb,N/A,0.0000000000000000000000000000000
나라99bb83aa,,
나라99bb83ab,,
나라99bb83ba,,
나라99bb83bb,"6.00",6.0000000000000000000000000000000
나라99bb84aa,,
나라99bb84ab,,
나라99bb84ba,,
나라99bb84bb,,
나라99bb85aa,,
나라99bb85ab,,
나라99bb85ba,,
나라99bb85bb,,
나라99bb86aa,,
나라99bb86ab,N/A,0.0000000000000000000000000000000
나라99bb86ba,,
나라99bb86bb,N/A,0.0000000000000000000000000000000
나라99bb87aa,,
나라99bb87ab,,
나라99bb87ba,,
다라00aa82ba,,
다라00aa82bb,,
다라00aa83aa,"45.00",45.0000000000000000000000000000000
다라00aa83ab,N/A,0.0000000000000000000000000000000
다라00aa83ba,N/A,0.0000000000000000000000000000000
다라00aa83bb,,
다라00aa84aa,,
다라00aa84ab,,
다라00aa84ba,,
다라00aa84bb,,
다라00aa85aa,,
다라00aa85ab,,
다라00aa85ba,,
다라00aa85bb,N/A,0.0000000000000000000000000000000
다라00aa86aa,N/A,0.0000000000000000000000000000000
다라00aa86ab,N/A,0.0000000000000000000000000000000
다라00aa86ba,,
다라00aa86bb,"27.00",27.0000000000000000000000000000000
다라00aa87aa,,
다라00aa87ab,,
다라00aa87ba,,
다라00ab82aa,,
다라00ab82ab,,
다라00ab82ba,,
다라00ab82bb,,
다라00ab83aa,"6.00",6.0000000000000000000000000000000
다라00ab83ab,,
다라00ab83ba,,
다라00ab83bb,,
다라00ab84aa,,
다라00ab84ab,,
다라00ab84ba,,
다라00ab84bb,"9.00",9.0000000000000000000000000000000
다라00ab85aa,"9.00",9.0000000000000000000000000000000
다라00ab85ab,,
다라00ab85ba,N/A,0.0000000000000000000000000000000
다라00ab85bb,N/A,0.0000000000000000000000000000000
다라00ab86aa,,
다라00ab86ab,,
다라00ab86ba,,
다라00ab86bb,N/A,0.0000000000000000000000000000000
다라00ab87aa,"10.00",9.9999999999999982236431605997495
다라00ab87ab,,
다라00ab87ba,,
다라00ab87bb,,
다라00ba81ba,,
다라00ba81bb,,
다라00ba82aa,,
다라00ba82ab,,
다라00ba82ba,,
다라00ba82bb,,
다라00ba83aa,N/A,0.0000000000000000000000000000000
다라00ba83ab,,
다라00ba83ba,,
다라00ba83bb,,
다라00ba84aa,,
다라00ba84ab,N/A,0.0000000000000000000000000000000
다라00ba84ba,,
다라00ba84bb,"8.00",8.0000000000000000000000000000000
다라00ba85aa,"9.00",9.0000000000000000000000000000000
다라00ba85ab,,
다라00ba85ba,,
다라00ba85bb,,
다라00ba86aa,,
다라00ba86ab,,
다라00ba86ba,,
다라00ba86bb,,
다라00ba87aa,,
다라00ba87ab,,
다라00ba87ba,,
다라00ba87bb,,
다라00ba88aa,,
다라00ba88ab,,
다라00bb80bb,,
다라00bb81aa,,
다라00bb81ab,,
다라00bb81ba,,
다라00bb81bb,,
다라00bb82aa,,
다라00bb82ab,,
다라00bb82ba,,
다라00bb82bb,,
다라00bb83aa,,
다라00bb83ab,,
다라00bb83ba,,
다라00bb83bb,N/A,0.0000000000000000000000000000000
다라00bb84aa,N/A,0.0000000000000000000000000000000
다라00bb84ab,,
다라00bb84ba,,
다라00bb84bb,,
다라00bb85aa,,
다라00bb85ab,,
다라00bb85ba,"16.00",16.0000000000000000000000000000000
다라00bb85bb,N/A,0.0000000000000000000000000000000
다라00bb86aa,,
다라00bb86ab,,
다라00bb86ba,,
다라00bb86bb,,
다라00bb87aa,,
다라00bb87ab,,
다라00bb87ba,,
다라00bb87bb,,
다라00bb88aa,,
다라00bb88ab,,
다라01aa80ab,,
다라01aa80ba,,
다라01aa80bb,,
다라01aa81aa,,
다라01aa81ab,,
다라01aa81ba,,
다라01aa81bb,,
다라01aa82aa,,
다라01aa82ab,,
다라01aa82ba,,
다라01aa82bb,,
다라01aa83aa,N/A,0.0000000000000000000000000000000
다라01aa83ab,,
다라01aa83ba,,
다라01aa83bb,"17.00",17.0000000000000000000000000000000
다라01aa84aa,"9.00",9.0000000000000000000000000000000
다라01aa84ab,,
다라01aa84ba,,
다라01aa84bb,,
다라01aa85aa,,
다라01aa85ab,N/A,0.0000000000000000000000000000000
다라01aa85ba,N/A,0.0000000000000000000000000000000
다라01aa85bb,,
다라01aa86aa,,
다라01aa86ab,,
다라01aa86ba,,
다라01aa86bb,,
다라01aa87aa,,
다라01aa87ab,,
다라01aa87ba,,
다라01aa87bb,,
다라01aa88aa,,
다라01aa88ab,,
다라01ab79bb,,
다라01ab80aa,,
다라01ab80ab,,
다라01ab80ba,,
다라01ab80bb,,
다라01ab81aa,,
다라01ab81ab,,
다라01ab81ba,,
다라01ab81bb,,
다라01ab82aa,,
다라01ab82ab,,
다라01ab82ba,,
다라01ab82bb,,
다라01ab83aa,"12.00",12.0000000000000000000000000000000
다라01ab83ab,"18.00",18.0000000000000000000000000000000
다라01ab83ba,,
다라01ab83bb,"7.00",7.0000000000000008881784197001252
다라01ab84aa,,
다라01ab84ab,,
다라01ab84ba,"10.00",9.9999999999999982236431605997495
다라01ab84bb,N/A,0.0000000000000000000000000000000
다라01ab85aa,,
다라01ab85ab,N/A,0.0000000000000000000000000000000
다라01ab85ba,,
다라01ab85bb,,
다라01ab86aa,N/A,0.0000000000000000000000000000000
다라01ab86ab,,
다라01ab86ba,,
다라01ab86bb,,
다라01ab87aa,,
다라01ab87ab,,
다라01ab87ba,,
다라01ab87bb,,
다라01ab88aa,,
다라01ab88ab,,
다라01ba79ba,,
다라01ba79bb,,
다라01ba80aa,,
다라01ba80ab,,
다라01ba80ba,,
다라01ba80bb,,
다라01ba81aa,,
다라01ba81ab,,
다라01ba81ba,"15.00",15.0000000000000000000000000000000
다라01ba81bb,"20.00",19.9999999999999964472863211994991
다라01ba82aa,,
다라01ba82ab,,
다라01ba82ba,,
다라01ba82bb,,
다라01ba83aa,,
다라01ba83ab,"19.00",19.0000000000000000000000000000000
다라01ba83ba,N/A,0.0000000000000000000000000000000
다라01ba83bb,,
다라01ba84aa,,
다라01ba84ab,,
다라01ba84ba,N/A,0.0000000000000000000000000000000
다라01ba84bb,,
다라01ba85aa,,
