통계표명:,아동 인구 지역별 현황,,,,
단위:,"명, %",,,,
,2017,2018,2019,2020,2021
합계,"8,480,447","8,176,335","7,928,907","7,710,946","7,483,944"
서울,"1,404,967","1,329,310","1,277,981","1,227,792","1,173,816"
부산,"491,887","472,343","455,670","442,776","428,695"
대구,"399,139","381,331","366,094","352,737","338,746"
인천,"490,472","472,888","458,390","443,334","432,106"
광주,"272,417","260,042","250,112","241,381","233,384"
대전,"263,207","249,543","237,783","228,182","219,070"
울산,"208,500","199,861","193,047","186,950","179,967"
세종,"66,834","74,768","80,513","83,214","85,513"
경기,"2,313,378","2,266,245","2,223,563","2,190,957","2,151,071"
강원,"235,464","224,893","217,388","211,536","205,720"
충북,"262,948","254,140","246,187","239,792","233,067"
충남,"362,295","352,133","341,552","332,379","323,460"
전북,"302,482","287,479","274,429","263,774","253,190"
전남,"295,837","281,867","270,670","261,470","252,214"
경북,"408,233","390,774","377,416","365,104","353,786"
경남,"579,947","558,471","540,294","523,311","505,713"
제주,"122,440","120,247","117,818","116,257","114,426"
출처:,주민등록인구통계,,,,
