,NO,약국명,대표전화,주소,월요일 운영,화요일 운영,수요일 운영,목요일 운영,금요일 운영,토요일 운영,일요일 운영,공휴일 운영,lat,lng
0,1,건강한우리약국,02-2693-3137,"서울특별시 양천구 지양로 22, 승원빌딩 1층 102호 (신월동)",08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,-,-,37.5186321794455,126.837459487612
1,2,공덕제일약국,02-707-1012,"서울특별시 마포구 만리재로 15, 제일빌딩 1층 19호 (공덕동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~16:00,-,-,37.5445849310546,126.95276773044
2,3,스마트온누리약국,02-499-2700,"서울특별시 광진구 동일로 92-1, 1층 (자양동)",09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~14:00,-,-,37.5408266646495,127.063590210516
3,4,신명약국,02-701-7188,"서울특별시 마포구 신촌로 170, 이대역푸르지오시티 상가106호 (대흥동)",09:30~20:00,09:30~20:00,09:30~20:00,09:30~20:00,09:30~20:00,09:30~15:30,-,-,37.556349843334,126.944370890749
4,5,새싹약국,02-885-4715,"서울특별시 관악구 신림로 169, 영창빌딩 1층 (신림동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,09:00~15:00,37.474237411225,126.933711993359
5,6,신영약국,02-794-3930,"서울특별시 마포구 백범로 178, A203-1호 (공덕동, 마포신영지웰)",10:00~19:30,10:00~19:00,10:00~19:30,10:00~19:00,10:00~19:30,10:00~15:00,-,-,37.5438817651664,126.950076196083
6,7,봄봄약국,02-477-4670,"서울특별시 강동구 명일로 248, 1층 (길동)",09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:30~14:30,09:00~13:30,-,37.5408000456068,127.147287990397
7,8,우주약국,02-2646-1001,서울특별시 양천구 목동남로2길 60-30,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~18:00,-,-,37.5078419693618,126.863767413681
8,9,은혜약국,02-2698-1635,서울특별시 양천구 오목로 193,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~18:00,-,-,37.5255837202815,126.858867366666
9,10,공감약국,02-6325-2580,"서울특별시 송파구 잠실로 209, KT송파타워 지하1층 1호 (신천동)",09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~15:30,09:00~13:30,-,37.5138710747422,127.106364392884
10,11,밝은미소약국,02-594-5626,"서울특별시 동작구 사당로 215, 108호 (사당동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~19:00,-,-,37.4844593113614,126.972344800972
11,12,신사굿약국,02-541-9165,"서울특별시 강남구 도산대로 120, 청호빌딩 1층 (논현동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,10:00~20:00,-,-,37.5167333867393,127.021877320289
12,13,월드타워약국,02-3213-2828,"서울특별시 송파구 올림픽로 300, 지하1층 (신천동, 롯데마트월드타워점)",10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,-,-,37.5137519612953,127.104446890835
13,14,참소망약국,02-408-3393,"서울특별시 송파구 양재대로 1222, 올림픽프라자 3층 15호 (방이동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:30,-,-,37.5157276361757,127.131063164753
14,15,사당소화약국,02-521-3474,"서울특별시 동작구 동작대로 7, 1층 (사당동)",08:40~21:30,08:40~21:30,08:40~21:30,08:40~21:30,08:40~21:30,09:00~20:00,12:00~19:00,09:00~21:00,37.4771694430928,126.981116953781
15,16,미라클약국,02-2649-6282,"서울특별시 강남구 테헤란로52길 16, 상가2동 지층 16호 (역삼동, 테헤란아이파크)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~17:00,-,-,37.5024975518382,127.046381406708
16,17,라온온누리약국,02-889-8875,"서울특별시 관악구 신림로 344, SK허브그린 107,108호 (신림동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-,37.4851501707989,126.929977240424
17,18,새봄약국,02-907-6200,"서울특별시 강북구 노해로 87, 1층 (수유동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~20:00,-,-,37.6435875655366,127.022296540436
18,19,연세약국,02-2695-0933,서울특별시 양천구 화곡로4길 21 (신월동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-,37.5376386674441,126.82826730718
19,20,영진약국,02-323-1114,"서울특별시 마포구 망원로8길 67, 1층 (망원동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,08:30~13:30,-,-,37.5545611544018,126.906059539638
20,21,예성약국,02-2699-9513,"서울특별시 강서구 강서로 143, 1층 (화곡동, 삼화빌딩)",08:00~16:30,08:00~16:30,08:00~16:30,08:00~16:30,08:00~16:30,08:00~12:30,-,-,37.5396038617573,126.841562027763
21,22,정문약국,02-2295-4825,서울특별시 성동구 왕십리로 236-1 (행당동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,37.5579403096281,127.041298107188
22,23,청룡중앙약국,02-303-6550,"서울특별시 은평구 가좌로 233, 연희타워 103호 (응암동)",09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~17:00,-,-,37.5904238447716,126.916412390363
23,24,코끼리약국,02-809-8890,"서울특별시 금천구 금하로 720, 에벤에셀프라자 (시흥동)",08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~13:30,-,-,37.4504425566682,126.909481684032
24,25,테라약국,02-2054-3869,"서울특별시 송파구 송파대로 167, 문정역테라타워 A동 216호 (문정동)",09:00~20:00,09:00~20:30,09:00~20:00,09:00~20:30,09:00~20:00,09:00~14:00,-,-,37.4846614982049,127.120933640924
25,26,동남약국,02-2207-3356,"서울특별시 중랑구 신내로 45, 해성빌딩 1층 (신내동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~14:00,09:00~22:00,09:00~22:00,37.6031407236909,127.095551052144
26,27,목동한미약국,02-2649-8367,"서울특별시 양천구 목동남로4길 2, 118~123호(신정동)",08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,09:00~21:00,09:00~21:00,,
27,28,연세우리약국,02-2293-1339,"서울특별시 성동구 왕십리로 296-1, 조흥은행 (행당동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,37.5606402145348,127.036147702036
28,29,신길약국,02-833-6054,"서울특별시 영등포구 도신로 235, 1층 (신길동)",08:00~19:00,08:00~21:00,08:00~19:00,08:00~21:00,08:00~19:00,09:00~14:00,08:00~17:00,-,37.512493750083,126.916945928789
29,30,새무지개약국,02-2699-8787,"서울특별시 양천구 신월로 282, 2층 (신정동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~13:00,09:00~13:00,09:00~13:00,37.5210682509655,126.852158162788
30,31,가온약국,02-545-0546,"서울특별시 강남구 학동로 413, 청담빌딩 2층 (청담동)",08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~14:00,-,-,37.5181537765035,127.045191941905
31,32,경희일번약국,02-441-2011,"서울특별시 강동구 동남로 889, 101호 (명일동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,-,-,-,37.5530545729715,127.155948757869
32,33,구로시장약국,02-854-1385,"서울특별시 구로구 구로동로26길 37, 1층 (구로동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~18:00,-,-,37.4902679096097,126.886213943676
33,34,구의온누리약국,02-456-8694,서울특별시 광진구 자양로 285 (구의동),09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~18:00,-,-,37.551315823688,127.09168232522
34,35,국제약국,02-2294-3833,서울특별시 성동구 독서당로 288-1 (금호동4가),09:00~18:15,09:00~18:15,09:00~18:15,09:00~18:15,09:00~18:15,09:00~15:00,-,-,37.5477683121062,127.021219525086
35,36,나무약국,02-2665-7565,"서울특별시 강서구 강서로45길 174, 수명산씨티 3층 (내발산동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~14:00,-,-,37.552871895432,126.830611291758
36,37,뉴메디칼약국,02-469-3363,서울특별시 광진구 뚝섬로 496 (자양동),08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~20:00,-,-,37.5359978461343,127.06523936924
37,38,동명약국,02-472-4321,"서울특별시 강동구 양재대로 1384, 미림빌딩 1층 6호 (둔촌동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~15:00,-,-,37.5296679019917,127.137359832048
38,39,메디칼우리약국,02-815-3011,"서울특별시 동작구 보라매로 106, 101-1호 (신대방동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-,37.4987076494436,126.928363487917
39,40,명성그린약국,02-428-6267,"서울특별시 강동구 구천면로 424, 115호 (명일동, 명일메카타운)",08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~17:00,-,-,37.5503498644145,127.145579195087
40,41,새동산약국,02-446-1515,"서울특별시 광진구 능동로 378, 1층 (중곡동)",08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,-,-,37.5629260821753,127.082894408283
41,42,새서울약국,02-452-0251,서울특별시 광진구 자양로 288 (구의동),09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~17:00,-,-,37.551384485075,127.092022929363
42,43,서생당약국,02-2212-2785,서울특별시 동대문구 서울시립대로 42 (전농동),09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~20:00,09:00~18:30,09:00~18:00,37.575019447429,127.046975383156
43,44,서울그랜드약국,02-419-0204,"서울특별시 송파구 백제고분로 212, 아미빌딩 (삼전동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-,37.5034907342565,127.09005914475
44,45,세종약국,02-466-5110,"서울특별시 광진구 능동로 209, 세종대학교 대양 AI센터 1층 (군자동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:30,-,-,37.5516081379459,127.073183188315
45,46,손온누리약국,02-904-3644,서울특별시 도봉구 도봉로 626 (창동),08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~14:00,-,-,37.6601944535247,127.041927238905
46,47,신백제약국,02-745-8492,"서울특별시 종로구 종로 243, 1층 (종로5가)",08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:00,10:30~18:00,10:30~18:00,37.5713165029695,127.004896238921
47,48,엄마손약국,02-592-3913,"서울특별시 동작구 동작대로29길 69, 201-A호 (사당동)",09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~16:30,-,-,,
48,49,온누리평안약국,02-2634-6769,"서울특별시 영등포구 양평로24길 9 (양평동5가, 한신아파트)",08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,-,-,37.5402803267019,126.891745831623
49,50,월드중앙약국,02-423-3016,"서울특별시 송파구 올림픽로35길 112, 장미아파트 비상가 101,102호 (신천동)",10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,10:00~19:00,10:00~19:00,10:00~19:00,37.5178827571707,127.101802779596
50,51,조은약국,02-583-2882,서울특별시 동작구 동작대로 43 (사당동),09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~15:00,-,-,37.4804179959561,126.981456221124
51,52,조은온누리약국,02-2226-7671,"서울특별시 강남구 개포로 615, 석탑프라자 3층 304호 (개포동)",08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~17:00,-,-,37.4926581736143,127.075584863879
52,53,태극약국,02-426-3696,"서울특별시 강동구 아리수로76길 38, 1층 (고덕동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-,37.5609807956989,127.162317142493
53,54,팜필리아약국,02-948-0204,"서울특별시 중랑구 동일로 932, 202동 216,217호 (묵동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~15:00,-,-,37.6138393830212,127.077557139207
54,55,굿모닝약국,02-852-4910,"서울특별시 금천구 독산로 366, (독산동)",09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~14:00,10:30~13:30,-,37.4795947808736,126.904122478033
55,56,휴베이스미소약국,02-2677-0360,"서울특별시 영등포구 선유서로 117, 1층 102호 (양평동3가)",09:00~20:50,09:00~20:50,09:00~20:50,09:00~20:50,09:00~20:50,09:00~18:30,-,-,37.5261628364547,126.886112724011
56,57,큰나무약국,02-512-2165,"서울특별시 강남구 압구정로 316, 영진빌딩 1층 (신사동)",09:30~20:00,09:30~20:00,09:30~20:00,09:30~20:00,09:30~20:00,09:00~19:00,-,-,37.5287128026019,127.036026736441
57,58,아침햇살약국,02-858-4484,"서울특별시 구로구 시흥대로 563, 동연빌딩 1층 (구로동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~21:00,-,10:00~23:00,37.4833916634154,126.901424316011
58,59,비타약국,28785390,"서울특별시 관악구 호암로 599, 1층 (신림동)",08:00~20:30,08:00~20:30,08:00~20:30,08:00~20:30,08:00~20:30,08:00~19:00,-,-,37.4709218931262,126.933425411075
59,60,편한약국,02-793-8887,"서울특별시 용산구 서빙고로 17, 용산센트럴파크 해링턴스퀘어 1층 47호 (한강로3가)",08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,-,-,37.5269056148241,126.966566172294
60,61,참약사엘림약국,02-764-5291,서울특별시 성북구 동소문로 18-1 (동소문동2가),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-,37.5891500451849,127.008289042894
61,62,백세약국,02-916-5342,서울특별시 성북구 아리랑로 117-5 (정릉동),09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~18:00,-,-,37.6024341840877,127.013133983807
62,63,건강약국,02-935-7971,서울특별시 성북구 동소문로 71 (동소문동6가),09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~18:00,-,-,37.5920844922334,127.013183004498
63,64,맑은샘온누리약국,02-928-8911,서울특별시 성북구 보문로 157 (삼선동5가),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-,37.5884289611711,127.016913179933
64,65,서울센타약국,02-837-2633,"서울특별시 구로구 가마산로21길 1, 1층 (구로동)",08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~13:00,-,-,37.4939609414966,126.885731594012
65,66,이수약국,02-2696-5878,"서울특별시 강서구 곰달래로25길 33, 101호 (화곡동)",09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~17:00,09:00~21:00,-,37.5321728455282,126.84883216174
66,67,세이브 약국,02-855-6965,"서울특별시 관악구 난곡로 220, 1층 (신림동, 세이브마트)",09:30~20:30,09:30~20:30,09:30~20:30,09:30~20:30,09:30~20:30,09:30~19:00,09:30~19:00,09:30~19:00,37.4742854376103,126.918058479434
67,68,보건약국,02-391-1336,"서울특별시 서대문구 통일로 435, 1층 (홍제동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~17:00,-,-,37.5877538083191,126.94506490372
68,69,팜코리아약국,02-955-7017,"서울특별시 도봉구 도봉로 733, 1층 (도봉동)",08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,-,10:00~19:00,37.669923827815,127.043304550233
69,70,프라자사랑약국,222054000,"서울특별시 광진구 능동로 315 (중곡동, 대남빌딩)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-,-,37.5578571749942,127.079606886803
70,71,은은약국,070-8184-9606,"서울특별시 도봉구 시루봉로 105, 1층 111호 (방학동, 신동아상가)",09:00~19:00,09:00~19:00,09:00~19:00,-,09:00~19:00,-,-,09:00~13:00,37.6601767333194,127.027032098141
71,72,힐링약국,02-723-6593,"서울특별시 종로구 종로5길 13, 삼공빌딩 지하1층 (청진동)",09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~15:00,-,-,37.5710334273168,126.980465491172
72,73,참약국,02-457-2922,"서울특별시 광진구 자양로15길 9, 3층 (자양동)",10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,-,-,-,37.5357849578589,127.083010085413
73,74,성모자이약국,02-357-1700,"서울특별시 은평구 통일로 1034, 1층 129호 (진관동, 은평 스카이뷰 자이)",08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~13:00,-,-,37.6352810682306,126.917656215121
74,75,365 새누리약국,02-2648-1858,"서울특별시 양천구 등촌로 32, 목동태영프라자 102호 (목동)",08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~16:00,09:00~13:00,-,37.5328851583631,126.864166285292
75,76,김비타약국,02-2662-4860,"서울특별시 강서구 공항대로 206, 나인스퀘어 111호 (마곡동)",10:00~21:00,10:00~19:30,10:00~19:30,10:00~19:30,10:00~21:00,09:30~15:00,-,-,37.5588934901654,126.830272839065
76,77,원당프라자약국,02-872-0050,"서울특별시 관악구 남부순환로248길 15, 1층 (봉천동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,37.4753518868978,126.965721925992
77,78,서울사랑약국,02-598-5479,"서울특별시 관악구 남부순환로 2054, 1층 (남현동)",08:30~19:00,08:30~19:00,08:30~19:00,08:30~21:00,08:30~19:00,08:30~14:00,-,-,37.4763369768354,126.976925235707
78,79,리본약국,02-543-9005,"서울특별시 강남구 도산대로16길 6, 1층 일부호 (논현동)",10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,10:00~17:00,-,-,37.5175068507938,127.024418132197
79,80,차돌약국,02-422-1239,"서울특별시 송파구 석촌호수로 61, 트리지움 147호 (잠실동)",10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,10:00~15:00,-,-,37.5107020036631,127.086211355223
80,81,참약국,02-922-9458,"서울특별시 성북구 종암로21길 3 (종암동, 용진빌딩)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~17:00,-,-,37.5988253853632,127.03413397999
81,82,건강한세상대한약국,02-786-1091,"서울특별시 영등포구 국제금융로 108 (여의도동,은하빌딩 1층)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,08:30~13:30,-,-,37.5187392908013,126.933546294144
82,83,우리동네온누리약국,02-3662-0069,서울특별시 강서구 양천로 713 (염창동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,37.5498405882542,126.875250908344
83,84,참약사 장수약국,02-598-1955,서울특별시 관악구 남부순환로 2062 (남현동),09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,08:30~22:00,-,37.476394444039,126.977775497469
84,85,참미소약국,02-931-1011,"서울특별시 노원구 한글비석로 269, 105호 (중계동, 마들프라자)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~16:30,-,-,37.6517182215771,127.076788209393
