,약국명_y,주소_y,전화번호,좌표정보(X),좌표정보(Y),월요일 운영,화요일 운영,수요일 운영,목요일 운영,금요일 운영,토요일 운영,일요일 운영,공휴일 운영
0,21세기약국,전라남도 순천시 팔마로 22,061-743-0307,127.4906501,34.9463371,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~16:00,-,-
1,365 우리약국,전라남도 나주시 전력로 2 이화플라자 1층,061-333-8228,126.785331,35.0215717,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,09:00~22:00,09:00~22:00
2,365보배약국,"전라남도 순천시 봉화2길 99, 2층 (조례동)",061-722-1172,127.5178406,34.9617115,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,13:00~22:00,13:00~22:00
3,365웃장대형약국,"전라남도 순천시 중앙로 136, (매곡동)",061-753-5522,127.4844433,34.9577919,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,09:00~22:00,09:00~22:00
4,365일 정성약국,전라남도 여수시 장성3길 52 (안산동),061-685-1055,127.6540322,34.7543181,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
5,365일연향대형약국,"전라남도 순천시 연향3로 11, 1층 1A 4호~6호 (연향동)",061-746-3651,127.5168796,34.950915,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,09:00~18:00,09:00~18:00,09:00~18:00
6,365종로약국,"전라남도 나주시 대호길 85-1, 1층 (대호동)",061-000-0000,,,12:00~22:00,12:00~22:00,12:00~22:00,12:00~22:00,12:00~22:00,12:00~22:00,14:00~20:00,14:00~20:00
7,w-store광양서울약국,전라남도 광양시 진등6길 51 (마동),061-795-4892,127.6923548,34.9563144,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-
8,가곡우리약국,전라남도 순천시 고지1길 4(가곡동),061-754-0070,,,08:40~18:30,08:40~18:30,08:40~18:30,08:40~18:30,08:40~18:30,08:40~13:00,-,-
9,가까운평화약국,"전라남도 순천시 해룡면 순광로 234-9, 가동 1층 101호",061-721-7500,127.5452672,34.9635348,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,09:00~17:00,10:00~17:00,10:00~17:00
10,가나약국,"전라남도 목포시 영산로 343, 1층 (용당동)",061-279-6500,126.4028925,34.8062438,07:30~18:00,07:30~18:00,07:30~18:00,07:30~18:00,07:30~18:00,07:30~12:30,-,-
11,가든약국,전라남도 순천시 장명로 47 (장천동),061-743-7665,127.4892267,34.9511501,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~12:30,-,-
12,가야산약국,"전라남도 광양시 진등길 19, (중동)",061-795-2341,127.6902347,34.9502636,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,09:00~22:00,-,-
13,가은약국,전라남도 보성군 조성면 조성로 104,061-858-4339,127.2460908,34.8073268,08:30~12:30,08:30~12:30,08:30~12:30,08:30~12:30,08:30~12:30,08:00~12:30,-,-
14,가정약국,전라남도 장성군 장성읍 영천로 208-1,061-393-7576,126.7856067,35.3028917,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~13:30,-,-
15,감초약국,전라남도 장흥군 장흥읍 중앙로1길 5-2,061-863-9217,126.9095819,34.6772654,07:00~19:00,07:00~19:00,07:00~19:00,07:00~19:00,07:00~19:00,07:30~17:00,-,-
16,강변약국,"전라남도 나주시 남평읍 강변2길 5-11, 102호",061-930-9992,,,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,-,-
17,강약국,"전라남도 고흥군 도화면 중심길 27,",061-833-8942,127.3190204,34.5100087,08:00~12:00,08:00~12:00,08:00~12:00,08:00~12:00,08:00~12:00,08:00~12:00,-,-
18,강진백제약국,"전라남도 강진군 강진읍 영랑로 38,",061-434-2229,126.7682699,34.6389338,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,-,-
19,강진약국,전라남도 강진군 강진읍 보은로1길 28,061-433-4141,126.7693688,34.638629,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~13:00,-,-
20,강진종로약국,"전라남도 강진군 강진읍 영랑로 25,",061-432-9202,126.7686432,34.6379353,08:00~18:30,08:00~18:30,08:00~18:30,08:00~18:30,08:00~18:30,08:00~13:30,-,-
21,건강드림약국,전라남도 순천시 순광로 14 (조례동),061-727-7556,127.5229127,34.9546027,08:00~18:30,08:00~18:30,08:00~18:30,08:00~18:30,08:00~18:30,08:00~13:00,-,-
22,건강마트약국,전라남도 완도군 완도읍 청해진동로 66,061-552-2460,126.7539499,34.3154393,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~15:00,-,-
23,건강마트약국,전라남도 해남군 해남읍 해남로 7,061-533-8830,126.6079262,34.5711159,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~13:00,-,-
24,건강샘약국,전라남도 목포시 신흥로 44 (상동),061-281-0344,126.4256574,34.8030362,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~17:00,-,-
25,건강약국,"전라남도 광양시 금영로 153, 1층 (광영동)",061-792-8575,127.7177299,34.9638685,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:30,17:00~19:00,-
26,건강약국,전라남도 무안군 해제면 현해로 1687,061-453-2467,126.2948249,35.1106444,08:00~17:30,08:00~17:30,08:00~17:30,08:00~17:30,08:00~17:30,08:00~12:30,-,08:00~12:30
27,건강약국,전라남도 나주시 남평읍 남평2로 14,061-333-5210,126.8431506,35.0434034,08:30~17:30,08:30~17:00,08:30~16:30,08:30~17:00,08:30~17:00,08:30~12:30,-,-
28,건강약국,"전라남도 강진군 강진읍 영랑로3길 29-1,",061-434-3309,126.771169,34.6396354,07:00~21:00,07:00~21:00,07:00~21:00,07:00~21:00,07:00~21:00,07:00~21:00,07:00~21:00,08:30~21:00
29,건강약국,전라남도 보성군 벌교읍 채동선로 145,061-857-4400,127.3422598,34.8368717,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,-,-
30,건강약국,전라남도 장성군 삼계면 사창로 40,061-394-1032,126.6672674,35.2581512,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~12:30,-,-
31,건강약국,전라남도 완도군 신지면 신지로 558-1 (신지면),061-552-1471,126.8274918,34.333625,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-
32,건강약국,전라남도 목포시 중화길 16,061-272-7453,126.4160133,34.8092781,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~13:00,-,-
33,건강약국,"전라남도 여수시 무선중앙로 56-1, (선원동)",061-641-2121,127.6501414,34.7726618,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~18:00,-,-
34,건강약국,전라남도 고흥군 봉래면 축정1길 10-8,061-832-1991,127.4593896,34.4643884,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,-,-,-
35,건강약국,전라남도 함평군 학교면 사거리길 11,061-322-3113,126.533414,35.0219532,09:00~15:00,09:00~15:00,09:00~15:00,09:00~15:00,09:00~15:00,08:30~13:00,-,-
36,건강약국,전라남도 영광군 법성면 진굴비길 59,061-356-2305,126.4463867,35.3611154,08:30~13:00,08:30~13:00,08:30~13:00,08:30~13:00,08:30~13:00,08:30~13:00,-,-
37,건강약국,전라남도 영암군 영암읍 동문로 5,061-471-9975,126.702425,34.7962335,09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,08:30~13:00,-,-
38,건강자연애약국,전라남도 무안군 삼향읍 남악5로46번길 29-1 (),061-285-7559,126.474364,34.8087747,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:00~19:00,,09:00~12:00
39,건강한약국,전라남도 나주시 다시면 다시로 182,061-335-7559,126.6372781,35.0171916,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:30,-,-
40,건승약국,"전라남도 목포시 해안로163번길 36-1, (금화동)",061-243-2811,126.3789903,34.7815619,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~17:00,-,-
41,고금약국,전라남도 완도군 고금면 고금동로 13,061-553-5959,126.8013663,34.3964117,07:40~18:00,07:40~18:00,07:40~18:00,07:40~18:00,07:40~18:00,07:40~13:00,-,-
42,고서약국,전라남도 담양군 고서면 가사문학로 329,061-381-3338,126.9737538,35.2233747,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~15:00,-,-
43,고흥사랑약국,"전라남도 고흥군 고흥읍 터미널길 14, 1층 101호",061-835-3888,,,08:00~18:30,08:00~18:30,08:00~18:30,08:00~18:30,08:00~18:30,08:00~13:00,-,-
44,고흥약국,전라남도 보성군 득량면 예당길 171,061-853-5510,127.20008,34.7797015,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~13:00,-,-
45,고흥약국,"전라남도 고흥군 동강면 고흥로 4265, 기타일반업무시설",061-835-5506,127.3336455,34.7800919,08:00~12:30,08:00~12:30,08:00~12:30,08:00~12:30,08:00~12:30,08:00~12:30,-,-
46,곡성건강약국,전라남도 곡성군 곡성읍 곡성로 761,061-363-5115,127.2879457,35.276282,08:30~12:00,08:30~12:00,08:30~12:00,08:30~12:00,08:30~12:00,08:30~13:00,-,-
47,곡성종로약국,전라남도 곡성군 곡성읍 중앙로 105,061-363-7118,127.2940237,35.2804561,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,-,-,-
48,공약국,"전라남도 광양시 중마중앙로 81, 1층 (중동)",061-794-0911,,,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,10:00~24:00,
49,공한약국,전라남도 여수시 충무5길 14 (충무동),061-662-0255,,,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,10:00~24:00,10:00~24:00
50,광신약국,전라남도 해남군 송지면 산정1길 73 73,061-533-2021,126.5204842,34.3701828,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,-,09:00~19:00
51,광양나라약국,"전라남도 광양시 광양읍 숲샘길 88, 1층",061-763-8847,,,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~13:00,09:00~18:00,-
52,광영승주약국,"전라남도 광양시 광영로 75, 1층 (광영동)",061-793-4445,127.7206287,34.9618622,09:00~12:30,09:00~12:30,09:00~12:30,09:00~12:30,09:00~12:30,-,09:00~18:00,-
53,광장자연약국,전라남도 목포시 삼학로 16-6 1층 (동명동),061-247-2220,126.3871727,34.79002064,08:00~13:00,08:00~13:00,08:00~13:00,08:00~13:00,08:00~13:00,08:00~13:00,,
54,광제당약국,전라남도 해남군 현산면 현산북평로 106,061-533-8875,126.5533752,34.4581653,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
55,광주약국,전라남도 구례군 구례읍 중앙로 36,061-782-6965,127.4678056,35.2088236,07:30~18:30,07:30~18:30,07:30~18:30,07:30~18:30,07:30~18:30,07:30~15:00,-,-
56,광주약국,"전라남도 해남군 황산면 시등로 118, 광주약국 1층 (황산면)",061-532-2515,126.4314146,34.5757574,07:00~18:00,07:00~18:00,07:00~18:00,07:00~18:00,07:00~18:00,07:00~13:00,-,-
57,광주약국,전라남도 고흥군 여산당촌길 13-1 (고흥읍),061-834-3543,127.281581,34.6074399,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~15:00,-,-
58,광주약국,전라남도 함평군 월야면 밀재로 1511,061-323-3377,126.6271346,35.1799378,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~14:00,-,-
