,구,동,세대,인구,면적,구성비
0,종로구,사직동,4674,9572,1.23,0.2
1,종로구,삼청동,1193,2692,1.49,0.3
2,종로구,부암동,4235,9683,2.27,0.4
3,종로구,평창동,7438,18141,8.87,1.5
4,종로구,무악동,3060,8184,0.36,0.1
5,종로구,교남동,4432,10108,0.35,0.1
6,종로구,가회동,1988,4137,0.54,0.1
7,종로구,종로1.2.3.4가동,5294,8818,2.35,0.4
8,종로구,종로5.6가동,3411,5469,0.6,0.1
9,종로구,이화동,4369,7734,0.78,0.1
10,종로구,창신1동,2855,5583,0.31,0.1
11,종로구,창신2동,4044,8921,0.26,0
12,종로구,창신3동,2800,6647,0.23,0
13,종로구,숭인1동,2993,6108,0.23,0
14,종로구,숭인2동,6423,10343,0.35,0.1
15,종로구,청운효자동,5210,11997,2.57,0.4
16,종로구,혜화동,9309,19118,1.12,0.2
17,중구,소공동,1303,3433,0.95,0.2
18,중구,회현동,2697,5396,0.84,0.1
19,중구,명동,1560,3798,0.99,0.2
20,중구,필동,2498,4709,1.14,0.2
21,중구,장충동,2851,5340,1.36,0.2
22,중구,광희동,3453,6451,0.74,0.1
23,중구,을지로동,1352,1949,0.6,0.1
24,중구,신당5동,5385,10631,0.39,0.1
25,중구,황학동,7216,13483,0.33,0.1
26,중구,중림동,5689,12321,0.48,0.1
27,중구,신당동,4840,9194,0.55,0.1
28,중구,다산동,6926,14185,0.51,0.1
29,중구,약수동,7843,16763,0.48,0.1
30,중구,청구동,6280,13687,0.34,0.1
31,중구,동화동,4065,10333,0.26,0
32,용산구,후암동,8436,17126,0.86,0.1
33,용산구,용산2가동,5229,10625,1.96,0.3
34,용산구,남영동,5156,7699,1.19,0.2
35,용산구,원효로1동,6063,13829,0.59,0.1
36,용산구,원효로2동,4669,10831,0.71,0.1
37,용산구,효창동,5389,11832,0.44,0.1
38,용산구,이촌1동,3671,8264,2.86,0.5
39,용산구,이촌2동,3611,8031,1.22,0.2
40,용산구,이태원1동,4937,10538,0.57,0.1
41,용산구,서빙고동,7336,14482,2.8,0.5
42,용산구,보광동,11186,20041,0.71,0.1
43,용산구,청파동,8762,17145,0.9,0.2
44,용산구,한강로동,11641,23222,2.9,0.5
45,용산구,한남동,10927,22778,3.01,0.5
46,성동구,왕십리2동,7392,16680,0.41,0.1
47,성동구,마장동,11053,22912,1.05,0.2
48,성동구,사근동,8201,13900,1.1,0.2
49,성동구,행당1동,6526,14211,0.59,0.1
50,성동구,행당2동,9211,23193,0.42,0.1
51,성동구,응봉동,6036,15251,0.57,0.1
52,성동구,금호1가동,6506,15164,0.46,0.1
53,성동구,금호4가동,6343,14376,0.84,0.1
54,성동구,성수1가1동,7746,16690,1.97,0.3
55,성동구,성수1가2동,6041,12535,0.89,0.2
56,성동구,성수2가1동,8128,16065,1.17,0.2
57,성동구,성수2가3동,5558,10867,1.03,0.2
58,성동구,송정동,5569,10714,0.75,0.1
59,성동구,용답동,7048,12396,2.31,0.4
60,성동구,왕십리도선동,12087,27019,0.72,0.1
61,성동구,금호2.3가동,10064,22633,0.64,0.1
62,성동구,옥수동,10818,26058,1.94,0.3
63,광진구,화양동,18384,26870,1.16,0.2
64,광진구,군자동,11408,21448,0.74,0.1
65,광진구,중곡1동,8347,15664,0.62,0.1
66,광진구,중곡2동,10681,21545,0.55,0.1
67,광진구,중곡3동,8548,16290,0.6,0.1
68,광진구,중곡4동,13134,28615,2.32,0.4
69,광진구,능동,6477,11645,1.1,0.2
70,광진구,구의1동,12984,23872,0.56,0.1
71,광진구,구의2동,11604,26796,1.39,0.2
72,광진구,구의3동,12163,28684,1.02,0.2
73,광진구,광장동,11882,34523,2.39,0.4
74,광진구,자양1동,12001,22925,0.57,0.1
75,광진구,자양2동,10973,24559,1.68,0.3
76,광진구,자양3동,11097,28069,1.2,0.2
77,광진구,자양4동,10173,21291,1.16,0.2
78,동대문구,전농1동,14836,29419,1.19,0.2
79,동대문구,전농2동,7624,18786,0.86,0.1
80,동대문구,답십리1동,13163,29280,0.81,0.1
81,동대문구,답십리2동,12569,28254,0.85,0.1
82,동대문구,장안1동,18448,38677,1.25,0.2
83,동대문구,장안2동,14106,32696,1.09,0.2
84,동대문구,회기동,6712,13162,0.76,0.1
85,동대문구,휘경1동,7824,16319,0.63,0.1
86,동대문구,휘경2동,12263,24831,1.05,0.2
87,동대문구,이문1동,10744,21138,1.04,0.2
88,동대문구,이문2동,8756,20258,0.69,0.1
89,동대문구,청량리동,9705,19133,1.2,0.2
90,동대문구,용신동,19622,34194,1.61,0.3
91,동대문구,제기동,13559,26596,1.18,0.2
92,중랑구,면목2동,12301,24444,0.77,0.1
93,중랑구,면목4동,9099,19096,0.87,0.1
94,중랑구,면목5동,6468,14911,0.7,0.1
95,중랑구,면목7동,10599,21941,1.2,0.2
96,중랑구,상봉1동,10239,23932,0.88,0.2
97,중랑구,상봉2동,12256,20567,0.65,0.1
98,중랑구,중화1동,9080,19570,0.64,0.1
99,중랑구,중화2동,13673,25214,1.01,0.2
100,중랑구,묵1동,15089,34620,1.2,0.2
101,중랑구,묵2동,9267,18783,0.67,0.1
102,중랑구,망우3동,8266,16494,0.92,0.2
103,중랑구,신내1동,14822,38425,2.56,0.4
